PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Pearl Regency,Sale,850000.0,2,2,1345,Eugene YE Tan
Pearl Regency,Sale,795000.0,2,2,1345,Boon Siew
Pearl Regency,Sale,830000.0,2,2,1345,Max Lee
Pearl Regency,Sale,950000.0,3,2,1561,Kaze Kang
Pearl Regency,Sale,998000.0,3,2,1680,Danick Teoh
Pearl Regency,Sale,980000.0,3,2,1365,Danick Teoh
Pearl Regency,Sale,980000.0,3,2,1400,Eric Lim
Pearl Regency,Sale,995000.0,3,2,1625,Rex Tung
Pearl Regency,Sale,1100000.0,3,2,1625,Serena Neoh
Pearl Regency,Sale,795000.0,2,2,1345,Boon Siew
Pearl Regency,Sale,920000.0,3,2,1550,Anthony Liong
Pearl Regency,Sale,920000.0,3,2,1550,Liong .
Pearl Regency,Sale,930000.0,3,2,1550,Simon Ooi
Pearl Regency,Sale,1300000.0,4,3,2131,Andy Lee
Pearl Regency,Sale,900000.0,3,2,1625,Andy Lee
Pearl Regency,Sale,795000.0,2,2,1345,Jia Yong
Pearl Regency,Sale,770000.0,2,2,1345,Siang .
Pearl Regency,Sale,999000.0,3,2,1625,Brian Ooi
Pearl Regency,Sale,795000.0,2,2,1345,Boon Siew
Pearl Regency,Sale,900000.0,3,2,1625,Andy Lee
Pearl Regency,Sale,1300000.0,4,3,2131,Andy Lee
Pearl Regency,Sale,950000.0,3,2,1562,Moko Ong
Pearl Regency,Sale,930000.0,3,2,1561,Simon Ooi
Pearl Regency,Sale,930000.0,3,2,1550,Simon Ooi
Pearl Regency,Sale,899999.0,3,2,1625,Mollie Ooi
Pearl Regency,Sale,1100000.0,3,2,1515,ST Lim
Pearl Regency,Sale,950000.0,3,2,1560,Pei Hoon
Pearl Regency,Sale,1000000.0,3,2,1313,Marcus Sim
Pearl Regency,Sale,940000.0,3,2,1550,Adrian Choo
Pearl Regency,Sale,1080000.0,3,2,1313,Scott Saw
Pearl Regency,Sale,950000.0,3,2,1313,Jansen Yew
Pearl Regency,Sale,1000000.0,3,2,1313,Jansen Yew
Pearl Regency,Sale,1000000.0,3,2,1388,Jansen Yew
Pearl Regency,Sale,830000.0,3,2,1345,Hao Tan
Pearl Regency,Sale,895000.0,3,2,1313,Esther Tan
Pearl Regency,Sale,948000.0,3,2,1550,Alisson Chew
Pearl Regency,Sale,900000.0,3,2,1313,Adrian Choo
Pearl Regency,Sale,930000.0,3,2,1561,Simon Ooi
Pearl Regency,Sale,930000.0,3,2,1550,Simon Ooi
Pearl Regency,Sale,900000.0,3,2,1389,Adrian Choo
Pearl Regency,Sale,1080000.0,3,2,1313,John Lee
Pearl Regency,Sale,795000.0,2,2,1345,Jia Yong
Pearl Regency,Sale,999000.0,3,2,1313,Alisson Chew
Pearl Regency,Sale,770000.0,2,2,1345,Siang .
Pearl Regency,Sale,770000.0,2,2,1371,Chris Teoh
Pearl Regency,Sale,1080000.0,3,2,1313,John Lee
Pearl Regency,Sale,998000.0,3,3,1680,Marcus Phuah
Pearl Regency,Sale,1250000.0,3,2,1560,Jansen Yew
Pearl Regency,Sale,795000.0,2,2,1345,Alex Cheah
Pearl Regency,Sale,1300000.0,4,3,2131,Andy Lee
Pearl Regency,Sale,900000.0,3,2,1625,Andy Lee
Pearl Regency,Sale,930000.0,3,2,1561,Serena Neoh
Pearl Regency,Sale,1080000.0,3,2,1313,John Lee
Pearl Regency,Sale,770000.0,2,2,1345,Siang .
Pearl Regency,Sale,900000.0,3,2,1313,KK Kwok
Pearl Regency,Sale,1050000.0,3,2,1645,Jack Seow
Pearl Regency,Sale,1300000.0,4,3,2131,Andy Lee
Pearl Regency,Sale,900000.0,3,2,1625,Andy Lee
Pearl Regency,Sale,899900.0,3,2,1313,OK Cheah
Pearl Regency,Sale,795000.0,2,2,1350,Jia Yong
Pearl Regency,Sale,899999.0,3,2,1600,Mollie Ooi
Pearl Regency,Sale,1080000.0,3,2,1313,John Lee
Pearl Regency,Sale,999000.0,3,2,1625,Serena Neoh
Pearl Regency,Sale,950000.0,3,2,1550,Elaine Yeoh
Pearl Regency,Sale,830000.0,2,2,1345,Serena Neoh
Pearl Regency,Sale,950000.0,3,2,1550,Joyce Chin
Pearl Regency,Sale,795000.0,2,2,1345,Jia Yong
Pearl Regency,Sale,930000.0,3,2,1561,Serena Neoh
Pearl Regency,Sale,1100000.0,3,2,1550,Serena Neoh
Pearl Regency,Sale,1280000.0,3,2,1460,Leslie Hong
Pearl Regency,Sale,1190000.0,4,3,2200,Jansen Yew
Pearl Regency,Sale,1300000.0,3,2,1600,Brian Ooi
Pearl Regency,Rent,2600.0,3,2,1500,Jack Seow
Pearl Regency,Rent,2600.0,3,2,1421,Boon Siew
Pearl Regency,Rent,2200.0,2,2,1345,Max Lee
Pearl Regency,Rent,3300.0,3,2,1700,Ryan Sim
Pearl Regency,Rent,2400.0,2,2,1345,Eugene YE Tan
Pearl Regency,Rent,2500.0,3,2,1400,Jun Ooi
Pearl Regency,Rent,2500.0,3,2,1421,Ken Loh
Pearl Regency,Rent,2500.0,2,2,1400,Max Ng
Pearl Regency,Rent,2600.0,2,2,1345,Clifton Chee
Pearl Regency,Rent,2000.0,3,2,1313,Lawrence Lee
