PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Dwiputra Residences,Sale,450000.0,3,2,950,Lela Rasmawati
Dwiputra Residences,Sale,530000.0,3,3,1200,Fakhzan Badiran
Dwiputra Residences,Sale,450000.0,3,2,950,Izza Samsudin
Dwiputra Residences,Sale,450000.0,3,2,950,Izza Samsudin
Dwiputra Residences,Sale,630000.0,3,3,1200,Fakhzan Badiran
Dwiputra Residences,Sale,560000.0,3,3,1200,Natalie Loke
Dwiputra Residences,Sale,500000.0,3,2,950,Nurul Ahmad
Dwiputra Residences,Sale,570000.0,3,3,1200,Muhammad Afiq
Dwiputra Residences,Sale,475000.0,3,2,950,Juan Hilmi
Dwiputra Residences,Sale,480000.0,3,2,1001,Umar Hanim
Dwiputra Residences,Sale,500000.0,4,3,1200,May Tai
Dwiputra Residences,Sale,520000.0,3,2,950,Yana Zull
Dwiputra Residences,Sale,475000.0,3,2,950,Fadilah Yusoff
Dwiputra Residences,Sale,560000.0,3,3,1200,Syafiq Razak
Dwiputra Residences,Sale,410000.0,3,2,950,Hector Cheah
Dwiputra Residences,Sale,495000.0,3,2,950,Saiful Bahri Abdul Manan
Dwiputra Residences,Sale,495000.0,3,2,950,Atie Mohd Lotfie
Dwiputra Residences,Sale,450000.0,3,2,950,Zarif Zahisham
Dwiputra Residences,Sale,565000.0,4,3,1200,Justin Khoo
Dwiputra Residences,Sale,520000.0,3,2,950,Yana Zull
Dwiputra Residences,Sale,598000.0,4,3,1200,Syamsul Ilham
Dwiputra Residences,Sale,530000.0,3,2,1001,Mekreen .
Dwiputra Residences,Sale,550000.0,3,2,1280,Paramaswary Chellappan
Dwiputra Residences,Sale,494000.0,3,2,1001,Justin Khoo
Dwiputra Residences,Sale,560000.0,4,3,1200,Nik Amir Property
Dwiputra Residences,Sale,410000.0,3,2,950,Elvis Ko
Dwiputra Residences,Sale,510000.0,4,3,1200,Elvis Ko
Dwiputra Residences,Sale,520000.0,3,3,1200,Natalie Loke
Dwiputra Residences,Sale,495000.0,3,2,950,Saiful Bahri Abdul Manan
Dwiputra Residences,Sale,445000.0,3,2,950,Izza Samsudin
Dwiputra Residences,Sale,550000.0,3,2,950,Suzaini Lisna
