PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Bukit Bantayan Residence,Sale,427380.0,3,2,904,Gavin Chia
Bukit Bantayan Residence,Sale,501330.0,3,2,1100,Gavin Chia
Bukit Bantayan Residence,Sale,476784.0,3,2,1007,Chloe Chee
Bukit Bantayan Residence,Sale,445984.0,3,2,904,Chloe Chee
Bukit Bantayan Residence,Sale,519904.0,3,2,1100,Chloe Chee
Bukit Bantayan Residence,Sale,519024.0,3,2,1100,Chloe Chee
Bukit Bantayan Residence,Sale,540414.0,3,2,1100,Chloe Chee
Bukit Bantayan Residence,Rent,2300.0,3,2,1100,shirley Chow
Bukit Bantayan Residence,Rent,1600.0,3,2,904,shirley Chow
Riverside Residence @ Sodomon,Sale,490000.0,3,2,955,Japheth Liew
Ashton Tower,Sale,480000.0,3,2,870,Yvonne Sak
Ashton Tower,Sale,460000.0,3,2,870,shirley Chow
Ashton Tower,Sale,488000.0,3,2,870,Gavin Chia
Ashton Tower,Sale,490000.0,3,2,870,shirley Chow
Ashton Tower,Sale,450000.0,3,2,870,Yvonne Sak
Ashton Tower,Rent,1700.0,3,2,870,Hazel Chan
Kondominium Kristal @ Kota Kinabalu,Sale,699000.0,4,3,1744,Grace Teo
Kondominium Kristal @ Kota Kinabalu,Sale,788000.0,3,2,1640,Yun Lai
Kondominium Kristal @ Kota Kinabalu,Rent,2600.0,3,2,1690,Yun Lai
Country Heights Apartments 1,Sale,150000.0,2,1,455,P M Chan
Country Heights Apartments 1,Sale,252000.0,3,2,845,Jason Tang
Country Heights Apartments 1,Sale,170000.0,2,1,455,shirley Chow
Country Heights Apartments 1,Sale,176418.0,3,2,845,Jason Tang
Country Heights Apartments 1,Sale,280000.0,3,2,845,Jason Tang
Villa Permai Jaya,Sale,165000.0,3,2,957,Alwen Choong
The Peak Vista (Likas),Sale,1500000.0,4,3,1760,Japheth Liew
The Peak Vista (Likas),Sale,1359000.0,3,3,1678,Alan Ho
The Peak Vista (Likas),Sale,1080000.0,4,4,1443,Jason Tang
The Peak Vista (Likas),Sale,1510000.0,4,4,1678,Jason Tang
The Peak Vista (Likas),Sale,1100000.0,3,2,1288,Susan .
The Peak Vista (Likas),Sale,1190000.0,3,2,1288,Grace Teo
The Peak Vista (Likas),Sale,950000.0,3,2,1293,shirley Chow
The Peak Vista (Likas),Sale,950000.0,3,2,1293,shirley Chow
The Peak Vista (Likas),Sale,1080000.0,4,3,1443,Jason Tang
The Peak Vista (Likas),Rent,3500.0,3,2,1309,shirley Chow
The Peak Vista (Likas),Rent,4000.0,3,2,1288,shirley Chow
The Peak Vista (Likas),Rent,3500.0,3,2,1290,Japheth Liew
The Peak Condo (Likas),Sale,1150000.0,3,2,1290,shirley Chow
The Peak Condo (Likas),Sale,1390000.0,4,3,1689,Grace Teo
The Peak Condo (Likas),Rent,3900.0,3,2,1288,Grace Teo
University Apartments 2,Sale,290000.0,3,2,750,shirley Chow
University Apartments 2,Sale,300000.0,3,2,750,shirley Chow
Kondominium Puteri Damai,Sale,1800000.0,4,4,2305,Faye Robert
The Colonnades Condominium,Sale,540000.0,3,2,1510,Brooks Loo
The Palm Condominium Kinarut,Sale,423000.0,3,2,1180,shirley Chow
The Palm Condominium Kinarut,Rent,2800.0,4,4,2340,shirley Chow
E Residence,Sale,275400.0,3,2,1029,Alan Ho
E Residence,Sale,306000.0,3,2,1029,Jason Tang
