PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
The Echelon,Sale,600000.0,2,2,100.0,KON SIEW PING
The Echelon,Sale,780000.0,3,2,1485.0,Leslie Loi
Stutong Heights Apartment 2,Sale,398000.0,3,2,1054.0,Clement Toh
Riverine Emerald,Sale,680000.0,4,2,1600.0,Hunter Wee
Riverine Emerald,Sale,660000.0,3,2,1601.0,Kevin Ton
Riverine Emerald,Sale,660000.0,3,2,1547.0,Kenneth Wong
Jazz Suites @ Vivacity,Sale,718000.0,2,2,1004.0,Robert Lim
Jazz Suites @ Vivacity,Sale,775000.0,3,2,1076.0,KON SIEW PING
Jazz Suites @ Vivacity,Sale,760000.0,3,2,1076.0,KON SIEW PING
Jazz Suites @ Vivacity,Sale,750000.0,3,2,1060.0,KON SIEW PING
Jazz Suites @ Vivacity,Sale,700000.0,2,2,1076.0,Clement Toh
Jazz Suites @ Vivacity,Sale,650000.0,2,1,846.0,Hunter Wee
Jazz Suites @ Vivacity,Sale,690000.0,3,2,1060.0,KON SIEW PING
Jazz Suites @ Vivacity,Sale,600000.0,2,1,846.0,Clement Toh
Jazz Suites @ Vivacity,Sale,660000.0,3,2,1004.0,Leslie Loi
Jazz Suites @ Vivacity,Sale,700000.0,3,2,1076.0,Hunter Wee
Jazz Suites @ Vivacity,Sale,800000.0,3,2,1222.0,Kenneth Wong
Jazz Suites @ Vivacity,Rent,2500.0,2,1,100.0,KON SIEW PING
Jazz Suites @ Vivacity,Rent,2500.0,3,2,1004.0,KON SIEW PING
SkyVilla Condominium (MJC),Sale,700000.0,3,2,1205.0,David Ling
SkyVilla Condominium (MJC),Sale,440000.0,3,2,100.0,KON SIEW PING
SkyVilla Condominium (MJC),Sale,435600.0,3,2,1089.0,Hunter Wee
SkyVilla Condominium (MJC),Rent,1800.0,3,2,100.0,KON SIEW PING
Riverine Diamond A,Sale,1677040.0,2,1,,RB DEVELOPMENT SDN BHD
Riverine Diamond A,Sale,307000.0,Studio,Studio,538.0,Robert Lim
Riverine Diamond A,Sale,399000.0,Studio,Studio,538.0,Hunter Wee
Riverine Diamond A,Rent,1400.0,Studio,Studio,538.0,Hunter Wee
Floridale Condominium,Sale,440000.0,3,4,1280.0,Leslie Loi
Floridale Condominium,Rent,1380.0,3,2,1280.0,Hunter Wee
Floridale Condominium,Rent,1300.0,3,2,1280.0,KON SIEW PING
MJC SOHO,Sale,129999.0,3,1,650.0,Yumi Lim
MJC SOHO,Sale,129999.0,3,1,650.0,Yumi Lim
MJC SOHO,Sale,129999.0,3,1,650.0,Yumi Lim
MJC SOHO,Sale,129999.0,3,1,650.0,Yumi Lim
MJC SOHO,Sale,129999.0,3,1,650.0,Yumi Lim
MJC SOHO,Sale,129999.0,3,1,650.0,Yumi Lim
