PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Livia Residences @ C180,Sale,408000.0,3,2,853,Stacy Young
Livia Residences @ C180,Sale,300000.0,1,1,550,Aaron Loh Liang Wei
Livia Residences @ C180,Sale,400000.0,2,2,850,Aaron Loh Liang Wei
Livia Residences @ C180,Sale,320000.0,2,2,853,Markko Mak
Livia Residences @ C180,Sale,270000.0,1,1,551,Darren Chan
Livia Residences @ C180,Sale,280000.0,1,1,551,Jenny E
Livia Residences @ C180,Sale,380000.0,2,2,853,Rony Yeo
Livia Residences @ C180,Sale,285000.0,1,1,551,Rony Yeo
Livia Residences @ C180,Sale,360000.0,2,2,850,Rony Yeo
Livia Residences @ C180,Sale,420000.0,3,2,853,Catherine Hu
Livia Residences @ C180,Sale,420000.0,3,2,853,Mohd Amir Anandh Abdullah
Livia Residences @ C180,Sale,279999.0,1,1,551,Jorden Law
Livia Residences @ C180,Sale,420000.0,3,2,853,Khor Wen Han
Livia Residences @ C180,Sale,365000.0,2,2,853,Joey Lim
Livia Residences @ C180,Sale,420000.0,3,2,853,Hei Kar Jun
Livia Residences @ C180,Sale,300000.0,1,1,551,Katty Soon
Livia Residences @ C180,Sale,356000.0,2,2,852,Brandy Ho
Livia Residences @ C180,Sale,350000.0,1,1,551,Jan Ho
Livia Residences @ C180,Sale,290000.0,1,1,551,Katty Soon
Livia Residences @ C180,Sale,283000.0,1,1,551,Eric Yap
Livia Residences @ C180,Sale,280000.0,1,1,551,Markko Mak
Livia Residences @ C180,Sale,265000.0,1,1,551,Justin Allan
Livia Residences @ C180,Sale,350000.0,Studio,Studio,551,Elaine Chen
Livia Residences @ C180,Sale,279000.0,1,1,551,Felix Wong
Livia Residences @ C180,Sale,365000.0,2,2,852,Brandy Ho
Livia Residences @ C180,Sale,380000.0,2,2,853,Rony Yeo
Livia Residences @ C180,Sale,285000.0,1,1,551,Rony Yeo
Livia Residences @ C180,Sale,360000.0,2,2,850,Rony Yeo
Livia Residences @ C180,Sale,280000.0,1,1,551,Rony Yeo
Livia Residences @ C180,Sale,320000.0,1,1,551,Trevor Chai
Livia Residences @ C180,Sale,438000.0,1,1,551,Brandy Ho
Livia Residences @ C180,Sale,283000.0,1,1,551,Eric Yap
Livia Residences @ C180,Sale,277000.0,1,1,551,Yvonne Ho
Livia Residences @ C180,Sale,375000.0,2,2,850,Kelvin Ter
Livia Residences @ C180,Sale,375000.0,2,2,850,Crystal .
Livia Residences @ C180,Sale,345000.0,2,2,852,Kenneth Low
Livia Residences @ C180,Sale,278000.0,1,1,551,Eric Yap
Livia Residences @ C180,Sale,438000.0,1,1,551,Brandy Ho
Livia Residences @ C180,Rent,1400.0,2,2,800,Zed Lim
Livia Residences @ C180,Rent,1500.0,2,2,853,Rony Yeo
Livia Residences @ C180,Rent,1800.0,2,2,853,Denson Yong
Livia Residences @ C180,Rent,1280.0,2,2,853,JJ Ooi
Livia Residences @ C180,Rent,1000.0,1,1,551,Tom Tan
Livia Residences @ C180,Rent,1200.0,1,1,550,Aaron Loh Liang Wei
Livia Residences @ C180,Rent,1800.0,2,2,853,Olivia Ng
Livia Residences @ C180,Rent,1000.0,1,1,551,Tom Tan
Livia Residences @ C180,Rent,1500.0,2,2,850,Rony Yeo
Livia Residences @ C180,Rent,1199.0,1,1,551,Eric Yap
Livia Residences @ C180,Rent,1300.0,2,2,850,Rony Yeo
