PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Ponderosa Vista,Sale,1880000.0,5,5,4000,Phang Elainne
Ponderosa Vista,Sale,1850000.0,5,5,4000,Raymond Khoo
Ponderosa Vista,Sale,1850000.0,4,5,4050,Joycelyn Ee
Ponderosa Vista,Sale,1850000.0,5,5,4000,Serene Teh
Ponderosa Vista,Sale,1660000.0,5,5,3420,Loh Kok Hui
Ponderosa Vista,Sale,1850000.0,5,5,4000,Mike Teh
Ponderosa Vista,Sale,1850000.0,4,5,2680,Andrew Teo
Ponderosa Vista,Sale,1660000.0,5,5,3420,Vera Cheong
Ponderosa Vista,Sale,1850000.0,4,5,4000,Amber Ma
Ponderosa Vista,Sale,1660000.0,4,5,3420,Deven Thye
Ponderosa Vista,Sale,1660000.0,5,5,3200,Tan Bing Yi
Ponderosa Vista,Sale,2493900.0,5,6,5000,Jason Tang
Ponderosa Vista,Sale,1860000.0,4,5,4000,Florence Hong
Ponderosa Vista,Sale,1850000.0,5,5,4000,collin kuik
Ponderosa Vista,Sale,1850000.0,5,5,4000,Sam Cheng
Ponderosa Vista,Sale,1850000.0,4,5,4000,Yuki Cheng
Ponderosa Vista,Sale,1850000.0,5,5,4000,Casmin Eu
Ponderosa Vista,Sale,1660000.0,5,5,3000,Henric Chng
Ponderosa Vista,Sale,2000000.0,6,6,3888,Henric Chng
Ponderosa Vista,Sale,2150000.0,5,5,3200,Henric Chng
Ponderosa Vista,Sale,1660000.0,4,5,3420,Amber Chan
Ponderosa Vista,Sale,1650000.0,4,5,3420,Kelvin Kong Wren
Ponderosa Vista,Sale,1100000.0,5,5,3200,Bear Beh
Ponderosa Vista,Sale,5500000.0,,,15715,Santorinic Wang
Ponderosa Vista,Sale,1100000.0,5,5,4000,VJ Low
Ponderosa Vista,Sale,2494000.0,6,6,5000,Jason Tang
Ponderosa Vista,Sale,950000.0,4,4,2700,Kelly Chong
Ponderosa Vista,Sale,950000.0,5,4,2700,Alan Tia
Ponderosa Vista,Sale,1800000.0,5,5,3420,Mancy Lim
Ponderosa Vista,Sale,1900000.0,5,5,4000,Eileen Khor
Ponderosa Vista,Sale,1900000.0,5,5,4000,Eileen Khor
Ponderosa Vista,Sale,1660000.0,5,5,3420,Vison Foo
Ponderosa Vista,Sale,880000.0,4,5,3000,Vivian Sim
Ponderosa Vista,Sale,1660000.0,4,5,3420,Bosco Eng
Ponderosa Vista,Sale,880000.0,5,5,3200,FM Sam
Ponderosa Vista,Sale,2000000.0,6,6,3800,KT Yip
Ponderosa Vista,Sale,880000.0,4,5,2400,Grace Low
Ponderosa Vista,Sale,1900000.0,5,5,4000,Eileen Khor
Ponderosa Vista,Sale,1100000.0,4,5,2838,Ang Boon Chai
Ponderosa Vista,Sale,1850000.0,4,5,4000,Jun Wang
Ponderosa Vista,Sale,1100000.0,5,5,2900,Smith Goh
Ponderosa Vista,Sale,1660000.0,5,5,3420,Vivien Keck
Ponderosa Vista,Sale,1850000.0,4,4,3957,SK Lua
Ponderosa Vista,Sale,1660000.0,4,5,3420,Deven Thye
Ponderosa Vista,Sale,1660000.0,5,5,3420,Nicole Tan
Ponderosa Vista,Sale,1390000.0,4,5,3000,Anthony Tay
Ponderosa Vista,Rent,2900.0,5,5,3420,Loh Kok Hui
Ponderosa Vista,Rent,2900.0,5,5,3420,Hui Lian
Ponderosa Vista,Rent,2900.0,4,5,3420,Deven Thye
Ponderosa Vista,Rent,2900.0,4,5,3420,Tan Bing Yi
Ponderosa Vista,Rent,3500.0,5,5,3200,Phoebe Foo
Ponderosa Vista,Rent,3800.0,4,4,3000,Ang Boon Chai
Ponderosa Vista,Rent,3500.0,5,5,3600,Lewis Tai
Ponderosa Vista,Rent,3500.0,6,4,3200,Woo Wei Jie
Ponderosa Vista,Rent,3500.0,4,5,3000,Vivian Sim
Ponderosa Vista,Rent,3500.0,6,4,3200,Serene Chua
NorthWood @ The Woodlands,Sale,1700000.0,4,3,2800,SC Cheng
NorthWood @ The Woodlands,Sale,2509020.0,6,6,4730,ANGELENE OH
NorthWood @ The Woodlands,Sale,2300000.0,4,6,4000,Kelly Wai
NorthWood @ The Woodlands,Sale,1093500.0,6,6,2893,Fion Cheong
NorthWood @ The Woodlands,Sale,2509000.0,6,6,4730,Caera Ng
NorthWood @ The Woodlands,Sale,1931000.0,Studio,Studio,4730,Christine Chai
