PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Bandar Laguna Merbok,Sale,370000.0,4,3,1800,Derrick Ng
Bandar Laguna Merbok,Sale,580000.0,4,3,2400,Muhd Hanif
Bandar Laguna Merbok,Sale,650000.0,4,3,3200,Ika Cumie Property
Bandar Laguna Merbok,Sale,395000.0,4,4,1776,Fahmi Yahaya
Bandar Laguna Merbok,Sale,450000.0,3,3,1800,Nor Mazira
Bandar Laguna Merbok,Sale,3000000.0,6,6,4200,Derrick Ng
Bandar Laguna Merbok,Sale,2100000.0,5,4,3300,Derrick Ng
Bandar Laguna Merbok,Sale,650000.0,4,3,2400,Derrick Ng
Bandar Laguna Merbok,Sale,1000000.0,4,4,3000,Derrick Ng
Bandar Laguna Merbok,Sale,360000.0,4,3,2200,Derrick Ng
Bandar Laguna Merbok,Sale,380000.0,4,3,1800,Derrick Ng
Bandar Laguna Merbok,Sale,385000.0,4,3,1400,Shahrol Ariffin
Bandar Laguna Merbok,Sale,300000.0,3,3,1800,Derrick Ng
Bandar Laguna Merbok,Sale,570000.0,5,3,2500,Haziq Hasri
Bandar Laguna Merbok,Sale,800000.0,6,4,3600,Akmal Rafidi
Bandar Laguna Merbok,Sale,600000.0,3,4,2300,Muhd Hanif
Bandar Laguna Merbok,Sale,360000.0,4,3,1800,Zainur Zihan
Bandar Laguna Merbok,Sale,360000.0,4,3,1400,Nur Azie
Bandar Laguna Merbok,Sale,360000.0,4,3,1500,Abdul Muhaimin
Bandar Laguna Merbok,Sale,380000.0,4,3,1400,Hafiz Adib
Bandar Laguna Merbok,Sale,520000.0,4,3,2000,Goh Kang Yong
Bandar Laguna Merbok,Sale,420000.0,4,3,1800,Nor Mazira
Bandar Laguna Merbok,Sale,390000.0,4,3,2320,Idham Property
Bandar Laguna Merbok,Sale,570000.0,5,3,2500,Zainab Abdul Rahman
Bandar Laguna Merbok,Sale,340000.0,4,4,1400,Ainur Azura
Bandar Laguna Merbok,Sale,522000.0,4,4,2044,Jason Tang
Bandar Laguna Merbok,Sale,385000.0,4,4,1539,Jason Tang
Bandar Laguna Merbok,Sale,415000.0,4,3,2414,Hafiz Adib
Ambangan Heights,Sale,345000.0,4,2,2694,Hafiz Adib
Ambangan Heights,Sale,400000.0,4,2,1656,Mohd Firdaus Bin Hassan (Firdaus)
Ambangan Heights,Sale,455000.0,4,4,1200,Fitrie Othman
Ambangan Heights,Sale,330000.0,4,2,2610,Fahmi Yahaya
Ambangan Heights,Sale,399000.0,4,3,1200,Kak Yong Fara
Ambangan Heights,Sale,180000.0,3,2,1440,Zanna Hassan
