PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Bukit Chedang,Sale,300000.0,3,2,1200,Maizura binti Mohd Darus
Taman Bukit Chedang,Sale,300000.0,3,2,1200,Muhammad Taufeeq
Taman Bukit Chedang,Sale,580000.0,4,3,2500,Ganeshwaran .
Taman Bukit Chedang,Sale,238000.0,3,2,900,Arif Halim
Taman Bukit Chedang,Sale,270000.0,3,2,1320,Khadijah Zakaria
Taman Bukit Chedang,Sale,478000.0,4,4,2600,Connie Lim
Taman Bukit Chedang,Sale,280000.0,3,2,1320,FARIS AZIZ
Taman Bukit Chedang,Sale,455000.0,4,4,2000,Khadijah Zakaria
Taman Bukit Chedang,Sale,350000.0,4,3,1400,Mahafiz .
Laman Bakawali @ Kota Seriemas,Sale,525000.0,3,3,1540,Ahmad Fikri Amer Hamzah
Laman Bakawali @ Kota Seriemas,Sale,525000.0,3,3,1540,Najibah Sahari
Laman Bakawali @ Kota Seriemas,Sale,525000.0,3,3,1540,Shaharul Ridzuan
Laman Bakawali @ Kota Seriemas,Sale,530000.0,4,3,1800,Syafiq Faddir
Laman Bakawali @ Kota Seriemas,Sale,525000.0,3,3,1540,ismail bin Mohd Yassin
Laman Bakawali @ Kota Seriemas,Sale,530000.0,4,3,1800,Syafiq Faddir
Laman Bakawali @ Kota Seriemas,Sale,525000.0,3,3,1540,Ahmad Fadlee
Laman Bakawali @ Kota Seriemas,Sale,525000.0,3,3,1540,Afifi Mohd Noor
Laman Bakawali @ Kota Seriemas,Sale,530000.0,4,3,1800,Syafiq Faddir
Laman Bakawali @ Kota Seriemas,Sale,520000.0,4,3,2110,Hamizon .
Laman Bakawali @ Kota Seriemas,Sale,525000.0,3,3,1540,Ahmad Fikri Amer Hamzah
Laman Bakawali @ Kota Seriemas,Sale,525000.0,3,3,1540,Juan Hilmi
Laman Bakawali @ Kota Seriemas,Sale,725000.0,5,5,3085,Hamizon .
Laman Bakawali @ Kota Seriemas,Sale,540000.0,4,3,1800,Syafiq Faddir
Laman Bakawali @ Kota Seriemas,Sale,699999.0,6,3,2900,Sa'a Nordin
Laman Bakawali @ Kota Seriemas,Sale,470000.0,4,3,2140,Norhuda Ab Rahman
Laman Bakawali @ Kota Seriemas,Sale,488000.0,4,4,2650,Connie Lim
