PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
BM Permai Semi-D Homes,Sale,1400000.0,5,5,3727,Lee Shanny
BM Permai Semi-D Homes,Sale,790000.0,4,3,1980,Lillie Ong
BM Permai Semi-D Homes,Sale,1280000.0,5,5,3750,Jocelyn Neoh
BM Permai Semi-D Homes,Sale,850000.0,4,4,2500,Quinn Beh
BM Permai Semi-D Homes,Sale,1150000.0,4,3,2500,Quinn Beh
BM Permai Semi-D Homes,Sale,1100000.0,4,4,3507,Quinn Beh
BM Permai Semi-D Homes,Sale,1300000.0,5,5,3750,Jocelyn Neoh
BM Permai Semi-D Homes,Sale,1280000.0,5,5,3750,Jocelyn Neoh
BM Permai Semi-D Homes,Sale,1080000.0,4,4,3507,Bee Ling
BM Permai Semi-D Homes,Sale,1300000.0,5,4,3000,Jocelyn Neoh
BM Permai Semi-D Homes,Sale,1290000.0,5,4,3000,Quinn Beh
BM Permai Semi-D Homes,Sale,1290000.0,5,4,3000,Ellyn Tee
Sunway Bukit Gambier,Sale,1550000.0,5,5,2400,Boon Siew
Sunway Bukit Gambier,Sale,1550000.0,4,4,2700,Jayden Tan
Sunway Bukit Gambier,Sale,2330000.0,5,5,3500,Danick Teoh
Sunway Bukit Gambier,Sale,1550000.0,5,5,2400,Boon Siew
Sunway Bukit Gambier,Sale,5200000.0,5,9,8000,Paul Lim
Sunway Bukit Gambier,Sale,1550000.0,4,4,2700,Jake Khoo
Sunway Bukit Gambier,Sale,1550000.0,5,5,2400,Boon Siew
Sunway Bukit Gambier,Sale,1550000.0,5,4,2400,Zhonl Saw Boon Loong
Sunway Bukit Gambier,Sale,1500000.0,5,4,1400,Ivan Chia
Sunway Bukit Gambier,Sale,1550000.0,5,4,2700,Yonii Tan
Sunway Bukit Gambier,Sale,1550000.0,5,4,2400,Swee Xiong
Sunway Bukit Gambier,Sale,1550000.0,5,4,3000,Swee Xiong
Sunway Bukit Gambier,Sale,1550000.0,4,4,2700,Allen Yeoh
Sunway Bukit Gambier,Sale,5200000.0,8,6,8000,Calvin Yeoh
Sunway Bukit Gambier,Sale,1550000.0,5,4,2400,Calvin Yeoh
Sunway Bukit Gambier,Sale,1550000.0,6,4,2600,Zhonl Saw Boon Loong
Sunway Bukit Gambier,Sale,1550000.0,5,4,3000,Li Fang
Sunway Bukit Gambier,Sale,2200000.0,5,5,4700,Shu Fen
