PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Suria Aman,Sale,765000.0,5,5,2474,Mr Yuen
Taman Suria Aman,Sale,592920.0,5,4,1893,Mr Yuen
Serene Villas @ Sunway City Ipoh,Sale,1200000.0,4,4,2412,Dominic Leo
Serene Villas @ Sunway City Ipoh,Sale,1350000.0,4,4,2500,Clement Yong
Serene Villas @ Sunway City Ipoh,Sale,1240000.0,4,4,2671,Christine Lau
Serene Villas @ Sunway City Ipoh,Sale,1150000.0,4,4,3055,Nicholas Lee
Serene Villas @ Sunway City Ipoh,Sale,1240000.0,4,3,2671,Clement Yong
Serene Villas @ Sunway City Ipoh,Rent,3500.0,4,4,2000,Megan Chee
Serene Villas @ Sunway City Ipoh,Rent,3800.0,4,4,2405,Munyee Leong
SunLand Residence,Sale,420000.0,4,3,1650,Anis Anuar
SunLand Residence,Sale,510000.0,4,3,2043,Sandra Chong
SunLand Residence,Sale,448000.0,4,3,1650,Kelvin Chong
SunLand Residence,Sale,400000.0,4,3,1650,Ck Max
SunLand Residence,Sale,448000.0,4,3,1650,Sharon Poh
SunLand Residence,Sale,450000.0,4,4,1100,Sam .
Phase 6.2(1) @ Bandar Seri Botani,Sale,800000.0,4,4,4187,Jasmine Seow
Phase 6.2(1) @ Bandar Seri Botani,Sale,950000.0,5,5,3600,Kelvin Chong
Phase 6.2(1) @ Bandar Seri Botani,Sale,968000.0,5,5,3600,Kelvin Chong
Phase 6.2(1) @ Bandar Seri Botani,Sale,960000.0,5,5,3600,Sharon Poh
Phase 6.2(1) @ Bandar Seri Botani,Sale,980000.0,5,5,3600,Sook Yee
Phase 6.2(1) @ Bandar Seri Botani,Sale,960000.0,5,5,3600,Jeff Tan
Phase 6.2(1) @ Bandar Seri Botani,Sale,928000.0,5,5,1432,Jennifer Cha
Phase 6.2(1) @ Bandar Seri Botani,Rent,2800.0,5,5,2400,Angielina Chooi
Phase 6.2(1) @ Bandar Seri Botani,Rent,2800.0,5,5,3000,Sharon Poh
