PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Nara @ Eco Ardence,Sale,730000.0,3,2,1012,Vitas Tan
Nara @ Eco Ardence,Sale,1380000.0,4,3,1992,Raymond Yii
Nara @ Eco Ardence,Sale,1699000.0,4,3,1887,Alex Lee
Nara @ Eco Ardence,Sale,1380000.0,4,3,1957,Nadiah Mohamad Anuar
Nara @ Eco Ardence,Sale,1750000.0,4,3,1966,Sandy Lee
Nara @ Eco Ardence,Sale,730000.0,3,2,1021,Vanessa Wong
Nara @ Eco Ardence,Sale,1700000.0,4,3,1992,Chloe Tan
Nara @ Eco Ardence,Sale,1700002.0,4,3,3000,Daniel Kok
Nara @ Eco Ardence,Sale,1700000.0,4,3,1887,Howard Soh
Nara @ Eco Ardence,Sale,1600000.0,4,3,1992,Howard Soh
Nara @ Eco Ardence,Sale,1700000.0,4,3,1992,Adelin Teh
Nara @ Eco Ardence,Sale,730000.0,3,3,1012,Wendy Si
Nara @ Eco Ardence,Sale,1450000.0,4,3,1957,Wendy Si
Nara @ Eco Ardence,Sale,1380000.0,4,3,1957,Ismail Hakimi
Nara @ Eco Ardence,Sale,750000.0,3,2,1012,Abdul Rahim
Nara @ Eco Ardence,Sale,1700000.0,4,3,1957,Carlson Chee
Nara @ Eco Ardence,Sale,1450000.0,4,3,1957,Carlson Chee
Nara @ Eco Ardence,Sale,1380000.0,4,3,1956,Darren Chan
Nara @ Eco Ardence,Sale,930000.0,3,2,1200,Carven Lee
Nara @ Eco Ardence,Sale,1800000.0,4,3,1992,Afiq Hazwan
Nara @ Eco Ardence,Sale,1700000.0,4,3,1992,Wong Yuan Kong
Nara @ Eco Ardence,Sale,730000.0,3,2,1212,Calvin Koo
Nara @ Eco Ardence,Sale,720000.0,3,2,1021,Calvin Koo
Nara @ Eco Ardence,Sale,1600000.0,4,3,1992,Howard Soh
Nara @ Eco Ardence,Sale,1680000.0,4,3,1957,Clement Yew
Nara @ Eco Ardence,Sale,1450000.0,4,3,1957,Carlson Chee
Nara @ Eco Ardence,Sale,1380000.0,4,3,1957,Nalhalim Othman
Nara @ Eco Ardence,Sale,1700000.0,4,3,3000,Elaine khoo
Nara @ Eco Ardence,Sale,1699000.0,4,3,2000,Jennie Chew
Nara @ Eco Ardence,Sale,1700000.0,4,3,1992,Howard Soh
Nara @ Eco Ardence,Sale,1800000.0,4,3,1997,Sam Hong
Nara @ Eco Ardence,Sale,1700000.0,4,3,1996,Shulong Tan
Nara @ Eco Ardence,Sale,730000.0,3,2,1012,Vitas Tan
Nara @ Eco Ardence,Sale,1650000.0,4,4,2321,Cindy Ngam
Nara @ Eco Ardence,Sale,1380000.0,4,3,1957,Joyce Cheoh
Nara @ Eco Ardence,Sale,1790000.0,4,3,1957,Joyce Cheoh
Nara @ Eco Ardence,Sale,1800000.0,4,3,1992,Adzura Zamedin
Nara @ Eco Ardence,Sale,1800000.0,4,3,1992,Tony Chia
Nara @ Eco Ardence,Sale,1700000.0,5,3,1887,Jocelyn Ho
Nara @ Eco Ardence,Sale,1600000.0,4,3,1992,Howard Soh
Nara @ Eco Ardence,Sale,1700000.0,4,3,3000,Zeenics .
Nara @ Eco Ardence,Sale,1800000.0,4,3,1887,Alex Lee
Nara @ Eco Ardence,Sale,1380000.0,4,3,1900,Mabel Ling
Nara @ Eco Ardence,Sale,1780000.0,4,3,3000,Mason Chiah
Nara @ Eco Ardence,Sale,1380000.0,4,3,1800,Jordan Ng
Nara @ Eco Ardence,Sale,750000.0,3,2,1012,Vitas Tan
Nara @ Eco Ardence,Sale,1380000.0,4,3,1887,William Chua
Nara @ Eco Ardence,Sale,1780000.0,4,3,1957,Shulong Tan
Nara @ Eco Ardence,Sale,1780000.0,4,3,1992,Shulong Tan
Nara @ Eco Ardence,Sale,1380000.0,4,3,1995,Clement Yew
Nara @ Eco Ardence,Sale,1600000.0,4,3,2000,Clement Yew
Nara @ Eco Ardence,Sale,730000.0,3,2,1012,Tommy Tee
Nara @ Eco Ardence,Sale,1380000.0,4,3,1957,Yasmin Sulaiman
Nara @ Eco Ardence,Sale,1380000.0,4,3,1992,Hairul Hafiz Harun
