PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Eco Tropics,Sale,570000.0,3,3,2100,Mandy Goh Siew Li
Eco Tropics,Sale,515000.0,3,3,1715,Alan Chong
Eco Tropics,Sale,492000.0,4,3,1818,Joe Tan
Eco Tropics,Sale,620000.0,3,3,1400,Raymond Khoo
Eco Tropics,Sale,598000.0,4,3,1787,Sean Lee
Eco Tropics,Sale,368000.0,3,2,1100,Adam Diong
Eco Tropics,Sale,650000.0,4,3,2400,YT .
Eco Tropics,Sale,650000.0,4,3,1500,Grace Low
Eco Tropics,Sale,570000.0,4,3,1400,Melinda Ee
Eco Tropics,Sale,611000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,556000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,611000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,556000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,630000.0,4,3,2212,Low Wei Chao
Eco Tropics,Sale,611000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,556000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,611000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,556000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,680000.0,4,3,1791,M.L. Mok
Eco Tropics,Sale,780000.0,4,3,1882,M.L. Mok
Eco Tropics,Sale,520000.0,4,3,1707,Edwin Dass
Eco Tropics,Sale,600000.0,3,3,1400,Shirleen Koh
Eco Tropics,Sale,535000.0,4,4,1900,Yuki Cheng
Eco Tropics,Sale,488000.0,4,3,1400,Alan Lin
Eco Tropics,Sale,630000.0,4,3,2218,Ziv Chiam
Eco Tropics,Sale,480000.0,3,3,1400,Ziv Chiam
Eco Tropics,Sale,620000.0,3,3,2800,Alviss Tay
Eco Tropics,Sale,515000.0,3,3,1560,Nicholas Ong
Eco Tropics,Sale,570000.0,3,3,2100,Alviss Tay
Eco Tropics,Sale,570000.0,3,3,2100,Carson .
Eco Tropics,Sale,530000.0,4,3,1659,Lucas Chong
Eco Tropics,Sale,488000.0,3,3,1400,Louise Ng
Eco Tropics,Sale,508000.0,3,3,1600,JS Leong
Eco Tropics,Sale,492000.0,4,3,1818,Joe Tan
Eco Tropics,Sale,611000.0,4,3,1827,Louis Koh
Eco Tropics,Sale,556000.0,4,3,1827,Louis Koh
Eco Tropics,Sale,611000.0,4,3,1827,Louis Koh
Eco Tropics,Sale,556000.0,4,3,1827,Louis Koh
Eco Tropics,Sale,611000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,556000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,611000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,556000.0,4,3,1827,Genia Tan
Eco Tropics,Sale,680000.0,4,3,2217,Terence Tan
Eco Tropics,Sale,690000.0,4,4,2665,Terence Tan
Eco Tropics,Sale,560000.0,4,3,1707,Terence Tan
Eco Tropics,Sale,488000.0,4,3,1690,Terence Tan
Eco Tropics,Sale,500000.0,4,3,1690,Terence Tan
Eco Tropics,Sale,560000.0,4,3,1839,Terence Tan
Eco Tropics,Sale,799000.0,4,3,1800,Fion Choo
Eco Tropics,Sale,465000.0,3,3,1700,Gabriel Wong
Eco Tropics,Sale,399000.0,4,3,1700,Elaine Goh
Eco Tropics,Sale,400000.0,4,3,1750,Elaine Goh
Eco Tropics,Sale,760000.0,5,6,2828,Bear Beh
Eco Tropics,Sale,790000.0,4,3,2240,Henric Chng
Eco Tropics,Sale,611000.0,4,3,1827,Louis Koh
Eco Tropics,Sale,556000.0,4,3,1827,Louis Koh
Eco Tropics,Sale,611000.0,4,3,1827,Louis Koh
Eco Tropics,Sale,556000.0,4,3,1827,Louis Koh
Eco Tropics,Sale,530000.0,4,3,1800,Carson .
Eco Tropics,Sale,580000.0,4,3,1400,Mohamad Khaidir Shah Md Razak
Eco Tropics,Sale,660000.0,4,3,2240,Louis Tan
Eco Tropics,Sale,580000.0,4,3,1600,Rean Goh
Eco Tropics,Sale,488000.0,3,3,1400,Rean Goh
Eco Tropics,Sale,450000.0,4,3,1603,Iris Lua
