PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Merdeka Jaya,Sale,388000.0,4,2,1400,Steven Sor
Taman Merdeka Jaya,Sale,306000.0,3,3,1650,Mathias Tan
Taman Merdeka Jaya,Sale,450000.0,4,3,1400,Kelvin Chia
Taman Merdeka Jaya,Sale,270000.0,4,2,1400,Ir Asrima Chi Ari
Taman Merdeka Jaya,Sale,380000.0,4,3,2000,Fairuz Salehan
Taman Merdeka Jaya,Sale,250000.0,3,2,1540,Steven Sor
Taman Merdeka Jaya,Sale,190000.0,3,3,1500,Jordan Lee
Taman Merdeka Jaya,Sale,260000.0,3,2,1200,Tim Piong
Taman Merdeka Jaya,Sale,399000.0,4,2,2100,Tim Piong
Taman Merdeka Jaya,Sale,298000.0,3,2,1540,Tim Piong
Taman Merdeka Jaya,Sale,328000.0,4,2,1560,Shalyn Tan
Taman Merdeka Jaya,Sale,308000.0,4,2,1560,Lawrance Lim
Taman Merdeka Jaya,Sale,418000.0,4,3,1500,Shawn Teh
Taman Merdeka Jaya,Sale,328000.0,4,2,1560,Kellyn Foo
Taman Merdeka Jaya,Sale,288000.0,3,2,1540,Bee .
Taman Merdeka Jaya,Sale,420000.0,4,3,1400,Alvin Chan Kai Boon
Taman Merdeka Jaya,Rent,1600.0,5,3,1540,Danny Kuah Kim Hai
Taman Merdeka Jaya,Rent,900.0,3,2,1540,Steven Sor
Residensi Pulau Sebang,Sale,320000.0,5,3,4300,HG KOH
Residensi Pulau Sebang,Sale,380000.0,5,3,1900,Iffah Hamed
Taman Batu Berendam Putra,Sale,598000.0,5,3,1800,Kenny Tay
Taman Batu Berendam Putra,Sale,1000000.0,6,6,3600,Jenny Tai Chen Leen
Taman Batu Berendam Putra,Rent,1300.0,3,3,1510,Steven Sor
Country Villas Resort,Sale,498000.0,4,4,1540,Vinc Pheng
Country Villas Resort,Sale,530000.0,4,4,2382,Country Villas Resort Sdn Bhd
Country Villas Resort,Sale,498000.0,4,4,2500,Lawrance Lim
Country Villas Resort,Sale,498000.0,4,4,2300,Shawn Teh
Country Villas Resort,Sale,550000.0,4,4,1540,Wesley Tan
Country Villas Resort,Sale,460000.0,4,4,2175,Wesley Tan
Country Villas Resort,Sale,530000.0,4,3,1540,Alvin Chan Kai Boon
Country Villas Resort,Sale,498000.0,4,4,1540,Aiden Teo
Country Villas Resort,Sale,465000.0,4,4,1650,Lawrance Lim
Country Villas Resort,Sale,415000.0,4,4,1540,Danny Kuah Kim Hai
Country Villas Resort,Sale,420000.0,2,2,1540,Kellyn Foo
Country Villas Resort,Sale,585000.0,4,4,1430,Johnny Wong
Country Villas Resort,Sale,550000.0,4,4,2000,Yeow Rui Jun
Country Villas Resort,Sale,598000.0,4,4,2600,Aiden Teo
Country Villas Resort,Rent,2200.0,5,4,2600,Jordan Lee
