PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
NADA ALAM • Freehold,Sale,364500.0,4,3,1600,Alan Ho
NADA ALAM • Freehold,Sale,364000.0,4,3,1600,Vivian Chang
NADA ALAM • Freehold,Sale,415000.0,4,2,1100,Ammeer Nadzrai
NADA ALAM • Freehold,Sale,450000.0,4,4,2412,BC Lee
NADA ALAM • Freehold,Sale,420000.0,4,4,2200,Chrix Soo
NADA ALAM • Freehold,Sale,410000.0,4,4,2100,Chrix Soo
NADA ALAM • Freehold,Sale,660000.0,4,3,1540,Cathy Tiang
NADA ALAM • Freehold,Sale,450000.0,4,4,2412,BC Lee
NADA ALAM • Freehold,Sale,415000.0,4,2,1100,Azli Ibrahim
NADA ALAM • Freehold,Sale,570000.0,4,4,2169,Siti Fatimah
NADA ALAM • Freehold,Sale,364000.0,4,3,1600,Vivian Chang
NADA ALAM • Freehold,Sale,490000.0,4,4,1980,Umar Hanim
NADA ALAM • Freehold,Sale,505000.0,4,4,2412,DILLA -
NADA ALAM • Freehold,Sale,480000.0,4,3,2500,Haron Agen
NADA ALAM • Freehold,Sale,450000.0,4,4,1840,WAN MUHAMMAD
NADA ALAM • Freehold,Sale,450000.0,4,4,1840,Afifi Sedzali
NADA ALAM • Freehold,Sale,364500.0,3,1,1600,Emily .
NADA ALAM • Freehold,Sale,420000.0,4,4,2200,Athena Cho
NADA ALAM • Freehold,Sale,410000.0,4,4,2100,Athena Cho
NADA ALAM • Freehold,Sale,364500.0,4,3,2200,Khoo .
NADA ALAM • Freehold,Sale,450000.0,4,4,1840,ZulFikri .
NADA ALAM • Freehold,Sale,509000.0,2,3,2400,Ahmad Fikri Amer Hamzah
NADA ALAM • Freehold,Sale,509000.0,4,3,2400,Zafran Ederis
NADA ALAM • Freehold,Rent,1600.0,4,4,2774,BC Lee
Lunaria III @ Resort Homes,Sale,670000.0,4,4,3164,Chan KS
Lunaria III @ Resort Homes,Sale,831000.0,4,4,3240,Joshua Lee
Lunaria III @ Resort Homes,Sale,650000.0,4,4,3164,Afifi Sedzali
Lunaria III @ Resort Homes,Sale,480000.0,4,4,2700,Justin Lim
Lunaria III @ Resort Homes,Sale,700000.0,4,4,2500,Chia Henric
Lunaria III @ Resort Homes,Sale,800000.0,4,4,2500,Chia Henric
Lunaria III @ Resort Homes,Sale,1600000.0,4,4,3000,Chia Henric
Lunaria III @ Resort Homes,Sale,1200000.0,4,4,5000,Chia Henric
Lunaria III @ Resort Homes,Sale,1350000.0,4,4,4160,Caroline Teh
Lunaria III @ Resort Homes,Sale,650000.0,4,4,3164,Nazli Ambak
Lunaria III @ Resort Homes,Sale,699000.0,4,4,2700,Iena Aziz
Lunaria III @ Resort Homes,Sale,650000.0,4,4,2833,Iqbal Rafei
Lunaria III @ Resort Homes,Sale,650000.0,4,4,2863,Anas Ashaari
Lunaria III @ Resort Homes,Sale,669000.0,4,4,2700,Mohd Safuan Sidin
Lunaria III @ Resort Homes,Sale,650000.0,4,4,3164,Hafizee Ismail
Lunaria III @ Resort Homes,Sale,695000.0,4,3,3251,Rahman Isa
Lunaria III @ Resort Homes,Rent,2300.0,4,4,2000,Chia Henric
Lunaria III @ Resort Homes,Rent,1800.0,4,4,3541,Rid Afzal
Lunaria III @ Resort Homes,Rent,5500.0,6,6,4500,Chia Henric
Bandar Springhill,Sale,480000.0,4,4,2600,Connie Lim
Bandar Springhill,Sale,433000.0,4,4,2600,Connie Lim
Bandar Springhill,Sale,220000.0,3,2,1281,Khadijah Zakaria
Bandar Springhill,Sale,225000.0,3,2,800,Muhammad Fahid Fitlla
Bandar Springhill,Sale,220000.0,3,2,1040,Khadijah Zakaria
Bandar Springhill,Sale,225000.0,3,2,800,Fauran Nawawi
Bandar Springhill,Sale,220000.0,3,2,1040,Khadijah Zakaria
Bandar Springhill,Sale,185000.0,3,2,1027,Suriaty Binti Haji Sulaiman
Bandar Springhill,Sale,225000.0,3,2,800,Najibah Sahari
Bandar Springhill,Sale,225000.0,3,2,900,Alvin Tang
Bandar Springhill,Sale,150000.0,3,3,797,Emily .
Bandar Springhill,Sale,448000.0,4,4,2650,Connie Lim
Bandar Springhill,Sale,240000.0,3,2,1027,Hafeez Ow Yong
Bandar Springhill,Sale,1500000.0,4,3,2970,Alicia Chan
Bandar Springhill,Sale,220000.0,3,2,1040,Maizura binti Mohd Darus
Bandar Springhill,Sale,215000.0,3,2,832,Khadijah Zakaria
Bandar Springhill,Sale,398000.0,4,3,1800,Suriaty Binti Haji Sulaiman
Bandar Springhill,Rent,2100.0,4,3,1400,BC Lee
Bandar Springhill,Rent,1350.0,4,3,1600,BC Lee
Bayu Indera Lukut,Sale,262000.0,3,2,1300,BC Lee
Bayu Indera Lukut,Sale,290000.0,3,2,1300,Suriaty Binti Haji Sulaiman
Bayu Indera Lukut,Sale,388000.0,4,4,2680,Emma Wong
Bayu Indera Lukut,Sale,262000.0,3,2,1300,BC Lee
Bayu Indera Lukut,Sale,261000.0,3,2,1400,Gary Chow
Bayu Indera Lukut,Sale,262000.0,3,2,1300,BC Lee
Bayu Indera Lukut,Sale,261000.0,4,2,1400,Khoo .
Bayu Indera Lukut,Sale,261000.0,3,2,1400,Gary Chow
Bayu Indera Lukut,Sale,300000.0,3,2,1400,Alwen Choong
Bayu Indera Lukut,Sale,300000.0,3,2,1200,Adam Baharum
Bayu Indera Lukut,Sale,300000.0,3,2,1200,Haliza Mohamad Haron
Bayu Indera Lukut,Sale,310000.0,3,2,800,Muhammad Afiq
Bayu Indera Lukut,Sale,290000.0,3,2,1300,Hafidz Ali
Bayu Indera Lukut,Sale,308000.0,3,2,1200,Alvin Tang
Bayu Indera Lukut,Sale,310000.0,3,2,800,Rahman Isa
Bayu Indera Lukut,Sale,268000.0,3,2,1300,Philip Goh (Seremban Property)
Taman Desa Indah,Sale,420000.0,4,3,1650,Khadijah Zakaria
Taman Desa Indah,Sale,350000.0,3,2,1400,Ahmad Fikri Amer Hamzah
Taman Desa Indah,Sale,700000.0,4,4,2200,Jason Tang
Taman Desa Indah,Sale,350000.0,3,2,1400,Ahmad Fikri Amer Hamzah
Taman Desa Indah,Sale,440000.0,4,4,2600,Joey Toh
Taman Desa Indah,Sale,350000.0,3,2,1100,Siti Hawa Md Ibrahim
Taman Desa Indah,Sale,350000.0,3,2,950,Arif Halim
Taman Desa Indah,Sale,350000.0,3,2,1100,Rashidah Juremi
Taman Desa Indah,Sale,538000.0,4,4,2600,Connie Lim
Taman Desa Indah,Sale,550000.0,4,3,2382,Rahman Isa
Taman Desa Indah,Sale,780000.0,4,3,2851,Dr. Laily Rashid
Taman Indah @ Tampin,Sale,3600000.0,,,217800,Kellie Tan
Mahkota Hills,Sale,460000.0,4,2,1688,NoorisHaris .
Mahkota Hills,Sale,460000.0,4,2,1688,Muhammad Afiq
Mahkota Hills,Sale,515000.0,4,2,1650,Ahmad Fikri Amer Hamzah
Mahkota Hills,Sale,565000.0,5,3,4000,Dzuhairy Hussin
Mahkota Hills,Sale,420000.0,4,2,1688,Dzuhairy Hussin
