PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,3,800,Khairul Safuan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Faiz .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,270000.0,4,3,1950,Faiz .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,185000.0,3,2,900,Redzuan Ahmad
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Mohd Zakhiruddin Bin Zulkifli
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198405.0,3,2,900,Sariza Hartanah
Bandar Baru Setia Awan Perdana (BBSAP),Sale,185000.0,3,2,900,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Sale,240610.0,4,3,1903,Mohd Zulhilmi
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Mohd Zulhilmi
Bandar Baru Setia Awan Perdana (BBSAP),Sale,215000.0,3,2,1200,Kok Beng Hui
Bandar Baru Setia Awan Perdana (BBSAP),Sale,190000.0,3,2,900,Mohd Nasharil
Bandar Baru Setia Awan Perdana (BBSAP),Sale,320000.0,3,2,1380,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Sale,200000.0,3,2,900,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Sale,220000.0,3,2,880,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,1800,Atie Mohd Lotfie
Bandar Baru Setia Awan Perdana (BBSAP),Sale,192000.0,3,2,900,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,240610.0,4,3,1060,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,188405.0,3,2,1060,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,800,Zainab Abdul Rahman
Bandar Baru Setia Awan Perdana (BBSAP),Sale,200000.0,3,3,1540,Emily .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,200000.0,3,2,1302,Muhammad Hadzwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,880,Zulrizqhartanah .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,195000.0,3,2,1300,Zulrizqhartanah .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,201000.0,3,2,1400,Norhasniza .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,201000.0,3,2,880,Farhan Bakar
Bandar Baru Setia Awan Perdana (BBSAP),Rent,500.0,3,2,1300,Khairul Azman
Bandar Baru Setia Awan Perdana (BBSAP),Rent,500.0,3,2,900,Atikah Amirah
Bandar Baru Setia Awan Perdana (BBSAP),Rent,450.0,3,2,900,Atikah Amirah
Bandar Baru Setia Awan Perdana (BBSAP),Rent,400.0,3,2,900,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Rent,650.0,3,2,880,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Rent,500.0,3,2,900,Muinuddin Muhamad
Taman Gopeng,Sale,250000.0,3,2,990,Andrew Kan
Desa Manjung Raya,Sale,370000.0,5,3,1400,ADAM HARIZ
Desa Manjung Raya,Sale,1000000.0,5,3,4500,ADAM HARIZ
Desa Manjung Raya,Sale,482000.0,4,4,4768,Jason Tang
Desa Manjung Raya,Sale,482000.0,4,3,4768,Alan Ho
Bandar Seri Botani - Phase 7.2B(1),Sale,450000.0,4,4,2200,Mr Yuen
Bandar Seri Botani - Phase 7.2B(1),Sale,800000.0,4,4,4187,Kingsley Wong
Bandar Seri Botani - Phase 7.2B(1),Sale,390000.0,4,2,1080,Steven Chong
Bandar Seri Botani - Phase 7.2B(1),Sale,400000.0,3,2,1400,Kang .
Bandar Seri Botani - Phase 7.2B(1),Sale,400000.0,4,3,2000,ken loh
Bandar Seri Botani - Phase 7.2B(1),Sale,399999.0,3,2,3121,SK Kok
Bandar Seri Botani - Phase 7.2B(1),Sale,400000.0,3,2,3121,Kingsley Wong
Bandar Seri Botani - Phase 7.2B(1),Sale,648000.0,4,3,1400,Jessey Ng
Bandar Seri Botani - Phase 7.2B(1),Rent,1300.0,4,3,1400,Kate .
Taman Suria Permai @ Taiping,Sale,350000.0,4,3,1600,Zainab Abdul Rahman
