PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Duta Villa  2,Sale,668800.0,4,4,2530,Siti Nurhaliza
Duta Villa  2,Sale,1260000.0,6,6,3680,Khairudin Sulaiman
Duta Villa  2,Sale,518000.0,4,4,2600,Connie Lim
Duta Villa  2,Sale,1297000.0,6,6,4030,BILYA ARIFF
Duta Villa  2,Sale,458000.0,4,4,2600,Eddy .
Duta Villa  2,Sale,1260000.0,6,6,3880,Muhd Firdaus Ismail
Duta Villa  2,Sale,930000.0,4,4,2500,Sarliza Jafar
Duta Villa  2,Sale,1300000.0,6,6,3680,Mohd Zulhilmi
Duta Villa  2,Sale,1300000.0,6,6,3680,Azik Khalid
Duta Villa  2,Sale,1342405.0,6,6,4030,Fakhzan Badiran
Duta Villa  2,Sale,1234000.0,6,6,4014,AZLIZA .
Duta Villa  2,Sale,1235000.0,6,6,3680,Rashidah Juremi
Duta Villa  2,Sale,1342405.0,5,6,4030,"Eryna ,"
Duta Villa  2,Sale,1235000.0,6,6,3680,Muhammad Syazwan
Duta Villa  2,Sale,1242000.0,6,6,3680,Faris Azfar Zulkurnain
Precinct 14 @ Putrajaya,Sale,450000.0,4,4,2600,James Tan
Precinct 14 @ Putrajaya,Sale,1400000.0,5,5,2800,Najah .
Precinct 14 @ Putrajaya,Sale,2600000.0,6,6,4800,Muhammad Faeiz Mohd Zin
Precinct 14 @ Putrajaya,Sale,950000.0,4,4,2500,Mohd Nazri Roslan
Precinct 14 @ Putrajaya,Sale,2600000.0,7,6,4800,Fadilah Yusoff
Precinct 14 @ Putrajaya,Sale,480000.0,4,4,2600,Connie Lim
Precinct 14 @ Putrajaya,Sale,433000.0,4,4,2874,Kayden Lim
Precinct 14 @ Putrajaya,Sale,403000.0,4,4,2530,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,435888.0,4,4,2580,Joey Toh
Precinct 14 @ Putrajaya,Sale,430000.0,4,4,2800,Joey Toh
Precinct 14 @ Putrajaya,Sale,940000.0,4,3,2500,Siti Fatimah
Precinct 14 @ Putrajaya,Sale,376888.0,4,4,2250,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,406000.0,4,4,2188,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,568888.0,4,4,2788,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,950000.0,5,4,2500,Riduan Supian
Precinct 14 @ Putrajaya,Sale,950000.0,5,4,2500,Syahmi Khadari
Precinct 14 @ Putrajaya,Sale,476888.0,4,4,2344,Eddy .
Precinct 14 @ Putrajaya,Sale,520000.0,4,4,2600,Connie Lim
Precinct 14 @ Putrajaya,Sale,9360000.0,7,7,11796,Sean Seng
Precinct 14 @ Putrajaya,Sale,398888.0,4,4,2580,Sam Sim
Precinct 14 @ Putrajaya,Sale,586000.0,4,4,2380,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,388000.0,4,4,2280,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,510000.0,4,4,2780,Clarise Tee
Precinct 14 @ Putrajaya,Sale,455000.0,4,4,2800,Edmond Chen
Precinct 14 @ Putrajaya,Sale,498888.0,4,4,2680,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,435000.0,4,4,2200,James Tan
Precinct 14 @ Putrajaya,Sale,460000.0,4,4,2700,Justin Lim
Precinct 14 @ Putrajaya,Sale,408888.0,4,4,2308,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,388000.0,4,4,2388,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,749000.0,4,4,2439,Winsley Lim
Precinct 14 @ Putrajaya,Sale,950000.0,4,4,2500,Arif Mustapha
Precinct 14 @ Putrajaya,Sale,1400000.0,5,5,2800,Muna Zawani Muhamad
Precinct 14 @ Putrajaya,Sale,1100000.0,4,3,1900,BILYA ARIFF
Precinct 14 @ Putrajaya,Sale,398888.0,4,4,2388,Siti Nurhaliza
Precinct 14 @ Putrajaya,Sale,420000.0,4,4,2800,James Tan
Precinct 14 @ Putrajaya,Sale,398888.0,4,4,2950,James Tan
