PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Melodia 2 @ Setia Alam Impian,Sale,782800.0,4,3,1652,S P Setia Bhd Group
Melodia 2 @ Setia Alam Impian,Sale,690000.0,4,4,2000,Kenny Liew
Melodia 2 @ Setia Alam Impian,Sale,780000.0,3,3,2063,Rahmad .
Melodia 2 @ Setia Alam Impian,Sale,580000.0,4,3,1300,Emily Tse Sio Teng
Melodia 2 @ Setia Alam Impian,Sale,675000.0,4,4,1950,Lo Chin Hooi
Melodia 2 @ Setia Alam Impian,Sale,700000.0,4,4,2000,Jeff Lim
Ken Rimba Jimbaran Residences,Sale,668000.0,4,3,2300,Allen Ang
Ken Rimba Jimbaran Residences,Sale,670000.0,5,3,2300,Emily Kho
Ken Rimba Jimbaran Residences,Sale,670000.0,5,3,2300,Emily Kho
Ken Rimba Jimbaran Residences,Sale,937000.0,4,3,2600,Minghui Lee
Ken Rimba Jimbaran Residences,Sale,670000.0,4,3,2300,Allen Ang
Ken Rimba Jimbaran Residences,Sale,670000.0,5,3,2300,Jing Ren (JR)
Ken Rimba Jimbaran Residences,Sale,670000.0,5,3,2300,Kevin Yan
Ken Rimba Jimbaran Residences,Sale,740000.0,4,3,2332,Farid Zain
Ken Rimba Jimbaran Residences,Sale,1230000.0,5,3,2600,Allen Ang
Ken Rimba Jimbaran Residences,Sale,937000.0,5,3,2600,Jonathan Chai
Ken Rimba Jimbaran Residences,Sale,1200000.0,5,3,2700,Emily Kho
Ken Rimba Jimbaran Residences,Sale,670000.0,5,3,2300,Stephy Lau
Ken Rimba Jimbaran Residences,Sale,700000.0,4,3,2322,Allen Ang
Ken Rimba Jimbaran Residences,Sale,700000.0,5,3,2300,Jaleela Banu Ahmad
Ken Rimba Jimbaran Residences,Sale,1200000.0,5,3,2700,Jing Ren (JR)
Ken Rimba Jimbaran Residences,Sale,1450009.0,4,3,2650,Christine Cheoh
Ken Rimba Jimbaran Residences,Sale,1450000.0,4,3,2650,Tony Chia
Ken Rimba Jimbaran Residences,Sale,700000.0,4,3,2332,Lokman Hakim
Ken Rimba Jimbaran Residences,Sale,1400000.0,4,3,2650,Jimmy Lim
Ken Rimba Jimbaran Residences,Sale,937000.0,5,3,2600,Jonathan Chai
Ken Rimba Jimbaran Residences,Sale,700000.0,4,3,2300,Allen Ang
Ken Rimba Jimbaran Residences,Sale,1230000.0,5,3,2600,Allen Ang
Ken Rimba Jimbaran Residences,Sale,1450000.0,4,3,3840,Eunice Lim
Ken Rimba Jimbaran Residences,Sale,700000.0,4,3,2300,Allen Ang
Ken Rimba Jimbaran Residences,Sale,1230000.0,5,3,2700,Emily Kho
Ken Rimba Jimbaran Residences,Sale,700000.0,5,3,2300,Emily Kho
Ken Rimba Jimbaran Residences,Sale,1230000.0,5,3,2700,Emily Kho
Ken Rimba Jimbaran Residences,Sale,695000.0,5,3,2300,Emily Kho
Ken Rimba Jimbaran Residences,Sale,700000.0,4,3,2322,Allen Ang
Ken Rimba Jimbaran Residences,Sale,926600.0,4,3,2500,Stephanie Chen
Ken Rimba Jimbaran Residences,Sale,1200000.0,4,3,2600,Stephanie Chen
Ken Rimba Jimbaran Residences,Sale,1230000.0,5,3,2600,Allen Ang
Ken Rimba Jimbaran Residences,Sale,670000.0,5,3,2300,Emily Kho
Ken Rimba Jimbaran Residences,Sale,1200000.0,4,3,2600,Joseph Chan
Ken Rimba Jimbaran Residences,Sale,1230000.0,5,3,2700,Emily Kho
Ken Rimba Jimbaran Residences,Sale,700000.0,5,3,2300,Emily Kho
Ken Rimba Jimbaran Residences,Sale,700000.0,5,3,2300,Jing Ren (JR)
Ken Rimba Jimbaran Residences,Rent,2000.0,4,3,1685,Lorna Lim
Ken Rimba Jimbaran Residences,Rent,2200.0,3,2,1100,Lim Wai Yee
Taman Dagang Jaya,Sale,1300000.0,6,3,2000,BILYA ARIFF
Taman Dagang Jaya,Sale,1250000.0,6,3,2500,Ms Linna .
Taman Dagang Jaya,Sale,1300000.0,6,3,4929,Jeffrey Ooi
Taman Dagang Jaya,Sale,1300000.0,6,3,4929,Jeffrey Ooi
Taman Dagang Jaya,Sale,1500000.0,6,3,5000,Diana .
Taman Dagang Jaya,Sale,1500000.0,6,3,5000,Abdul Rahim
Taman Dagang Jaya,Sale,400000.0,2,1,750,Kent Yeo
Taman Dagang Jaya,Sale,1250000.0,5,3,3137,Cik Maya Abdul
Taman Dagang Jaya,Sale,1250000.0,5,3,3137,Cik Maya Abdul
Taman Dagang Jaya,Sale,420000.0,2,1,750,Haron Agen
Taman Dagang Jaya,Sale,636000.0,4,3,1650,Vincent Tan
Taman Dagang Jaya,Sale,1300000.0,6,3,5000,Irsyard Anhar
Taman Dagang Jaya,Sale,420000.0,2,1,750,Mohammad Amin bin Ismail
Taman Dagang Jaya,Sale,1500000.0,5,6,3000,Zaidah Ahmad
Taman Dagang Jaya,Sale,420000.0,2,1,750,Abdul Qadir
Taman Dagang Jaya,Sale,1500000.0,6,3,5000,Natrah Soraya
Taman Dagang Jaya,Sale,1150000.0,6,3,4800,Vincent Tan
Taman Dagang Jaya,Sale,420000.0,2,1,750,Muhsin .
Taman Dagang Jaya,Sale,1500000.0,6,3,2400,Sazrul Nizad
Taman Dagang Jaya,Sale,2000000.0,3,2,3831,Sri Rohayu Yusof
Taman Dagang Jaya,Sale,430000.0,2,1,750,BILYA ARIFF
Taman Dagang Jaya,Sale,405000.0,2,1,750,Vincent Tan
Taman Dagang Jaya,Sale,1300000.0,6,3,1875,Ahmad Nawawi Haron
Taman Dagang Jaya,Sale,420000.0,2,1,750,IQBAL .
