PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Leisure Farm,Sale,1850000.0,5,5,3000,Sing Ying
Leisure Farm,Sale,2800000.0,5,5,5500,Derrick Low
Leisure Farm,Sale,980000.0,4,3,1750,Alfred Pee
Leisure Farm,Sale,1880000.0,5,5,3721,Sheng Long
Leisure Farm,Sale,8800000.0,5,6,9662,Sheng Long
Leisure Farm,Sale,2700000.0,5,5,5500,Rachel See
Leisure Farm,Sale,1888000.0,5,5,3721,Rachel See
Leisure Farm,Sale,3114860.0,,,44498,Mark Mah
Leisure Farm,Sale,4034100.0,,,57630,Mark Mah
Leisure Farm,Sale,1600000.0,4,5,3900,Mark Mah
Leisure Farm,Sale,2800000.0,5,5,5500,Ann .
Leisure Farm,Sale,58.0,,,47000,Jacob Koh
Leisure Farm,Sale,1600000.0,,,17000,Jacob Koh
Leisure Farm,Sale,8800000.0,4,4,8275,Nicholas Tey
Leisure Farm,Sale,10000000.0,8,9,13000,Nicholas Tey
Leisure Farm,Sale,5999888.0,5,6,70000,KK Koh
Leisure Farm,Sale,1880000.0,5,5,3721,Eric Wong
Leisure Farm,Sale,5600000.0,5,6,6500,Along Arshad
Leisure Farm,Sale,95.0,,,18077,YS Chong
Leisure Farm,Sale,7500000.0,7,9,10000,Desmond Chan
Leisure Farm,Sale,8000000.0,7,8,9000,Rachel See
Leisure Farm,Sale,10500000.0,4,5,7000,Max Kan
Leisure Farm,Sale,11000000.0,7,6,10000,KK Koh
Leisure Farm,Sale,15000000.0,7,7,12000,Along Arshad
Leisure Farm,Sale,2300000.0,5,6,4391,Rachel See
Leisure Farm,Sale,7500000.0,8,9,10000,Max Keng
Leisure Farm,Sale,2980000.0,6,5,7000,Max Keng
Leisure Farm,Sale,20000000.0,8,9,15794,Max Keng
Leisure Farm,Sale,5500000.0,8,8,7000,Along Arshad
Leisure Farm,Sale,1888000.0,5,5,3721,YIN YIN
Leisure Farm,Sale,1320000.0,3,3,1973,C L Chia
Leisure Farm,Sale,1320000.0,3,3,1973,C L Chia
Leisure Farm,Sale,15000000.0,10,8,12000,Val Lee VL
Leisure Farm,Sale,12000000.0,6,7,8000,Val Lee VL
Leisure Farm,Sale,3280000.0,6,6,4700,Val Lee VL
Leisure Farm,Sale,6500000.0,5,5,19687,CH Tang
Leisure Farm,Sale,3350000.0,,,33442,CH Tang
Leisure Farm,Sale,11000000.0,6,6,12000,Jayson Lim
Leisure Farm,Sale,3900000.0,5,5,8000,Along Arshad
Leisure Farm,Sale,5170000.0,,,47000,Deric Ng
Leisure Farm,Sale,1888000.0,5,5,3271,Joaan Eng
Leisure Farm,Sale,1888000.0,5,5,3271,Joaan Eng
Leisure Farm,Sale,90.0,,,18000,Chua Yek Shin
Leisure Farm,Sale,1500000.0,,,15900,Chua Yek Shin
Leisure Farm,Sale,70.0,,,55200,Chua Yek Shin
Leisure Farm,Sale,3290000.0,,,47000,Chua Yek Shin
Leisure Farm,Sale,4000000.0,4,4,8000,Chua Yek Shin
Leisure Farm,Sale,8800000.0,5,5,9662,Chua Yek Shin
Leisure Farm,Sale,12000000.0,6,6,7500,Val Lee VL
Leisure Farm,Sale,1600000.0,4,4,3344,Henry Kee
Leisure Farm,Sale,2950000.0,5,6,4120,Henry Kee
Leisure Farm,Sale,4227570.0,,,46973,Kev Hor
Leisure Farm,Sale,16000000.0,8,5,50000,Kev Hor
Leisure Farm,Sale,5900000.0,5,5,5000,Jayson Lim
Leisure Farm,Sale,8500000.0,7,7,9039,Aiden Tang
Leisure Farm,Sale,13000000.0,4,5,12000,Aiden Tang
Leisure Farm,Sale,3400000.0,6,6,4500,Ernest Lew
Leisure Farm,Sale,15000000.0,9,9,12000,Ernest Lew
Leisure Farm,Sale,1700000.0,3,3,2200,Jacky Chua
Leisure Farm,Sale,10000000.0,7,7,8000,YK TAN
Leisure Farm,Sale,15000000.0,9,8,12000,YK TAN
Leisure Farm,Sale,3000000.0,5,6,5000,YK TAN
Leisure Farm,Sale,1888000.0,5,5,3721,Jin Chong
Leisure Farm,Sale,7300000.0,8,8,10000,Val Lee VL
Leisure Farm,Sale,3100000.0,6,6,7061,Val Lee VL
Leisure Farm,Sale,5000000.0,7,7,6000,Val Lee VL
Leisure Farm,Sale,13800000.0,10,8,10000,Val Lee VL
Leisure Farm,Sale,5880000.0,6,6,5500,Val Lee VL
Leisure Farm,Sale,1888000.0,5,5,3271,Joaan Eng
Leisure Farm,Sale,1888000.0,5,5,3271,Joaan Eng
Leisure Farm,Sale,1888000.0,5,5,3271,Joaan Eng
Leisure Farm,Sale,980000.0,3,3,1800,Liza Leong
Leisure Farm,Sale,3000000.0,5,4,4000,Michelle Koh
Leisure Farm,Sale,2950000.0,5,5,4500,Will Loh
Leisure Farm,Sale,2800000.0,5,5,5500,Will Loh
Leisure Farm,Sale,2050000.0,,,23770,Jacky Chua
Leisure Farm,Sale,480000.0,3,3,1677,Jacky Chua
Leisure Farm,Sale,2313200.0,,,23132,Mark Mah
Leisure Farm,Sale,4521500.0,,,45215,Mark Mah
Leisure Farm,Sale,4695800.0,,,46958,Mark Mah
Leisure Farm,Sale,9800000.0,5,5,13000,Victor Tai
Leisure Farm,Sale,11000000.0,5,6,12000,KK Koh
Leisure Farm,Sale,2800000.0,5,5,5500,Carrien Siow
Leisure Farm,Sale,3380000.0,6,6,4600,Carrien Siow
Leisure Farm,Sale,8500000.0,8,6,12000,Carrien Siow
Leisure Farm,Sale,2300000.0,5,5,4391,Allan Tey
Leisure Farm,Sale,8800000.0,4,6,9662,Allan Tey
Leisure Farm,Sale,1888000.0,4,5,3721,Gelyne Yong
Leisure Farm,Sale,3000000.0,4,4,3700,Benedict Yap
Leisure Farm,Sale,1808000.0,5,5,3271,YIN YIN
Leisure Farm,Sale,5000000.0,4,5,8000,Roy Lim Wei Chao
Leisure Farm,Sale,4000000.0,3,5,5500,Roy Lim Wei Chao
Leisure Farm,Sale,3300000.0,5,7,5845,Roy Lim Wei Chao
Leisure Farm,Sale,3000000.0,4,4,3700,Roy Lim Wei Chao
Leisure Farm,Sale,1180000.0,4,3,1920,Roy Lim Wei Chao
Leisure Farm,Sale,4200000.0,4,5,4200,Roy Lim Wei Chao
Leisure Farm,Sale,5990000.0,6,5,10000,Roy Lim Wei Chao
