PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Taynton View,Sale,845000.0,4,3,2144,Kent Wong
Taman Taynton View,Sale,950000.0,4,3,2000,Kevin Yai
Taman Taynton View,Sale,1200000.0,4,3,2800,Kevin Yai
Taman Taynton View,Sale,2147500.0,,,8590,Kent Wong
Taman Taynton View,Sale,1588600.0,,,6769,Kent Wong
Taman Taynton View,Sale,960000.0,4,3,2000,Kent Wong
Taman Taynton View,Sale,845000.0,4,3,2000,Kevin Yai
Taman Taynton View,Sale,845000.0,4,3,2144,Hudson Low
Taman Taynton View,Sale,2000000.0,6,6,4500,Kevin Yai
Taman Taynton View,Sale,5800000.0,7,5,10000,Kenny Chia
Taman Taynton View,Sale,4000000.0,7,6,8621,Chee Meng
Taman Taynton View,Sale,1900000.0,6,5,3606,Igen Mak
Taman Taynton View,Sale,2100000.0,6,5,4000,Igen Mak
Taman Taynton View,Sale,1920000.0,,,8000,Igen Mak
Taman Taynton View,Sale,2500000.0,,,10000,Igen Mak
Taman Taynton View,Sale,2090000.0,6,3,4000,Igen Mak
Taman Taynton View,Sale,2100000.0,6,4,4000,Igen Mak
Taman Taynton View,Sale,838000.0,4,3,2000,Kevin Yai
Taman Taynton View,Sale,838000.0,4,3,2000,Kevin Yai
Taman Taynton View,Sale,960000.0,4,3,2000,Kevin Yai
Taman Taynton View,Sale,549999.0,4,2,1650,CK Chong
Taman Taynton View,Sale,915000.0,4,3,2200,Wong Chun Ming
Taman Taynton View,Sale,829999.0,4,3,2000,Joly Liew
Taman Taynton View,Sale,870000.0,9,9,2400,Dominic Chandran
Taman Taynton View,Sale,3200000.0,4,4,4800,Fred Chai Meng Foong
Taman Taynton View,Sale,1500000.0,4,3,2572,Kevin Yai
Taman Taynton View,Sale,519000.0,3,2,1650,Vincent Tan
Taman Taynton View,Sale,790000.0,4,3,2000,Igen Mak
Taman Taynton View,Sale,860000.0,4,3,2144,Iris Yong
Taman Taynton View,Sale,950000.0,4,3,2000,Iris Yong
Taman Taynton View,Sale,2350000.0,6,4,3000,Kent Wong
Taman Taynton View,Sale,2300000.0,7,5,4000,Kent Wong
Taman Taynton View,Sale,870000.0,5,3,2144,Tony Chang
Taman Taynton View,Sale,2350000.0,6,4,3000,Iris Yong
Taman Taynton View,Sale,540000.0,4,2,1650,Kris Tan
Taman Taynton View,Sale,1200000.0,,,6673,Kris Tan
Taman Taynton View,Sale,630000.0,4,2,1430,Rachael Saw
Taman Taynton View,Sale,2200000.0,6,6,4800,Kevin Yai
Taman Taynton View,Sale,2300000.0,7,5,6998,Kevin Yai
Taman Taynton View,Sale,1200000.0,4,3,2800,Iris Yong
Taman Taynton View,Sale,1100000.0,4,3,2000,Iris Yong
Taman Taynton View,Sale,830000.0,4,3,2000,Iris Yong
Taman Taynton View,Sale,2500000.0,,,7072,Kent Wong
Taman Taynton View,Sale,1200000.0,4,3,3617,Ida Wong
Taman Taynton View,Sale,1500000.0,4,3,2572,Kevin Yai
Taman Taynton View,Sale,1100000.0,4,3,2000,Kevin Yai
Taman Taynton View,Sale,1200000.0,4,3,2000,Kevin Yai
