PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Vista Kirana,Sale,860000.0,6,4,3000,Shawn Teh
Vista Kirana,Sale,790000.0,4,3,3200,Alvin Chan Kai Boon
Vista Kirana,Sale,790000.0,5,3,4413,Alvin Chan Kai Boon
Vista Kirana,Sale,1680000.0,6,4,5000,Wesley Tan
Vista Kirana,Sale,1400000.0,6,4,4530,Arif Mustapha
Vista Kirana,Sale,860000.0,6,4,4250,Lawrance Lim
Vista Kirana,Sale,1400000.0,7,4,3000,Jenny Tai Chen Leen
Vista Kirana,Sale,1480000.0,6,5,3000,Johnny Wong
Vista Kirana,Sale,860000.0,6,4,4250,Aiden Teo
Vista Kirana,Sale,1400000.0,6,4,4766,Wesley Tan
Vista Kirana,Sale,968000.0,6,5,9017,Wesley Tan
Vista Kirana,Sale,1350000.0,8,8,6000,Wesley Tan
Vista Kirana,Sale,1280000.0,6,6,4766,Wesley Tan
Vista Kirana,Sale,1280000.0,6,5,10957,Wesley Tan
Vista Kirana,Sale,1050000.0,6,4,4250,Wesley Tan
Vista Kirana,Sale,1050000.0,6,4,4250,Wesley Tan
Vista Kirana,Sale,1000000.0,6,5,4250,Wesley Tan
Vista Kirana,Sale,1270000.0,6,5,7887,Yeow Rui Jun
Vista Kirana,Sale,1150000.0,6,5,7900,Yeow Rui Jun
Vista Kirana,Sale,1150000.0,6,5,7980,Yeow Rui Jun
Vista Kirana,Sale,928000.0,6,5,7876,Yeow Rui Jun
Vista Kirana,Sale,850000.0,5,3,4320,Yeow Rui Jun
Vista Kirana,Sale,788000.0,5,4,4400,Yeow Rui Jun
Vista Kirana,Sale,950000.0,6,5,4250,Yeow Rui Jun
Vista Kirana,Sale,1999888.0,7,7,5284,Azharul Ariffin Bin Jamal
Vista Kirana,Sale,1400000.0,6,4,4000,Muhammad Faeiz Mohd Zin
Vista Kirana,Sale,930000.0,5,4,7775,Wesley Tan
Vista Kirana,Sale,1250000.0,7,5,4766,Wesley Tan
Vista Kirana,Sale,999999.0,5,4,7844,Jaclyn Ong
Vista Kirana,Sale,1200000.0,6,5,4250,Steven Sor
Vista Kirana,Sale,750000.0,5,3,5480,Raymond Lim PW
Vista Kirana,Sale,1080000.0,6,5,9450,Danny Kuah Kim Hai
Vista Kirana,Sale,1390000.0,7,4,4600,Mathias Tan
Vista Kirana,Sale,2200000.0,7,6,5000,Yeow Rui Jun
Vista Kirana,Sale,930000.0,6,5,7876,Yeow Rui Jun
Vista Kirana,Sale,1180000.0,7,6,4766,Steven Sor
Vista Kirana,Sale,980000.0,6,5,4347,Steven Sor
Vista Kirana,Sale,950000.0,6,5,4239,Steven Sor
Vista Kirana,Sale,1000000.0,6,5,4239,Steven Sor
Vista Kirana,Sale,795000.0,5,3,3900,Lawrance Lim
Vista Kirana,Sale,1000000.0,5,3,2980,Faizal Rahmat
Vista Kirana,Sale,1000000.0,6,4,3600,Rohana Harun
Vista Kirana,Rent,2650.0,5,4,3200,Fiona Woon
Vista Kirana,Rent,4000.0,6,6,4500,Yeow Rui Jun
Vista Kirana,Rent,2500.0,6,3,2100,Shaun Chua
BJB Heights Residences,Sale,930000.0,4,4,3210,Steven Sor
BJB Heights Residences,Sale,1180000.0,5,5,4800,Steven Sor
Taman Kasa Heights,Sale,468000.0,4,3,2216,Bee .
Taman Kasa Heights,Sale,194400.0,4,4,1320,Jason Tang
Taman Kasa Heights,Sale,300000.0,5,3,1540,Fazilah .
Taman Kasa Heights,Sale,211000.0,3,2,1150,Wesley Tan
