PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Country Heights Kajang,Sale,8200000.0,10,8,22542.0,Kamsiah Ahmad
Country Heights Kajang,Sale,1550000.0,4,4,2700.0,Nurul Nazuha Arrifin
Country Heights Kajang,Sale,8200000.0,10,9,22542.0,AHMAD SYUKRI
Country Heights Kajang,Sale,4090000.0,8,7,6392.0,Dhillon Tan
Country Heights Kajang,Sale,5500000.0,7,8,5360.0,Fauzi Abdullah
Country Heights Kajang,Sale,7500000.0,8,10,12000.0,Fauzi Abdullah
Country Heights Kajang,Sale,5000000.0,7,8,8200.0,Fauzi Abdullah
Country Heights Kajang,Sale,4200000.0,8,7,6392.0,Wai Mun
Country Heights Kajang,Sale,9000000.0,9,9,19522.0,Nurul Hija Othman
Country Heights Kajang,Sale,2000000.0,,,10161.0,Madhavan Nambiar
Country Heights Kajang,Sale,17800000.0,8,8,20000.0,Madhavan Nambiar
Country Heights Kajang,Sale,8200000.0,10,10,22542.0,Lutfi .
Country Heights Kajang,Sale,3000000.0,6,7,11037.0,Stacy Young
Country Heights Kajang,Sale,950000.0,,,6125.0,Stacy Young
Country Heights Kajang,Sale,938000.0,,,6100.0,Hei Kar Jun
Country Heights Kajang,Sale,4900000.0,9,8,11700.0,Hasfarizal Bin Abdul Halim
Country Heights Kajang,Sale,480000.0,3,2,1450.0,Hudson Tan
Country Heights Kajang,Sale,4499550.0,5,5,21345.0,Alan Ho
Country Heights Kajang,Sale,3780000.0,5,5,10640.0,Alan Ho
Country Heights Kajang,Sale,10500000.0,6,6,16500.0,Madhavan Nambiar
Country Heights Kajang,Sale,8500000.0,8,8,15000.0,Aizudin Borhan
Country Heights Kajang,Sale,3800000.0,7,4,8374.0,Mohamad Faizal Haini
Country Heights Kajang,Sale,8500000.0,8,8,15000.0,MOHD PISOL
Country Heights Kajang,Sale,4200000.0,8,8,6292.0,Megan Lim
Country Heights Kajang,Sale,10900000.0,10,8,16500.0,Halil Husayni Samsinor
Country Heights Kajang,Sale,7500000.0,7,8,15000.0,Venice Chong
Country Heights Kajang,Sale,6500000.0,7,6,15000.0,Venice Chong
Country Heights Kajang,Sale,5200000.0,8,9,9000.0,Venice Chong
Country Heights Kajang,Sale,4800000.0,5,5,5600.0,Venice Chong
Country Heights Kajang,Sale,2980000.0,5,5,5100.0,Venice Chong
Country Heights Kajang,Sale,8750000.0,6,8,15000.0,Venice Chong
Country Heights Kajang,Sale,5500000.0,6,5,6000.0,Venice Chong
Country Heights Kajang,Sale,5000000.0,8,8,12500.0,Venice Chong
Country Heights Kajang,Sale,9493000.0,,,6125.0,Charisse Ng
Country Heights Kajang,Sale,5300000.0,8,9,6200.0,Andi Tee
Country Heights Kajang,Sale,7500000.0,8,9,12000.0,Muhammad Faeiz Mohd Zin
Country Heights Kajang,Sale,1550000.0,5,4,2700.0,Muhammad Faeiz Mohd Zin
Country Heights Kajang,Sale,520000.0,3,2,1452.0,Nasrul Afiq Hamzah
Country Heights Kajang,Sale,4300000.0,3,5,6000.0,Madhavan Nambiar
Country Heights Kajang,Sale,8500000.0,6,8,25000.0,Madhavan Nambiar
Country Heights Kajang,Sale,4900000.0,5,5,8000.0,Madhavan Nambiar
Country Heights Kajang,Sale,6500000.0,5,7,15000.0,Madhavan Nambiar
Country Heights Kajang,Sale,5600000.0,6,6,7500.0,Madhavan Nambiar
Country Heights Kajang,Sale,7200000.0,10,9,20000.0,Madhavan Nambiar
Country Heights Kajang,Sale,5800000.0,8,7,10000.0,Madhavan Nambiar
Country Heights Kajang,Sale,4050000.0,6,7,8000.0,Madhavan Nambiar
Country Heights Kajang,Sale,3990000.0,7,8,9000.0,Madhavan Nambiar
Country Heights Kajang,Sale,9800000.0,8,8,1200.0,Madhavan Nambiar
Country Heights Kajang,Sale,5000000.0,,,20505.0,Wan Mohamad Yusuf Wan Mohd Sanusi
Country Heights Kajang,Sale,3160000.0,5,6,6076.0,Venice Chong
Country Heights Kajang,Sale,7500000.0,6,8,17000.0,Adibah Salim
Country Heights Kajang,Sale,480000.0,3,2,1452.0,Arif Mustapha
Country Heights Kajang,Sale,8800000.0,8,8,10000.0,Iqbal Rafei
Country Heights Kajang,Sale,7000000.0,6,8,17000.0,Amirul Ahyat
Country Heights Kajang,Sale,17800000.0,10,9,28000.0,Amirul Ahyat
Country Heights Kajang,Sale,5000000.0,5,5,6233.0,Amirul Ahyat
Country Heights Kajang,Sale,4500000.0,6,6,10400.0,Amirul Ahyat
Country Heights Kajang,Sale,5500000.0,8,8,14231.0,Amirul Ahyat
Country Heights Kajang,Sale,10900000.0,6,6,16000.0,Amirul Ahyat
Country Heights Kajang,Sale,1550000.0,4,4,2700.0,Noruljannah Binti Mohd Sabari
Country Heights Kajang,Sale,3980000.0,8,7,10000.0,Mohd Rasydan
Country Heights Kajang,Sale,140.0,,,10000.0,Rebecca Lew
Country Heights Kajang,Sale,4190000.0,8,7,6392.0,Kelvin Chia
Country Heights Kajang,Sale,5200000.0,9,8,11700.0,Afiq Hazwan
Country Heights Kajang,Sale,1076000.0,,,6523.0,Lewis Tam
Country Heights Kajang,Sale,1396000.0,,,9009.0,Lewis Tam
Country Heights Kajang,Sale,1580000.0,,,10538.0,Lewis Tam
Country Heights Kajang,Sale,1451000.0,,,10010.0,Lewis Tam
Country Heights Kajang,Sale,1475000.0,,,10538.0,Lewis Tam
Country Heights Kajang,Sale,1401000.0,,,10010.0,Lewis Tam
Country Heights Kajang,Sale,1279000.0,,,7998.0,Lewis Tam
Country Heights Kajang,Sale,1319000.0,,,7998.0,Lewis Tam
Country Heights Kajang,Sale,1738000.0,,,11593.0,Lewis Tam
Country Heights Kajang,Sale,4500000.0,5,5,7000.0,Amirul Ahyat
Country Heights Kajang,Sale,4000000.0,6,8,8500.0,Hasfarizal Bin Abdul Halim
Country Heights Kajang,Sale,1738950.0,,,11593.0,Zulrizqhartanah .
Country Heights Kajang,Sale,1580700.0,,,10538.0,Zulrizqhartanah .
Country Heights Kajang,Sale,17800000.0,10,9,26000.0,Gerald Ng
Country Heights Kajang,Sale,1451450.0,,,10010.0,Zulrizqhartanah .
Country Heights Kajang,Sale,3780000.0,6,6,10640.0,Brendan Phuah
Country Heights Kajang,Sale,1475320.0,,,10538.0,Zulrizqhartanah .
Country Heights Kajang,Sale,1401400.0,,,10010.0,Zulrizqhartanah .
Country Heights Kajang,Sale,583000.0,5,5,2561.0,Jason Lim
Country Heights Kajang,Sale,5200000.0,4,7,8000.0,Venice Chong
Country Heights Kajang,Sale,7800000.0,7,8,12000.0,Venice Chong
Country Heights Kajang,Sale,4200000.0,7,7,6292.0,Kristing .
Country Heights Kajang,Sale,7500000.0,6,8,17000.0,Arif MS
Country Heights Kajang,Sale,7500000.0,7,8,16000.0,Andi Tee
Country Heights Kajang,Sale,4380000.0,5,5,5000.0,Elaine Ding
Country Heights Kajang,Sale,583000.0,6,5,3500.0,James TanCP
Country Heights Kajang,Sale,4500000.0,7,6,4500.0,Adzura Zamedin
