PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Austin Perdana,Sale,1050000.0,5,6,3800,Edwin Dass
Austin Perdana,Sale,278000.0,3,2,805,Eddy Chan
Austin Perdana,Sale,635000.0,4,3,1900,Joey Tay
Austin Perdana,Sale,1550000.0,6,5,2972,KK Koh
Austin Perdana,Sale,668000.0,5,3,1500,James Siew
Austin Perdana,Sale,1100000.0,6,6,3200,Andy Tan BC
Austin Perdana,Sale,290000.0,3,2,900,Keith Shum
Austin Perdana,Sale,658000.0,4,3,1400,Yuna Gan
Austin Perdana,Sale,1050000.0,5,6,3500,Tycia Law
Austin Perdana,Sale,658000.0,4,3,1400,Anthony Moh
Austin Perdana,Sale,668000.0,5,3,1800,Michelle Lim
Austin Perdana,Sale,658000.0,4,3,1400,Jun Song
Austin Perdana,Sale,658000.0,4,3,1400,Cathy Tham
Austin Perdana,Sale,1050000.0,5,6,3200,Kin Yen
Austin Perdana,Sale,658000.0,4,3,1400,Joy Min
Austin Perdana,Sale,658000.0,4,3,1400,Jess Lee
Austin Perdana,Sale,658000.0,4,3,1400,Lee Kok Yong
Austin Perdana,Sale,658000.0,4,3,1400,Genki Lee
Austin Perdana,Sale,1050000.0,5,6,3200,Kelvin Chop
Austin Perdana,Sale,620000.0,4,3,1540,Victor Tai
Austin Perdana,Sale,638000.0,4,3,1400,Wind Chok
Austin Perdana,Sale,1100000.0,Studio,Studio,1539,Wilson Ku
Austin Perdana,Sale,2500000.0,7,4,3971,Anson Hiong
Austin Perdana,Sale,1580000.0,5,5,3150,Ragav Sekar
Austin Perdana,Sale,650000.0,4,3,1400,Wilson Khoo
Austin Perdana,Sale,2500000.0,6,4,5000,Syafa Kamis
Austin Perdana,Sale,328000.0,3,2,850,Go Sen
Austin Perdana,Sale,1050000.0,5,6,3200,Kelvin Chop
Austin Perdana,Sale,768000.0,5,3,3000,Chilly Wong
Austin Perdana,Sale,788000.0,5,3,3000,Sharon Ong
Austin Perdana,Sale,788000.0,5,3,3000,Annie Low
Austin Perdana,Sale,788000.0,4,3,3000,Tycia Law
Austin Perdana,Sale,638000.0,4,3,1600,Ask Hon
Austin Perdana,Sale,738000.0,4,3,1400,James Siew
Austin Perdana,Sale,600000.0,4,3,1400,Sharon Ong
Austin Perdana,Sale,738000.0,4,3,1400,Elvis Sim
Austin Perdana,Sale,788000.0,5,3,3000,Andy Tan BC
Austin Perdana,Sale,1200000.0,5,5,3000,Henry Pua
Austin Perdana,Sale,1050000.0,5,6,3200,Vyon Chee
Austin Perdana,Sale,1050000.0,5,6,3500,Jeff Lee
Austin Perdana,Sale,600000.0,4,3,1600,Kennly Chia
Austin Perdana,Sale,2300000.0,4,4,5000,Jasper Kong
Austin Perdana,Sale,620000.0,4,3,1540,J.P Tiong
Austin Perdana,Sale,900000.0,5,3,1890,Angel Lee
Austin Perdana,Sale,620000.0,4,3,1540,Chiade .
Austin Perdana,Sale,620000.0,4,3,1540,Jack Ching
Austin Perdana,Sale,620000.0,4,3,1540,JH Tang
Austin Perdana,Sale,720000.0,5,3,2616,Henry Pua
Austin Perdana,Sale,638000.0,4,3,1600,Ask Hon
Austin Perdana,Sale,638000.0,4,3,1500,Deric Ng
Austin Perdana,Sale,620000.0,4,3,1500,Liz Yap
Austin Perdana,Sale,620000.0,4,3,1540,Jasmine Ma
Austin Perdana,Sale,620000.0,4,3,2200,Smith Goh
Austin Perdana,Sale,1150000.0,5,6,3200,Annie Chai
Austin Perdana,Sale,900000.0,4,3,1600,Ask Hon
Austin Perdana,Sale,900000.0,4,3,1890,Ken Chai
Austin Perdana,Sale,620000.0,4,3,1600,Deric Ng
Austin Perdana,Sale,900000.0,4,3,1648,Ben Foo
Austin Perdana,Sale,2300000.0,6,4,5000,Jess Lee
Austin Perdana,Sale,638000.0,4,3,1600,Jess Lee
Austin Perdana,Sale,2300000.0,4,4,5000,Lauren Chai
Austin Perdana,Sale,650000.0,4,3,1540,Phoebe Foo
Austin Perdana,Sale,650000.0,4,3,1600,Andy Tan BC
Austin Perdana,Sale,1000000.0,4,4,3200,Gavin Sim
Austin Perdana,Sale,900000.0,4,3,2000,Liz Yap
Austin Perdana,Sale,620000.0,4,3,1540,Serene Chua
Austin Perdana,Sale,1150000.0,5,6,3500,Ken Chai
Austin Perdana,Sale,1000000.0,4,4,3200,Kelvin Chop
Austin Perdana,Sale,1180000.0,5,6,3500,Jasper Gwee
Austin Perdana,Rent,1600.0,5,4,1400,Miss Shee
Austin Perdana,Rent,1500.0,4,3,1400,Jane Ngoi
Austin Perdana,Rent,1700.0,4,3,1400,Charmaine Hyl
Austin Perdana,Rent,1800.0,4,3,1400,Alvin Lim
Austin Perdana,Rent,1800.0,4,3,850,Amber Ma
Austin Perdana,Rent,1300.0,4,3,999,Bella Chong
Austin Perdana,Rent,1800.0,4,3,1800,Kennly Chia
Residensi Taman Pelangi Indah,Sale,680000.0,4,2,1920,Peggy Lim
Residensi Taman Pelangi Indah,Sale,252450.0,3,2,850,RAMIZAM .
Residensi Taman Pelangi Indah,Sale,130000.0,3,2,657,Roger Lee
Residensi Taman Pelangi Indah,Sale,680000.0,4,2,3409,Cathy Tham
Residensi Taman Pelangi Indah,Sale,620000.0,4,3,1760,Rain Yiap
Residensi Taman Pelangi Indah,Sale,535000.0,3,2,1450,May Soo
Residensi Taman Pelangi Indah,Sale,630000.0,4,3,2016,Jane Ngoi
Residensi Taman Pelangi Indah,Sale,588000.0,4,3,1680,Ragav Sekar
Residensi Taman Pelangi Indah,Sale,688000.0,4,3,1540,Henry Pua
Residensi Taman Pelangi Indah,Sale,680000.0,4,3,2000,Philip Book
Residensi Taman Pelangi Indah,Sale,490000.0,3,2,1500,Henric Chng
Residensi Taman Pelangi Indah,Sale,628000.0,3,3,1920,Tony Tan
Residensi Taman Pelangi Indah,Rent,1200.0,3,2,1920,Serene Chua
Setia Tropika,Sale,610000.0,4,3,1400,Andy Tan BC
Setia Tropika,Sale,865000.0,4,4,2373,Tan Kai Lun
Setia Tropika,Sale,1600000.0,5,3,2700,Alicia Voon
Setia Tropika,Sale,840000.0,4,4,2210,Casper .
Setia Tropika,Sale,840000.0,4,4,2344,Valen Low
Setia Tropika,Sale,1580000.0,5,6,3369,Lawrence Tan
Setia Tropika,Sale,1800000.0,5,5,3692,Lawrence Tan
Setia Tropika,Sale,1000000.0,5,6,3480,Terence Tan
Setia Tropika,Sale,655000.0,4,3,1900,Jacqueline Lee
Setia Tropika,Sale,1070000.0,4,4,2664,Lawrence Tan
Setia Tropika,Sale,1250000.0,6,4,2940,Ivy Tiow
Setia Tropika,Sale,900000.0,5,5,2450,LZ Cong
Setia Tropika,Sale,1600000.0,5,3,2700,Aaron Chim
Setia Tropika,Sale,600000.0,4,3,1560,Jocelyn Onn
