PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Desa Palma (Putra Nilai),Sale,185000.0,3,2,728,Najibah Sahari
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Shafiq Amerudin
Desa Palma (Putra Nilai),Sale,188000.0,3,2,806,Billy Chan
Desa Palma (Putra Nilai),Sale,189000.0,3,2,807,Caroline Teh
Desa Palma (Putra Nilai),Sale,220000.0,4,2,720,Ally Chong
Desa Palma (Putra Nilai),Sale,220000.0,4,2,720,Ally Chong
Desa Palma (Putra Nilai),Sale,206000.0,3,2,728,Arif Halim
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Ammeer Nadzrai
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Ammeer Nadzrai
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Azmi .
Desa Palma (Putra Nilai),Sale,170000.0,3,2,828,Damon Er
Desa Palma (Putra Nilai),Sale,188000.0,3,2,807,Connie Chong
Desa Palma (Putra Nilai),Sale,158000.0,3,2,728,Jason Siew
Desa Palma (Putra Nilai),Sale,200000.0,3,2,791,Haliza Mohamad Haron
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Ahmad Ikhwan Arif
Desa Palma (Putra Nilai),Sale,198000.0,3,2,807,Simon Tan
Desa Palma (Putra Nilai),Sale,200000.0,3,2,828,Chrix Soo
Desa Palma (Putra Nilai),Sale,175000.0,3,2,728,Chrix Soo
Desa Palma (Putra Nilai),Sale,200000.0,3,2,828,Chrix Soo
Desa Palma (Putra Nilai),Sale,110000.0,3,2,728,Chrix Soo
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Fadilah Yusoff
Desa Palma (Putra Nilai),Sale,110000.0,3,2,728,Athena Cho
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Muizz Razak
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Arif Halim
Desa Palma (Putra Nilai),Sale,200000.0,3,2,807,Azizah Wahi
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Ahmad Ikhwan Arif
Desa Palma (Putra Nilai),Sale,185000.0,3,2,728,Ahmad Ikhwan Arif
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Nalhalim Othman
Desa Palma (Putra Nilai),Sale,200000.0,3,2,828,Athena Cho
Desa Palma (Putra Nilai),Sale,175000.0,3,2,728,Athena Cho
Desa Palma (Putra Nilai),Sale,200000.0,3,2,828,Athena Cho
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Najibah Sahari
Desa Palma (Putra Nilai),Sale,170000.0,3,2,728,Afiq Anuar
Desa Palma (Putra Nilai),Sale,185000.0,3,2,728,Azli Ibrahim
Desa Palma (Putra Nilai),Sale,178000.0,3,2,828,Damon Er
Desa Palma (Putra Nilai),Sale,185000.0,3,2,728,Muhammad Fahid Fitlla
Desa Palma (Putra Nilai),Sale,185000.0,3,2,728,Nazli Ambak
Desa Palma (Putra Nilai),Sale,185000.0,3,2,728,Muizz Razak
