PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Geo38 Residence,Sale,990000.0,2,2,900,Oscar Tan
TimurBay Seafront Residence,Sale,550000.0,2,2,680,Ain Ismail
TimurBay Seafront Residence,Sale,700000.0,1,2,680,George Lee
TimurBay Seafront Residence,Sale,450000.0,1,1,541,Ain Ismail
TimurBay Seafront Residence,Sale,410000.0,1,1,541,Ain Ismail
TimurBay Seafront Residence,Sale,400000.0,Studio,Studio,536,Ain Ismail
TimurBay Seafront Residence,Sale,720000.0,2,2,917,Ain Ismail
TimurBay Seafront Residence,Sale,450000.0,2,2,680,Ain Ismail
TimurBay Seafront Residence,Sale,400000.0,1,1,541,Ain Ismail
TimurBay Seafront Residence,Sale,400000.0,1,1,541,Ain Ismail
TimurBay Seafront Residence,Sale,750000.0,2,2,917,Ain Ismail
TimurBay Seafront Residence,Sale,400000.0,2,2,541,George Lee
TimurBay Seafront Residence,Sale,750000.0,2,2,917,George Lee
TimurBay Seafront Residence,Sale,370000.0,1,1,541,Raja Fara
TimurBay Seafront Residence,Sale,450000.0,1,1,538,Mohamad Hanafi
TimurBay Seafront Residence,Sale,400000.0,1,1,536,Fatma Hani Hussin
TimurBay Seafront Residence,Sale,598000.0,2,2,680,Ain Ismail
TimurBay Seafront Residence,Sale,650000.0,3,2,916,Ain Ismail
TimurBay Seafront Residence,Sale,425000.0,1,1,541,Riduan Supian
TimurBay Seafront Residence,Sale,400000.0,Studio,Studio,541,Raja Fara
TimurBay Seafront Residence,Sale,450000.0,2,1,541,Chris Chiam
"Crown Imperial Court, Cameron Highlands",Sale,340000.0,3,2,1077,Elsie Yoong
"Crown Imperial Court, Cameron Highlands",Sale,360000.0,3,2,1077,Nicholas Lee
"Crown Imperial Court, Cameron Highlands",Sale,358000.0,3,2,1077,Nicholas Lee
Impiana Residences Cherating,Rent,2600.0,6,5,2164,Alvin Tiew
Grand Ion Majestic @ Genting Highlands,Sale,2395110.0,4,3,1500,Yoki .
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Raymond Ng
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Raymond Ng
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Raymond Ng
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,829000.0,2,2,1060,Bryan Gan
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,480000.0,Studio,Studio,380,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,780,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,513920.0,1,1,380,Victor Chin
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,1,1,320,Ryon Chow
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,480000.0,Studio,Studio,380,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,780,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,320,Eugene .
Grand Ion Majestic @ Genting Highlands,Sale,480000.0,Studio,Studio,380,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,780,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Yahoo Wong
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Yahoo Wong
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,Studio,Studio,380,Yahoo Wong
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Ryon Chow
Grand Ion Majestic @ Genting Highlands,Sale,970000.0,2,2,870,OC Ong
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,1060000.0,3,2,800,Ryon Chow
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,2,500,Benjamin Lai
Grand Ion Majestic @ Genting Highlands,Sale,450000.0,1,1,320,Ryon Chow
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,800,Desley Wan
Grand Ion Majestic @ Genting Highlands,Sale,480000.0,Studio,Studio,380,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,1050000.0,3,2,780,Chris Tye
Grand Ion Majestic @ Genting Highlands,Sale,1800000.0,3,2,1050,Lo Chin Hooi
Grand Ion Majestic @ Genting Highlands,Sale,700000.0,2,1,500,Chris Tye
