PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Mahkota Impian,Sale,469000.0,3,2,1150,OK Cheah
Mahkota Impian,Sale,440000.0,3,2,1199,Jayden Tan
Mahkota Impian,Sale,489000.0,3,2,1156,Jayden Tan
Mahkota Impian,Sale,500000.0,3,2,1164,H'ng Vince
Mahkota Impian,Sale,500000.0,3,2,1164,H'ng Vince
Mahkota Impian,Sale,440000.0,3,2,1199,Grace Sim
Mahkota Impian,Sale,465000.0,3,2,1032,Ansel Tan
Mahkota Impian,Sale,440000.0,3,2,1167,Jansen Yew
Mahkota Impian,Sale,518000.0,3,2,1170,Jansen Yew
Mahkota Impian,Sale,470000.0,3,2,1186,Shan Yeow
Mahkota Impian,Sale,430000.0,3,2,1167,Grace Sim
Mahkota Impian,Sale,440000.0,3,2,1199,Grace Sim
Mahkota Impian,Sale,518000.0,3,2,1170,Low Wei Heng
Mahkota Impian,Sale,440000.0,3,2,1199,Grace Sim
Mahkota Impian,Sale,430000.0,3,2,1167,Grace Sim
Mahkota Impian,Sale,465000.0,3,2,1160,OK Cheah
Mahkota Impian,Sale,430000.0,3,2,1167,Grace Sim
Mahkota Impian,Sale,440000.0,3,2,1199,Grace Sim
Mahkota Impian,Rent,1600.0,3,2,1100,Lucas Tan
Mahkota Impian,Rent,1650.0,3,2,1120,Jinelle Ong
The Rise Collection 1,Rent,900.0,3,2,700,Kaze Kang
The Rise Collection 1,Rent,900.0,3,2,700,Dillon Tan
The Rise Collection 1,Rent,900.0,3,2,700,Camillus Chai
The Rise Collection 1,Rent,800.0,3,2,700,Wyin .
The Rise Collection 1,Rent,850.0,3,2,700,Kaze Kang
The Rise Collection 1,Rent,1200.0,3,2,700,Freddy Tan
ST Residence,Sale,950000.0,3,2,1400,Devlin Lim
ST Residence,Sale,680000.0,2,2,1000,Shu Fen
ST Residence,Sale,950000.0,3,2,1400,Jin Lim
ST Residence,Sale,680000.0,2,2,1000,Elaine Ooi
ST Residence,Sale,880000.0,3,2,1400,Alisson Chew
ST Residence,Sale,680000.0,2,1,850,Kelvin Seow
ST Residence,Sale,850000.0,3,2,1450,Mervyn Seah
ST Residence,Sale,950000.0,3,3,1400,Marc Lee
ST Residence,Sale,680000.0,2,2,1000,Mable Ong
ST Residence,Sale,680000.0,2,2,1000,Fanny Moey
ST Residence,Sale,850000.0,3,2,1449,CY Ong
ST Residence,Sale,680000.0,2,2,1000,Lilly .
ST Residence,Sale,870000.0,3,2,1400,Lilly .
ST Residence,Rent,2200.0,3,2,1450,CK Goh
ST Residence,Rent,2300.0,3,3,1400,Rex Tung
"Raffles Tower, Bukit Gambier",Sale,1178580.0,3,3,1600,Jonathan Lee
"Raffles Tower, Bukit Gambier",Sale,1190000.0,3,3,1600,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Jason Phoon
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,3,1600,Jason Phoon
"Raffles Tower, Bukit Gambier",Sale,1290000.0,4,3,1600,Jordan Yen
"Raffles Tower, Bukit Gambier",Sale,1230000.0,3,3,1600,Fanny Moey
"Raffles Tower, Bukit Gambier",Sale,1190000.0,3,3,1600,Woon Teow
"Raffles Tower, Bukit Gambier",Sale,1190000.0,3,3,1600,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Sale,1450000.0,3,3,1600,Elaine Ooi
"Raffles Tower, Bukit Gambier",Sale,1440000.0,3,3,1600,Quinn Beh
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Sale,1230000.0,3,3,1600,Shu Fen
"Raffles Tower, Bukit Gambier",Sale,1400000.0,3,3,1600,Dylan Lee
"Raffles Tower, Bukit Gambier",Sale,1228000.0,3,3,1600,Fennie Seow
"Raffles Tower, Bukit Gambier",Sale,1280000.0,3,3,1600,Alisson Chew
"Raffles Tower, Bukit Gambier",Sale,1228000.0,3,3,1600,Elaine Ooi
"Raffles Tower, Bukit Gambier",Sale,1228000.0,3,3,1600,Lilly .
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Woon Teow
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Woon Teow
"Raffles Tower, Bukit Gambier",Sale,1400000.0,3,4,1600,Vinnie Yen
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Woon Teow
"Raffles Tower, Bukit Gambier",Sale,834000.0,3,2,1146,Woon Teow
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Woon Teow
"Raffles Tower, Bukit Gambier",Sale,1070000.0,3,3,1400,Scott Saw
"Raffles Tower, Bukit Gambier",Sale,1350000.0,3,3,1600,Millie Chew
"Raffles Tower, Bukit Gambier",Sale,1230000.0,4,3,1600,Bernard Chew
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Woon Teow
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,3,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,3,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1228580.0,3,3,1600,Joshua Ong
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,834000.0,3,2,1146,Woon Teow
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,3,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1528000.0,3,3,1600,Derrick Loh
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Woon Teow
"Raffles Tower, Bukit Gambier",Sale,1760000.0,4,3,2338,Ryan Wong
"Raffles Tower, Bukit Gambier",Sale,1250000.0,4,3,1600,Ryan Wong
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,3,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,3,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,3,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,3,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,3,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1260000.0,3,3,1600,Jason Lim
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,3,1600,Crystal Lim
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Crystal Lim
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,3,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1189999.0,4,4,1600,Kevin Liew
"Raffles Tower, Bukit Gambier",Sale,1100000.0,3,3,1400,May Tan
"Raffles Tower, Bukit Gambier",Sale,1250000.0,3,2,1600,Wong .
"Raffles Tower, Bukit Gambier",Sale,1250000.0,4,4,1600,Fennie Seow
"Raffles Tower, Bukit Gambier",Sale,1250000.0,3,2,1600,Lilly .
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,3,1600,Bernard Chew
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Sale,1070005.0,3,3,1400,Welson Teh
"Raffles Tower, Bukit Gambier",Sale,1260000.0,4,3,1600,Joan .
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,4,1600,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Sale,1190000.0,4,3,1600,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Sale,1250000.0,4,3,1600,Adrian Choo
"Raffles Tower, Bukit Gambier",Sale,834000.0,3,2,1146,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Sale,834000.0,3,2,1146,Tan Jing Yi
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,3,1600,Lilly .
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,3,1600,Jia Yong
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,3,1600,Scott Saw
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,3,1600,Kaze Kang
"Raffles Tower, Bukit Gambier",Rent,2500.0,3,3,1400,Poey Eugene
"Raffles Tower, Bukit Gambier",Rent,1800.0,2,1,619,Poey Eugene
"Raffles Tower, Bukit Gambier",Rent,2900.0,4,3,1600,Elvis Lim
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,3,1600,Alisson Chew
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,2,1600,Steven Chang
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,3,1600,Mollie Ooi
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,3,1600,Jia Yong
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,2,1600,Lim Seok Cheng
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,3,1600,Zeon Tan
"Raffles Tower, Bukit Gambier",Rent,2800.0,3,3,1600,Lilly .
"Raffles Tower, Bukit Gambier",Rent,3000.0,4,3,1600,Joan .
"Raffles Tower, Bukit Gambier",Rent,3000.0,4,3,1600,Teoh Kim Leong
"Raffles Tower, Bukit Gambier",Rent,1500.0,1,1,438,Wong .
"Raffles Tower, Bukit Gambier",Rent,1500.0,1,2,438,Fennie Seow
"Raffles Tower, Bukit Gambier",Rent,1600.0,2,1,619,Elaine Koh
"Taman Lebah Hijau, Green Lane",Sale,210600.0,3,2,700,Jason Tang
Taman Kota Permai,Sale,485000.0,4,2,1188,Janice Lim
Taman Kota Permai,Sale,430000.0,3,1,912,Chris Huah
Taman Kota Permai,Sale,670000.0,4,2,1500,Chris Huah
Taman Kota Permai,Sale,750000.0,5,5,3323,Lee Shanny
Taman Kota Permai,Sale,420000.0,4,3,1550,Shan Yeow
Taman Kota Permai,Sale,890000.0,5,4,1990,Allison Ang
Taman Kota Permai,Sale,980000.0,4,3,2024,Chii Lee
Taman Kota Permai,Sale,720000.0,5,5,1400,Chii Lee
Taman Kota Permai,Sale,370000.0,3,1,1400,Grace Sim
Taman Kota Permai,Sale,850000.0,5,4,2330,Grace Sim
Taman Kota Permai,Sale,310000.0,3,2,720,Janice Lim
Taman Kota Permai,Sale,420000.0,4,3,1600,Lily Ong
Taman Kota Permai,Sale,680000.0,5,5,3323,Leong .
Taman Kota Permai,Sale,580000.0,4,3,1752,Shan Yeow
Taman Kota Permai,Sale,850000.0,5,4,2330,Grace Sim
Taman Kota Permai,Sale,420000.0,3,2,1600,Lewis Beh
Taman Kota Permai,Sale,495000.0,3,2,1200,Sunny Yang
Taman Kota Permai,Sale,420000.0,4,3,1300,Chii Lee
Taman Kota Permai,Sale,370000.0,3,1,1400,Grace Sim
Taman Kota Permai,Sale,350000.0,3,2,800,Chii Lee
Taman Kota Permai,Sale,350000.0,3,1,800,Chris Huah
Taman Kota Permai,Sale,390000.0,3,2,1000,Cheah Chuan Kok
Taman Kota Permai,Sale,750000.0,5,5,3323,Bee Ling
Taman Kota Permai,Sale,598000.0,4,3,2000,Calvin .
Taman Kota Permai,Sale,850000.0,5,4,2330,Grace Sim
Taman Kota Permai,Sale,520000.0,3,2,1000,Lily Ong
Taman Kota Permai,Sale,550000.0,3,3,1200,Issac .
Taman Kota Permai,Sale,1240000.0,5,3,2800,Lissa Ooi
Taman Kota Permai,Sale,600000.0,4,3,1200,Chii Lee
Taman Kota Permai,Sale,720000.0,5,5,3323,Calvin .
Taman Kota Permai,Sale,599999.0,4,3,2000,Calvin .
Taman Kota Permai,Sale,600000.0,4,3,1600,Chris Huah
Taman Kota Permai,Rent,2500.0,Studio,Studio,1340,Lissa Ooi
Park Avenue Apartment,Sale,660000.0,3,2,1065,Steven Hng
Park Avenue Apartment,Sale,660000.0,3,2,1065,Serena Neoh
Park Avenue Apartment,Sale,660000.0,3,2,1065,Kenneth Kung
Park Avenue Apartment,Sale,690000.0,3,2,1040,KK Kwok
Park Avenue Apartment,Sale,699000.0,3,2,1040,Serena Tan
Park Avenue Apartment,Rent,1280.0,3,2,1025,Raymond Siew
Park Avenue Apartment,Rent,1280.0,3,2,1025,Raymond Siew
N-Park Apartment,Sale,355000.0,3,2,700,CK Goh
N-Park Apartment,Sale,315000.0,3,2,700,Ken Loh
N-Park Apartment,Sale,314000.0,3,2,700,Ken Loh
N-Park Apartment,Sale,330000.0,3,2,700,Boon Siew
N-Park Apartment,Sale,330000.0,3,2,700,Boon Siew
N-Park Apartment,Sale,320000.0,3,2,700,Boon Siew
N-Park Apartment,Sale,325000.0,3,2,700,Joyce Chin
N-Park Apartment,Sale,380000.0,3,2,700,Pen Teo
N-Park Apartment,Sale,340000.0,3,2,700,Joan .
N-Park Apartment,Rent,1100.0,3,2,700,Alisson Chew
N-Park Apartment,Rent,1500.0,3,2,700,Ken Loh
N-Park Apartment,Rent,1500.0,3,2,700,Ken Loh
N-Park Apartment,Rent,1100.0,3,2,700,Leong .
N-Park Apartment,Rent,1200.0,3,2,700,Millie Chew
N-Park Apartment,Rent,1200.0,3,2,800,Vincent Ooi
N-Park Apartment,Rent,1200.0,3,2,700,Nickson Oung
N-Park Apartment,Rent,1200.0,3,2,700,Ansel Tan
N-Park Apartment,Rent,1100.0,3,2,750,Minggie .
N-Park Apartment,Rent,1100.0,3,2,750,Minggie .
N-Park Apartment,Rent,1000.0,3,2,750,Jacky Yeoh
TRI PINNACLE,Sale,480000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,450000.0,3,2,800,Clifton Chee
TRI PINNACLE,Sale,470000.0,3,2,800,Bryan H'ng
TRI PINNACLE,Sale,450000.0,3,2,800,Bryan H'ng
TRI PINNACLE,Sale,420000.0,3,2,800,Bryan H'ng
TRI PINNACLE,Sale,460000.0,3,2,800,S J Foo
TRI PINNACLE,Sale,450000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,530000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,450000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,420000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,450000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,500000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,535000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,487000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,550000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,445000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,470000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,480000.0,3,2,800,Jake Khoo
TRI PINNACLE,Sale,470000.0,3,2,800,Kalyn Tan
TRI PINNACLE,Sale,610000.0,3,2,800,Ruth Ong
TRI PINNACLE,Sale,450000.0,3,2,800,Ruth Ong
TRI PINNACLE,Sale,520000.0,3,2,800,Ruth Ong
TRI PINNACLE,Sale,560000.0,3,2,800,Ruth Ong
TRI PINNACLE,Sale,450000.0,3,2,850,Ken Loh
TRI PINNACLE,Sale,420000.0,3,2,850,Chris Ooi
TRI PINNACLE,Sale,405000.0,3,2,850,Chris Ooi
TRI PINNACLE,Sale,420000.0,3,2,800,Alex Cheah
TRI PINNACLE,Sale,410000.0,3,2,800,Rex Tung
TRI PINNACLE,Sale,430000.0,3,2,800,KK Kwok
TRI PINNACLE,Sale,450000.0,3,2,800,Jia Yong
TRI PINNACLE,Sale,450000.0,3,2,800,Pin Hong Hum
TRI PINNACLE,Sale,420000.0,3,2,800,Dylan Lee
TRI PINNACLE,Sale,468000.0,3,2,800,Yuki Bong
TRI PINNACLE,Sale,460000.0,3,2,800,Jaycus Tan
TRI PINNACLE,Sale,470000.0,3,2,800,Eric Choong
TRI PINNACLE,Sale,420000.0,3,2,800,Jaycus Tan
TRI PINNACLE,Sale,530000.0,3,2,800,Jaycus Tan
TRI PINNACLE,Sale,450000.0,3,2,800,Kenneth Kung
TRI PINNACLE,Sale,430000.0,3,2,800,Pei Hong
TRI PINNACLE,Sale,610000.0,3,2,800,Ruth Ong
TRI PINNACLE,Sale,450000.0,3,2,800,Ruth Ong
TRI PINNACLE,Sale,450000.0,3,2,800,Ruth Ong
TRI PINNACLE,Sale,520000.0,3,2,800,Ruth Ong
TRI PINNACLE,Sale,450000.0,3,2,800,Quvee Ooi
TRI PINNACLE,Sale,530000.0,3,2,800,Ruth Ong
TRI PINNACLE,Sale,560000.0,3,2,800,Ruth Ong
TRI PINNACLE,Sale,600000.0,3,2,900,WK Yam
TRI PINNACLE,Sale,600000.0,3,2,900,WK Yam
TRI PINNACLE,Sale,440000.0,3,2,800,Lee Meng Keat
TRI PINNACLE,Sale,580000.0,3,2,850,Elyise Chee
TRI PINNACLE,Sale,600000.0,3,2,800,Elyise Chee
TRI PINNACLE,Sale,460000.0,3,2,850,Quvee Ooi
TRI PINNACLE,Sale,600000.0,3,2,900,Dillon Tan
TRI PINNACLE,Sale,530000.0,3,2,800,Dillon Tan
TRI PINNACLE,Sale,445000.0,3,2,800,Dillon Tan
TRI PINNACLE,Sale,500000.0,3,2,800,Dillon Tan
TRI PINNACLE,Sale,610000.0,3,2,800,Dillon Tan
TRI PINNACLE,Sale,600000.0,3,2,900,Dillon Tan
TRI PINNACLE,Sale,560000.0,3,2,800,Dillon Tan
TRI PINNACLE,Sale,500000.0,3,2,800,Dillon Tan
TRI PINNACLE,Sale,430000.0,3,2,800,Kaze Kang
TRI PINNACLE,Sale,410000.0,3,2,800,Wyin .
TRI PINNACLE,Sale,500000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,535000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,487000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,550000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,445000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,470000.0,3,2,800,Jayden Tan
TRI PINNACLE,Sale,450000.0,3,2,850,Jack Chen
TRI PINNACLE,Sale,440000.0,3,2,850,Jack Chen
TRI PINNACLE,Sale,530000.0,3,2,900,Anthony Liong
TRI PINNACLE,Sale,450000.0,3,2,900,Anthony Liong
TRI PINNACLE,Sale,430000.0,3,2,900,Anthony Liong
TRI PINNACLE,Sale,610000.0,3,2,800,Dillon Tan
TRI PINNACLE,Sale,530000.0,3,2,900,Liong .
TRI PINNACLE,Sale,450000.0,3,2,900,Liong .
TRI PINNACLE,Sale,430000.0,3,2,900,Liong .
TRI PINNACLE,Sale,485000.0,3,2,900,Anthony Liong
TRI PINNACLE,Sale,530000.0,3,2,900,Anthony Liong
TRI PINNACLE,Sale,450000.0,3,2,900,Anthony Liong
TRI PINNACLE,Sale,485000.0,3,2,900,Liong .
TRI PINNACLE,Sale,530000.0,3,2,900,Liong .
TRI PINNACLE,Sale,450000.0,3,2,900,Liong .
TRI PINNACLE,Sale,430000.0,3,2,900,Liong .
TRI PINNACLE,Sale,445000.0,3,2,800,Jake Khoo
TRI PINNACLE,Sale,550000.0,3,2,800,Jake Khoo
TRI PINNACLE,Sale,487000.0,3,2,800,Jake Khoo
TRI PINNACLE,Sale,535000.0,3,2,800,Jake Khoo
TRI PINNACLE,Sale,500000.0,3,2,800,Jake Khoo
TRI PINNACLE,Sale,470000.0,3,2,800,Jake Khoo
TRI PINNACLE,Sale,560000.0,3,2,850,Declan Ng
TRI PINNACLE,Sale,450000.0,3,2,850,Daniel Koay
TRI PINNACLE,Sale,520000.0,3,2,900,Aaron Quah
TRI PINNACLE,Sale,455000.0,3,2,800,Jacky Yeoh
TRI PINNACLE,Sale,460000.0,3,2,850,Jacky Yeoh
TRI PINNACLE,Sale,510000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,480000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,460000.0,3,2,800,S J Foo
TRI PINNACLE,Sale,560000.0,3,2,800,Vivien Cheah
TRI PINNACLE,Sale,680000.0,3,2,800,Vivien Cheah
TRI PINNACLE,Sale,690000.0,3,2,800,Vivien Cheah
TRI PINNACLE,Sale,591000.0,3,2,800,Vivien Cheah
TRI PINNACLE,Sale,680000.0,3,2,800,Vivien Cheah
TRI PINNACLE,Sale,520000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,510000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,520000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,470000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,490000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,550000.0,3,2,800,Edwin Ng
TRI PINNACLE,Sale,510000.0,3,2,800,Edwin Ng
TRI PINNACLE,Sale,450000.0,3,2,800,Edwin Ng
TRI PINNACLE,Sale,488000.0,3,2,800,Vick Teoh
TRI PINNACLE,Sale,420000.0,3,2,800,Vick Teoh
TRI PINNACLE,Sale,520000.0,3,2,850,Daniel Koay
TRI PINNACLE,Sale,450000.0,3,2,800,Kenneth Kung
TRI PINNACLE,Sale,450000.0,3,2,800,Kenneth Kung
TRI PINNACLE,Sale,600000.0,3,2,900,Serena Leong
TRI PINNACLE,Sale,450000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,470000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,570000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,570000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,580000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,530000.0,3,2,800,Raymond .
TRI PINNACLE,Sale,280000.0,3,1,650,Raymond .
TRI PINNACLE,Sale,495000.0,3,2,800,Correen Lee
TRI PINNACLE,Sale,450000.0,3,2,800,Correen Lee
TRI PINNACLE,Sale,530000.0,3,2,800,Correen Lee
TRI PINNACLE,Sale,450000.0,3,2,800,Correen Lee
TRI PINNACLE,Sale,420000.0,3,2,800,Adrian Choo
TRI PINNACLE,Sale,450000.0,3,2,800,Zack Lye
TRI PINNACLE,Sale,475000.0,3,2,800,Aaron Quah
TRI PINNACLE,Sale,450000.0,3,2,800,Jia Yong
TRI PINNACLE,Sale,440000.0,3,2,800,Ethen Tan
TRI PINNACLE,Sale,510000.0,3,2,800,Nick Teh
TRI PINNACLE,Sale,420000.0,3,2,800,Camillus Chai
TRI PINNACLE,Sale,600000.0,3,2,900,Hokuto .
TRI PINNACLE,Sale,518000.0,3,2,800,Joyce Chin
TRI PINNACLE,Sale,518000.0,3,2,800,Hailey Wong
TRI PINNACLE,Sale,420000.0,3,2,800,Thang Wu
TRI PINNACLE,Sale,440000.0,3,2,800,Thang Wu
TRI PINNACLE,Sale,460000.0,3,2,850,Declan Ng
TRI PINNACLE,Sale,450000.0,3,2,800,Declan Ng
TRI PINNACLE,Sale,495000.0,3,2,800,Declan Ng
TRI PINNACLE,Sale,520000.0,3,2,800,Declan Ng
TRI PINNACLE,Sale,520000.0,3,2,800,Declan Ng
TRI PINNACLE,Sale,532000.0,3,2,850,Ansel Tan
TRI PINNACLE,Sale,440000.0,3,2,800,Leong .
TRI PINNACLE,Sale,449000.0,3,2,800,Mervyn Seah
TRI PINNACLE,Sale,468000.0,3,2,800,S J Foo
TRI PINNACLE,Sale,450000.0,3,2,850,Jason Ewe
TRI PINNACLE,Sale,490000.0,3,2,850,Jason Ewe
TRI PINNACLE,Sale,530000.0,3,2,800,Issac .
TRI PINNACLE,Sale,380000.0,3,1,680,Jason Ewe
TRI PINNACLE,Sale,410000.0,3,2,800,Wyin .
TRI PINNACLE,Sale,580000.0,3,2,900,Bryan H'ng
TRI PINNACLE,Sale,450000.0,3,2,800,Bryan H'ng
TRI PINNACLE,Sale,600000.0,3,2,900,Jay Teoh
TRI PINNACLE,Sale,600000.0,3,2,900,Jay Teoh
TRI PINNACLE,Sale,460000.0,3,2,800,Issac .
TRI PINNACLE,Sale,550000.0,3,2,800,Chris Teoh
TRI PINNACLE,Sale,495000.0,3,2,850,Correen Lee
TRI PINNACLE,Sale,450000.0,3,2,800,Correen Lee
TRI PINNACLE,Sale,420000.0,3,2,800,Mervyn Seah
TRI PINNACLE,Sale,548000.0,3,2,800,KK Kwok
TRI PINNACLE,Sale,449000.0,3,2,800,Alston Loh
TRI PINNACLE,Sale,470000.0,3,2,800,Eddy Lim
TRI PINNACLE,Sale,460000.0,3,2,800,Edwin Ng
TRI PINNACLE,Sale,530000.0,3,2,850,Jason Ewe
TRI PINNACLE,Sale,520000.0,3,2,850,Jason Ewe
TRI PINNACLE,Sale,520000.0,3,2,850,Jason Ewe
TRI PINNACLE,Sale,490000.0,3,2,850,Jason Ewe
TRI PINNACLE,Sale,530000.0,3,2,850,Jason Ewe
TRI PINNACLE,Sale,485000.0,3,2,800,Jaycus Tan
TRI PINNACLE,Sale,448000.0,3,2,800,Jaycus Tan
TRI PINNACLE,Sale,440000.0,3,2,800,Gene Lim
TRI PINNACLE,Sale,500000.0,3,2,800,Jaycus Tan
TRI PINNACLE,Sale,448000.0,3,2,800,Jaycus Tan
TRI PINNACLE,Sale,420000.0,3,2,800,Jaycus Tan
TRI PINNACLE,Sale,530000.0,3,2,800,Jaycus Tan
