PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Residensi Falim,Sale,180000.0,3,2,985,Aynal Maryam
Residensi Falim,Sale,158000.0,3,2,803,Afif Khalib
Residensi Falim,Sale,145800.0,3,2,803,Ita .
Residensi Falim,Sale,145000.0,3,2,803,Nicole Ling
Residensi Falim,Rent,1300.0,3,2,900,Vivien Lim
Residensi Falim,Rent,1100.0,3,2,1000,Calvin Chai
Residensi Falim,Rent,1200.0,3,2,895,Jean Ho
Laguna 1 @ Marina Island,Sale,500000.0,3,3,1624,Jinz Lai
Casa Kayangan,Sale,356000.0,3,2,920,Steven .
Casa Kayangan,Sale,340000.0,3,2,980,Steven .
Casa Kayangan,Sale,360000.0,3,2,1173,Ivy Lee
Casa Kayangan,Sale,360000.0,3,2,1173,Mr Yuen
Casa Kayangan,Sale,360000.0,3,2,1173,Ck Max
Casa Kayangan,Sale,340000.0,3,2,850,Vivien Lim
Casa Kayangan,Sale,340000.0,3,2,1730,Caryn Tang
Casa Kayangan,Sale,360000.0,3,2,1173,Kelvin Chong
Casa Kayangan,Rent,1500.0,3,2,920,Mr Chee
Casa Kayangan,Rent,1600.0,3,2,1173,Kelvin Chong
The Haven Lakeside Residences,Sale,930000.0,3,2,1948,Nicholas Lee
The Haven Lakeside Residences,Sale,720000.0,3,2,1172,Steven .
The Haven Lakeside Residences,Sale,888000.0,3,3,1652,Danny Lim
The Haven Lakeside Residences,Sale,888000.0,4,2,1652,Simon Yong
The Haven Lakeside Residences,Sale,658000.0,3,3,1455,Mandy Phang
The Haven Lakeside Residences,Sale,400000.0,4,3,1734,Mohd Nasharil
The Haven Lakeside Residences,Sale,1100000.0,3,3,1441,Angie Wong
The Haven Lakeside Residences,Sale,968000.0,3,3,1652,Nicholas Lee
The Haven Lakeside Residences,Sale,675000.0,3,2,1127,Dominic Leo
The Haven Lakeside Residences,Sale,600000.0,3,2,1172,Mr Chee
The Haven Lakeside Residences,Sale,670000.0,3,2,1100,Nicholas Lee
The Haven Lakeside Residences,Sale,1100000.0,3,2,1180,Louise Loo
The Haven Lakeside Residences,Sale,800000.0,3,3,1355,Sam Lam
The Haven Lakeside Residences,Sale,850000.0,3,3,1355,Sam Lam
The Haven Lakeside Residences,Sale,560000.0,2,2,968,Steven .
The Haven Lakeside Residences,Sale,988000.0,3,2,1356,Nicholas Lee
The Haven Lakeside Residences,Sale,620000.0,3,2,1180,Steven .
The Haven Lakeside Residences,Sale,780000.0,3,2,1180,Mandy Phang
The Haven Lakeside Residences,Sale,1350000.0,4,3,1665,Aida Yap
The Haven Lakeside Residences,Sale,750000.0,3,3,1172,Connie Lam
The Haven Lakeside Residences,Sale,730000.0,3,3,1652,Connie Lam
The Haven Lakeside Residences,Sale,660000.0,3,2,1100,Ck Max
The Haven Lakeside Residences,Sale,880000.0,Studio,Studio,1652,Peter Gan
The Haven Lakeside Residences,Sale,900000.0,3,3,1600,David Wong
The Haven Lakeside Residences,Sale,995000.0,3,2,1455,Angie Wong
The Haven Lakeside Residences,Sale,980000.0,3,2,1665,Nicholas Lee
The Haven Lakeside Residences,Sale,780000.0,3,2,1180,Caryn Tang
The Haven Lakeside Residences,Sale,750000.0,3,2,1180,Christine Lau
The Haven Lakeside Residences,Sale,680000.0,3,2,1172,Christine Lau
The Haven Lakeside Residences,Rent,1900.0,3,3,1524,Alvin Soon
The Haven Lakeside Residences,Rent,1700.0,3,2,900,Mandy Phang
The Haven Lakeside Residences,Rent,3000.0,2,2,1100,Vivian Foong
The Haven Lakeside Residences,Rent,2900.0,3,2,1418,Vivian Foong
The Haven Lakeside Residences,Rent,1700.0,2,2,967,Hui En .
The Haven Lakeside Residences,Rent,1700.0,3,2,1000,Sharon Poh
The Haven Lakeside Residences,Rent,1700.0,2,2,900,Mandy Phang
The Haven Lakeside Residences,Rent,3800.0,4,3,2000,Ms Yong
The Haven Lakeside Residences,Rent,3100.0,2,2,967,Clement Yong
The Haven Lakeside Residences,Rent,1700.0,2,2,967,JJ Teo
The Haven Lakeside Residences,Rent,1700.0,2,2,968,Steven .
The Haven Lakeside Residences,Rent,3500.0,3,2,1455,Avic Wong
The Haven Lakeside Residences,Rent,1700.0,2,2,967,Avic Wong
The Haven Lakeside Residences,Rent,1700.0,2,2,967,Darren Lee
The Haven Lakeside Residences,Rent,3000.0,3,2,1100,Sam Lam
