PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Nusa Duta,Sale,1280000.0,5,5,2923,Liew .
Nusa Duta,Sale,1900000.0,5,6,3773,Lauren Chai
Nusa Duta,Sale,1899000.0,5,5,3774,Kenny Ng
Nusa Duta,Sale,1300000.0,5,6,3635,Tan Teak Hai
Nusa Duta,Sale,1300000.0,5,5,2923,Steve Tey
Nusa Duta,Sale,1550000.0,5,6,3635,Tan Teak Hai
Nusa Duta,Sale,1350000.0,5,6,3256,Tan Teak Hai
Nusa Duta,Sale,1600000.0,5,5,4000,Janice .
Nusa Duta,Sale,1150000.0,5,5,2923,Kennly Chia
Nusa Duta,Sale,1350000.0,6,5,3200,Ethan Lee
Nusa Duta,Sale,1350000.0,6,4,3200,Aries Lam
Nusa Duta,Sale,2000000.0,5,6,3773,Tan Teak Hai
Nusa Duta,Sale,850000.0,5,4,2240,Wilson Teo
Nusa Duta,Sale,1900000.0,5,5,3773,Deric Ng
Nusa Duta,Sale,850000.0,5,4,2240,Sky Goh
Nusa Duta,Sale,850000.0,5,4,2240,U Hon Kun
Nusa Duta,Sale,1280000.0,4,4,2923,Bernice Tan
Nusa Duta,Sale,1550000.0,6,5,3000,Lee Kok Yong
Nusa Duta,Sale,750000.0,4,3,1300,Lee Kok Yong
Nusa Duta,Sale,1250000.0,5,5,2923,Tan Bing Yi
Nusa Duta,Sale,1900000.0,5,5,4000,Rachel Chia
Nusa Duta,Sale,750000.0,4,3,1300,Sharon Chong
Nusa Duta,Sale,750000.0,4,3,1600,JS Goh
Nusa Duta,Sale,850000.0,5,3,2240,Huiling Cheong
Nusa Duta,Sale,1230000.0,4,5,2923,Ong Kobe
Nusa Duta,Sale,1900000.0,5,6,3773,Jacelyn Ng
Nusa Duta,Sale,700000.0,4,3,1800,Jony Jong
Nusa Duta,Sale,1250000.0,4,5,2923,Bk .
Nusa Duta,Sale,750000.0,4,3,1300,Kelvin Chop
Nusa Duta,Sale,978000.0,4,3,1950,Jessica Boey
Nusa Duta,Sale,968000.0,5,4,3579,Pauline Khor
Nusa Duta,Sale,1250000.0,4,5,3000,Ben Yo
Nusa Duta,Sale,1100000.0,4,4,2923,Nicole Ng
Nusa Duta,Sale,750000.0,4,3,1300,Keith Shum
Nusa Duta,Sale,1300000.0,5,5,2923,Lynn Wong
Nusa Duta,Sale,1550000.0,6,5,3750,Desmond .
Nusa Duta,Sale,1280000.0,5,5,2923,SC Ng
Nusa Duta,Sale,2000000.0,6,6,3774,SC Ng
Nusa Duta,Sale,1280000.0,4,5,2923,Lawrence Tan
Nusa Duta,Sale,2000000.0,5,6,3774,Joyce Goh
Nusa Duta,Sale,1600000.0,5,5,4000,Daniel Tan
Nusa Duta,Sale,978000.0,4,3,2400,Kenneth Mak
Nusa Duta,Sale,2800000.0,5,7,6821,Alicia Voon
Nusa Duta,Sale,1900000.0,6,6,3774,Janet Aw
Nusa Duta,Sale,900000.0,5,4,2540,Kate Tee
Nusa Duta,Sale,1900000.0,6,6,3774,Suny Sior
Nusa Duta,Sale,860000.0,4,3,2100,Katherine Leow
Nusa Duta,Sale,750000.0,4,3,1300,Kelvin Chop
Nusa Duta,Sale,2800000.0,6,7,6821,Ask Hon
Nusa Duta,Sale,1900000.0,5,5,3774,Ken Chai
Nusa Duta,Sale,928000.0,4,3,2592,Liew .
Nusa Duta,Sale,750000.0,4,3,2065,Kenry Goh
Nusa Duta,Sale,700000.0,4,3,1800,Ken Chai
Nusa Duta,Sale,750000.0,4,3,1300,Ken Chai
Nusa Duta,Sale,1580000.0,5,5,3650,Ang Boon Chai
Nusa Duta,Sale,1900000.0,6,6,3774,Zephyr Jun Hao
Nusa Duta,Sale,978000.0,4,3,2600,Bear Beh
Nusa Duta,Sale,928000.0,4,3,2592,Ong Kobe
Nusa Duta,Sale,928000.0,4,3,2592,Jeff Yap
Nusa Duta,Sale,860000.0,4,3,2240,Cerine Nah
Nusa Duta,Sale,838000.0,4,3,2240,Cerine Nah
Nusa Duta,Sale,2380000.0,5,5,4401,Ong Kobe
Nusa Duta,Sale,898000.0,4,3,2593,Ong Kobe
Nusa Duta,Sale,860000.0,4,3,2240,YC Tan
Nusa Duta,Sale,2800000.0,6,6,7000,Shawn Lim
Nusa Duta,Sale,750000.0,4,3,1300,Shawn Lim
Nusa Duta,Sale,899000.0,4,3,2240,Sean Liow
Nusa Duta,Sale,1900000.0,6,6,3774,U Hon Kun
Nusa Duta,Sale,1900000.0,5,5,3774,Hannah Ng
Nusa Duta,Sale,2000000.0,4,5,3773,Ong Kobe
Nusa Duta,Sale,1400000.0,5,6,3650,Ong Kobe
Nusa Duta,Sale,1430000.0,5,6,3256,Ong Kobe
Nusa Duta,Sale,2000000.0,5,6,3773,Ong Kobe
Nusa Duta,Sale,1280000.0,4,5,2923,Ong Kobe
Nusa Duta,Sale,1500000.0,5,5,3660,Ong Kobe
Nusa Duta,Sale,980000.0,4,5,2923,Ong Kobe
Nusa Duta,Sale,1900000.0,5,5,3774,Lawrence Tan
Nusa Duta,Sale,898000.0,5,3,2240,Seven Tan
Nusa Duta,Sale,838000.0,5,3,2240,Fion Choo
Nusa Duta,Sale,1900000.0,5,5,3774,YUYIN POH
Nusa Duta,Sale,1550000.0,5,5,3000,Cony Ong
Nusa Duta,Sale,1900000.0,5,5,3774,Alicia Voon
Nusa Duta,Sale,928000.0,5,3,2592,SC Ng
Nusa Duta,Sale,860000.0,4,3,2270,Nicholas Ong
Nusa Duta,Sale,928000.0,5,3,2240,Nicholas Ong
Nusa Duta,Sale,900000.0,4,3,2200,C L Chia
Nusa Duta,Sale,750000.0,4,3,1300,SY Tan.
Nusa Duta,Sale,899000.0,4,3,2240,Kayden Voon
Nusa Duta,Sale,990000.0,5,5,3000,Kate Tee
Nusa Duta,Sale,990000.0,4,5,3000,Kate Tee
Nusa Duta,Sale,750000.0,4,3,1300,YUYIN POH
Nusa Duta,Sale,2800000.0,5,7,6821,Cony Ong
Nusa Duta,Sale,2800000.0,6,7,6821,YUYIN POH
Nusa Duta,Sale,899000.0,4,3,2240,Calvin Lee
Nusa Duta,Sale,750000.0,4,3,1300,Calvin Lee
Nusa Duta,Sale,1150000.0,5,5,2923,Hui San
Nusa Duta,Sale,898000.0,4,3,2593,Ong Kobe
Nusa Duta,Sale,2800000.0,6,7,6821,Jyez Lee
Nusa Duta,Sale,750000.0,4,3,1300,Stephanie Yap
Nusa Duta,Sale,750000.0,4,3,1300,collin kuik
Nusa Duta,Sale,750000.0,4,3,1300,Kenji Chan
Nusa Duta,Sale,700000.0,4,3,1800,Ask Hon
Nusa Duta,Sale,750000.0,4,3,1300,Ask Hon
Nusa Duta,Sale,1280000.0,4,5,2923,Tan Bee Bee
Nusa Duta,Sale,1300000.0,5,4,3300,Shasha Ang
Nusa Duta,Sale,750000.0,4,3,1300,Sharon Chong
Nusa Duta,Sale,1280000.0,5,5,3407,Ask Hon
Nusa Duta,Sale,1600000.0,5,6,3800,Leo Lee BH
Nusa Duta,Sale,1380000.0,4,5,2899,Wendy Lai
Nusa Duta,Sale,1380000.0,4,5,2899,Taryn Ng
Nusa Duta,Sale,1150000.0,5,4,2923,SC Ng
Nusa Duta,Sale,1900000.0,5,5,3773,Tan Teak Hai
Nusa Duta,Sale,750000.0,4,3,1300,Amber Ma
Nusa Duta,Sale,1100000.0,5,4,2900,James Ng
Nusa Duta,Sale,750000.0,4,3,1300,Elynn Lam
Nusa Duta,Sale,750000.0,4,3,1800,Miko Cheyu
Nusa Duta,Sale,750000.0,4,3,1300,Andy Tan BC
Nusa Duta,Sale,750000.0,4,3,1300,Ragav Sekar
Nusa Duta,Sale,850000.0,5,3,1900,Ally Gan
Nusa Duta,Sale,750000.0,4,3,1300,Alan Yap
Nusa Duta,Sale,2100000.0,5,6,3774,SC Cheng
Nusa Duta,Sale,1500000.0,5,6,3139,SC Cheng
Nusa Duta,Sale,1200000.0,4,3,1920,SC Cheng
Nusa Duta,Sale,1500000.0,6,6,2402,SC Cheng
Nusa Duta,Sale,1300000.0,5,6,3139,SC Cheng
Nusa Duta,Sale,950000.0,4,3,2402,SC Cheng
Nusa Duta,Sale,750000.0,4,3,1300,Jeff Lee
Nusa Duta,Sale,860000.0,4,3,1900,Ally Gan
Nusa Duta,Sale,750000.0,4,3,1900,Jam Chong
Nusa Duta,Sale,850000.0,4,3,2240,Joycelyn Ee
Nusa Duta,Sale,750000.0,4,3,1300,Chloe Ngoi
Nusa Duta,Sale,1280000.0,4,5,2500,Grace Low
Nusa Duta,Sale,988000.0,4,3,2592,Rachel See
Nusa Duta,Sale,898000.0,5,3,2240,Ken Chai
Nusa Duta,Sale,898000.0,4,3,2300,Calvin Wong
Nusa Duta,Sale,1550000.0,5,6,3265,Jeff Yap
Nusa Duta,Sale,898000.0,4,3,2593,Jeff Yap
Nusa Duta,Sale,950000.0,5,5,2720,Jayden Neo
Nusa Duta,Sale,750000.0,4,3,2000,Mei Wong
Nusa Duta,Sale,1280000.0,5,5,3407,Justin Kong
Nusa Duta,Sale,750000.0,4,3,1900,Carson .
Nusa Duta,Sale,1390000.0,5,5,3300,Jocelyn Onn
Nusa Duta,Sale,1280000.0,4,5,3407,Jeb Lim
Nusa Duta,Sale,898000.0,4,3,2240,Jeb Lim
Nusa Duta,Sale,860000.0,4,3,2240,Kelvin .
Nusa Duta,Sale,1300000.0,6,5,3650,Kelvin .
Nusa Duta,Sale,1280000.0,5,5,3407,Kelvin .
Nusa Duta,Sale,1280000.0,4,5,3407,Ng Yong Kai
Nusa Duta,Sale,700000.0,4,3,1800,Shirley Pang
Nusa Duta,Sale,750000.0,4,3,1300,Shirley Pang
Nusa Duta,Sale,700000.0,4,3,1800,Andy Tan BC
Nusa Duta,Sale,750000.0,4,3,1900,Larry Ng
Nusa Duta,Sale,750000.0,4,3,1800,Eva Siow
Nusa Duta,Sale,1250000.0,5,5,2923,Liz Yap
Nusa Duta,Sale,898000.0,5,3,2240,Keith Shum
Nusa Duta,Sale,750000.0,4,3,1500,Rachel See
Nusa Duta,Sale,700000.0,4,3,1300,Jesslyn Foong
Nusa Duta,Sale,750000.0,4,3,1300,Jesslyn Foong
Nusa Duta,Sale,750000.0,4,3,2000,Fion Choo
Nusa Duta,Sale,1550000.0,6,5,3000,Jeff Ang
Nusa Duta,Sale,860000.0,5,4,2800,Jeff Ang
Nusa Duta,Sale,750000.0,4,3,1800,Edmond Tay
Nusa Duta,Sale,700000.0,4,3,1800,Michelle Fong
Nusa Duta,Sale,750000.0,4,3,1300,Alicia Voon
Nusa Duta,Sale,700000.0,4,3,1300,Chloe Ngoi
Nusa Duta,Sale,750000.0,4,3,1400,Lynn Wong
Nusa Duta,Sale,750000.0,4,3,1300,Jasper Kong
Nusa Duta,Sale,750000.0,4,3,1300,Huan Chin Siang
Nusa Duta,Sale,750000.0,4,3,1300,Ragav Sekar
Nusa Duta,Sale,750000.0,4,3,2500,Ally Gan
Nusa Duta,Sale,1500000.0,5,5,3660,Jeff Yap
Nusa Duta,Sale,1350000.0,5,5,3200,Jeff Yap
Nusa Duta,Sale,1450000.0,5,5,3660,Jeff Yap
Nusa Duta,Sale,1230000.0,4,5,2923,Ong Kobe
Nusa Duta,Sale,980000.0,4,5,2923,Ong Kobe
Nusa Duta,Sale,898000.0,5,3,2240,YC Tan
Nusa Duta,Sale,898000.0,5,3,3500,Eileen Khor
Nusa Duta,Sale,750000.0,4,3,1600,Jeff Ang
Nusa Duta,Sale,898000.0,4,3,2240,Aries Lam
Nusa Duta,Sale,968000.0,5,5,2886,Vincent Chan
Nusa Duta,Sale,1400000.0,4,3,3047,Lauren Chai
Nusa Duta,Sale,899000.0,4,3,2200,Chow Chzee Eng
Nusa Duta,Sale,898000.0,5,3,2240,Edward Gan
Nusa Duta,Sale,899000.0,4,3,2240,Kayden Voon
Nusa Duta,Sale,1350000.0,4,4,3650,Jeff Yap
Nusa Duta,Sale,2100000.0,5,6,3774,Jeff Yap
Nusa Duta,Sale,1550000.0,6,5,3750,Larry Ng
Nusa Duta,Sale,2580000.0,5,5,4401,Ong Kobe
Nusa Duta,Sale,1550000.0,5,6,3265,Ong Kobe
Nusa Duta,Sale,1400000.0,5,6,3650,Ong Kobe
Nusa Duta,Sale,898000.0,5,3,2240,collin kuik
Nusa Duta,Sale,925000.0,4,3,2240,JH Liew
Nusa Duta,Sale,1000000.0,4,4,2240,James Yee
Nusa Duta,Sale,925000.0,4,3,2240,Angelyn Teoh
Nusa Duta,Sale,1200000.0,Studio,Studio,2923,Jeff Yap
Nusa Duta,Sale,1550000.0,5,6,3265,Liz Yap
Nusa Duta,Sale,860000.0,4,3,2240,Vison Foo
Nusa Duta,Sale,860000.0,4,3,2240,Ken Chai
Nusa Duta,Sale,1550000.0,6,5,3000,Zoey Kok
Nusa Duta,Sale,860000.0,4,3,2210,Jeb Lim
Nusa Duta,Sale,899000.0,4,3,2240,Elvis Tan
Nusa Duta,Sale,899000.0,4,3,2240,Genie Tan
Nusa Duta,Sale,2380000.0,5,5,4300,Jeff Yap
Nusa Duta,Sale,1230000.0,4,5,2923,Jeff Yap
Nusa Duta,Sale,960000.0,4,5,2923,Jeff Yap
Nusa Duta,Sale,899000.0,4,3,2240,Edmund Oh
Nusa Duta,Sale,898000.0,5,3,2240,Jasper Gwee
Nusa Duta,Sale,898000.0,5,3,2240,Elaine Goh
Nusa Duta,Sale,1300000.0,6,4,3650,Kinki Teow
Nusa Duta,Sale,968000.0,5,5,3150,JC Lee
Nusa Duta,Sale,899000.0,4,3,2600,Fion Choo
Nusa Duta,Sale,898000.0,4,3,2240,JC Lee
Nusa Duta,Sale,899000.0,4,3,2240,Brandon Khor
Nusa Duta,Sale,898000.0,4,3,2240,Apple Na
Nusa Duta,Sale,898000.0,5,3,2240,James Lee
Nusa Duta,Sale,899000.0,4,3,2240,Jack Chai
Nusa Duta,Sale,928000.0,4,3,2100,Fang Ling
Nusa Duta,Sale,899000.0,4,3,2500,John Yap
Nusa Duta,Rent,2300.0,5,3,2592,Bevis Liew
Nusa Duta,Rent,2300.0,5,3,2592,Joyce Goh
Nusa Duta,Rent,4000.0,4,5,2900,SU .
Nusa Duta,Rent,2800.0,4,5,3200,SU .
Nusa Duta,Rent,3800.0,4,4,2720,Savy Law
Nusa Duta,Rent,3900.0,5,5,2720,Margaret Moo
Nusa Duta,Rent,4000.0,4,4,2000,Nicholas Low
Nusa Duta,Rent,2500.0,4,3,1920,SC Cheng
Nusa Duta,Rent,4000.0,5,5,2720,Margaret Moo
Nusa Duta,Rent,4000.0,5,4,2720,Huan Chin Siang
Nusa Duta,Rent,3500.0,5,4,2720,Fiona Tan
Nusa Duta,Rent,2800.0,4,4,3200,Michelle Fong
Nusa Duta,Rent,3800.0,5,4,2720,Vivi Yip
Nusa Duta,Rent,3800.0,4,4,2720,Jasper Kong
Nusa Duta,Rent,3800.0,5,4,2720,Jayden Neo
Nusa Duta,Rent,3800.0,5,4,2720,Eva Siow
Nusa Duta,Rent,4000.0,5,4,1500,Jack Wong
Nusa Duta,Rent,2200.0,5,4,2405,Derrick Chai
Nusa Duta,Rent,2200.0,5,4,2240,Alex Lim
Nusa Duta,Rent,2800.0,5,4,3000,Melissa Toh
