PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Lot 88 Perdana Heights @ Sungai Petani,Sale,850000.0,5,5,3600,Henry Ng
Lot 88 Perdana Heights @ Sungai Petani,Sale,580000.0,5,5,2880,Nor Mazira
Lot 88 Perdana Heights @ Sungai Petani,Sale,900000.0,4,5,3960,Mohd Farhan
Lot 88 Perdana Heights @ Sungai Petani,Sale,350000.0,3,2,1700,Idham Property
Lot 88 Perdana Heights @ Sungai Petani,Sale,350000.0,3,2,1700,Idham Property
Lot 88 Perdana Heights @ Sungai Petani,Sale,750000.0,5,5,2880,Ruswahida .
Lot 88 Perdana Heights @ Sungai Petani,Sale,580000.0,6,5,3000,Derrick Ng
Lot 88 Perdana Heights @ Sungai Petani,Sale,630000.0,5,5,2500,Derrick Ng
Lot 88 Perdana Heights @ Sungai Petani,Sale,570000.0,6,5,3000,Derrick Ng
Lot 88 Perdana Heights @ Sungai Petani,Sale,495000.0,5,3,2500,Derrick Ng
Lot 88 Perdana Heights @ Sungai Petani,Sale,570000.0,5,5,2884,Abdul Muhaimin
Lot 88 Perdana Heights @ Sungai Petani,Sale,570000.0,5,5,3248,Mohamad Zulhaimie
"Taman Seroja, Kulim",Sale,650000.0,5,3,6318,Amy .
"Taman Seroja, Kulim",Sale,650000.0,5,3,6318,Zainab Abdul Rahman
"Taman Seroja, Kulim",Sale,405000.0,3,2,1800,Faiz .
"Taman Seroja, Kulim",Sale,365000.0,3,2,1057,Janice Lim
"Taman Seroja, Kulim",Rent,24000.0,Studio,Studio,80000,Lissa Ooi
Bandar Laguna Merbok,Sale,380000.0,4,3,1400,Hafiz Adib
Bandar Laguna Merbok,Sale,520000.0,4,3,2000,Goh Kang Yong
Bandar Laguna Merbok,Sale,420000.0,4,3,1800,Nor Mazira
Bandar Laguna Merbok,Sale,390000.0,4,3,2320,Idham Property
Bandar Laguna Merbok,Sale,570000.0,5,3,2500,Zainab Abdul Rahman
Bandar Laguna Merbok,Sale,340000.0,4,4,1400,Ainur Azura
Bandar Laguna Merbok,Sale,522000.0,4,4,2044,Jason Tang
Bandar Laguna Merbok,Sale,300000.0,3,3,1800,Derrick Ng
Bandar Laguna Merbok,Sale,385000.0,4,4,1539,Jason Tang
Bandar Laguna Merbok,Sale,415000.0,4,3,2414,Hafiz Adib
Bandar Laguna Merbok,Sale,390000.0,4,3,1400,Fahmi Yahaya
Bandar Laguna Merbok,Sale,580000.0,4,3,4200,Mohd Farhan
Bandar Laguna Merbok,Sale,350000.0,4,3,1400,Abdul Muhaimin
Bandar Laguna Merbok,Sale,450000.0,3,3,1800,Nor Mazira
Bandar Laguna Merbok,Sale,2100000.0,5,4,3300,Derrick Ng
Bandar Laguna Merbok,Sale,3000000.0,6,6,4200,Derrick Ng
Bandar Laguna Merbok,Sale,1000000.0,4,4,3000,Derrick Ng
Bandar Laguna Merbok,Sale,385000.0,4,3,1400,Shahrol Ariffin
Bandar Laguna Merbok,Sale,522000.0,4,4,2044,Jason Tang
Bandar Laguna Merbok,Sale,522000.0,4,3,4542,Alwen Choong
Bandar Laguna Merbok,Sale,440000.0,3,2,1540,Erin Anuar
Bandar Laguna Merbok,Rent,1300.0,4,3,2000,Leong .
Bandar Laguna Merbok,Rent,1300.0,3,2,1540,Erin Anuar
