PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Panchor Jaya,Sale,340000.0,4,2,2800,Khadijah Zakaria
Taman Panchor Jaya,Sale,340000.0,4,2,1200,Anas Ashaari
Taman Panchor Jaya,Sale,340000.0,4,2,2800,Shamzjoe .
Taman Panchor Jaya,Sale,340000.0,4,2,2800,Azli Ibrahim
Taman Panchor Jaya,Sale,340000.0,4,2,2800,Maizura binti Mohd Darus
Taman Panchor Jaya,Sale,340000.0,4,2,1080,Hamizon .
Taman Panchor Jaya,Sale,340000.0,4,2,2800,Ikmal Hakim
Taman Panchor Jaya,Sale,340000.0,4,2,1000,Ainun Duyal
Taman Panchor Jaya,Sale,340000.0,4,2,1000,Aini Rafiqah
Taman Panchor Jaya,Sale,340000.0,4,2,1000,mohd zamri mohd duyalmi
Taman Panchor Jaya,Sale,340000.0,4,2,2800,FARIS AZIZ
Taman Panchor Jaya,Sale,340000.0,4,2,2800,Najibah Sahari
Taman Panchor Jaya,Sale,350000.0,4,2,1000,Arif Halim
Taman Panchor Jaya,Sale,330000.0,3,2,1000,Arif Halim
Taman Panchor Jaya,Sale,340000.0,4,2,2800,Farrah Khairuddin
Aviva Green,Sale,466000.0,5,4,2800,Emma Wong
Aviva Green,Sale,498000.0,4,4,2890,Emma Wong
Aviva Green,Sale,1400000.0,5,5,2700,Najibah Sahari
Aviva Green,Sale,1400000.0,5,5,2700,Siti Adilah Aziz
Aviva Green,Sale,1200000.0,4,6,2500,Azila Ismail
Aviva Green,Sale,1249999.0,5,4,2800,Chong Yuen Kiong
Aviva Green,Sale,438000.0,4,4,2349,Emma Wong
Aviva Green,Sale,428000.0,4,4,2819,Emma Wong
Aviva Green,Sale,1750000.0,6,5,3200,Rahman Isa
Aviva Green,Sale,1750000.0,4,5,3200,Ahmad Fikri Amer Hamzah
Aviva Green,Sale,1400000.0,5,5,2700,Ahmad Fikri Amer Hamzah
Aviva Green,Sale,1250000.0,4,5,2830,Janet Lee
Aviva Green,Sale,1250000.0,5,5,2830,Dicky Yap
Aviva Green,Sale,1750000.0,4,5,3200,Mohd Nazri Roslan
Aviva Green,Sale,1750000.0,6,5,3200,Muhammad Fahid Fitlla
Aviva Green,Sale,1400000.0,5,5,2700,Afiq Hazwan
Aviva Green,Sale,1200000.0,4,4,3000,Khadijah Zakaria
Aviva Green,Sale,1750000.0,4,5,3200,Khairul Nizam
Aviva Green,Sale,1400000.0,5,5,2700,Mohamad Hanafi
Aviva Green,Sale,1360000.0,5,4,2830,Bevis Loi
Aviva Green,Sale,1400000.0,5,5,2700,Muhammad Fahid Fitlla
Aviva Green,Sale,1700000.0,5,4,3500,CL Yap
Aviva Green,Sale,1750000.0,6,5,3200,Mohammad Omar
Aviva Green,Sale,1700000.0,4,4,3500,Bevis Loi
Aviva Green,Sale,1750000.0,4,4,5400,Nurul Waheeda
Aviva Green,Rent,5000.0,5,5,2700,Siti Adilah Aziz
Aviva Green,Rent,3500.0,5,4,3500,Dicky Yap
Garden City Homes,Sale,550000.0,4,3,2000,Chia Henric
Garden City Homes,Sale,790000.0,5,4,2847,Eddy Azuan
Garden City Homes,Sale,580000.0,4,3,2100,Rashidah Juremi
Garden City Homes,Sale,620000.0,4,3,1980,Chong Yuen Kiong
Garden City Homes,Sale,720000.0,4,3,2000,Chong Yuen Kiong
Garden City Homes,Sale,650000.0,4,3,1960,Chong Yuen Kiong
Garden City Homes,Sale,550000.0,4,3,1610,Nurul Waheeda
Garden City Homes,Sale,530000.0,4,3,1800,Khadijah Zakaria
Garden City Homes,Sale,595000.0,4,3,2000,Chong Yuen Kiong
Garden City Homes,Sale,790000.0,5,4,2847,Iqbal Rafei
Garden City Homes,Sale,550000.0,4,3,1610,Tun Fatimah
Garden City Homes,Rent,2100.0,4,3,1680,Jess Lim
Garden City Homes,Rent,2000.0,4,3,2200,BC Lee
Garden City Homes,Rent,1500.0,4,3,2050,Khoo .
Taman Ametis,Sale,440000.0,4,3,1710,Syazmil Yaakob
Rimbun Vista @ Seremban 2,Sale,780000.0,4,4,2641,Ebanesar Jeevarathnam
Rimbun Vista @ Seremban 2,Sale,788888.0,5,4,2649,Chong Yuen Kiong
Rimbun Vista @ Seremban 2,Sale,1200000.0,4,4,3300,Dicky Yap
Rimbun Vista @ Seremban 2,Sale,983000.0,5,4,3500,Connie Lim
Rimbun Vista @ Seremban 2,Sale,818000.0,5,4,2024,BC Lee
Rimbun Vista @ Seremban 2,Sale,715000.0,4,4,2641,Iqbal Rafei
Rimbun Vista @ Seremban 2,Sale,429999.0,4,4,2500,Eddy .
Rimbun Vista @ Seremban 2,Sale,650000.0,4,4,2800,Chong Yuen Kiong
Rimbun Vista @ Seremban 2,Sale,830000.0,4,4,2641,Chong Yuen Kiong
Rimbun Vista @ Seremban 2,Sale,690000.0,4,4,2500,Chia Henric
Seri Binjai,Sale,450000.0,5,5,2315,Emma Wong
Seri Binjai,Sale,409000.0,5,4,2516,Emma Wong
Seri Binjai,Sale,428000.0,4,4,2516,Emma Wong
Seri Binjai,Sale,409000.0,5,5,3315,Emma Wong
Seri Binjai,Sale,447111.0,4,4,3156,Emma Wong
Seri Binjai,Sale,502000.0,5,5,3511,Emma Wong
Seri Binjai,Sale,408000.0,4,4,3214,Emma Wong
Seri Binjai,Sale,409000.0,4,4,3111,Emma Wong
Seri Binjai,Sale,455000.0,5,5,3151,Emma Wong
Seri Binjai,Sale,408000.0,4,4,3200,Emma Wong
Seri Binjai,Sale,409000.0,4,4,3210,Emma Wong
Seri Binjai,Sale,428000.0,4,4,2800,Emma Wong
Seri Binjai,Sale,438000.0,5,5,2800,Emma Wong
Seri Binjai,Sale,420000.0,4,4,3210,Emma Wong
Seri Binjai,Sale,406000.0,4,4,3200,Emma Wong
Seri Binjai,Sale,420000.0,4,4,3155,Emma Wong
Seri Binjai,Sale,528000.0,4,4,3210,Emma Wong
Seri Binjai,Rent,1400.0,4,2,2100,BC Lee
Seri Binjai,Rent,1500.0,4,3,2000,Meio Chong
Seri Binjai,Rent,1400.0,4,2,2100,BC Lee
Ara Sendayan,Sale,570000.0,4,4,1500,Suriaty Binti Haji Sulaiman
Ara Sendayan,Sale,470000.0,5,5,3166,Emma Wong
Ara Sendayan,Sale,418000.0,4,4,3516,Emma Wong
Ara Sendayan,Sale,406000.0,4,4,3511,Emma Wong
Ara Sendayan,Sale,449000.0,4,4,2325,Emma Wong
Ara Sendayan,Sale,430000.0,4,4,2156,Emma Wong
Ara Sendayan,Sale,428000.0,4,4,3156,Emma Wong
Ara Sendayan,Sale,430000.0,5,5,3215,Emma Wong
Ara Sendayan,Sale,409000.0,4,4,2516,Emma Wong
