PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Setia Eco Gardens,Sale,580000.0,4,3,1400.0,Jack Lee
Setia Eco Gardens,Sale,578000.0,4,3,1400.0,Kayden Beh
Setia Eco Gardens,Sale,580000.0,4,3,1800.0,Eileen Khor
Setia Eco Gardens,Sale,580000.0,4,3,1800.0,Eileen Khor
Setia Eco Gardens,Sale,1400000.0,5,5,3120.0,Mohd Rasydan
Setia Eco Gardens,Sale,580000.0,4,3,1800.0,Eileen Khor
Setia Eco Gardens,Sale,650000.0,4,4,1959.0,Alvin Hew
Setia Eco Gardens,Sale,570000.0,4,3,1400.0,Ivy Leong
Setia Eco Gardens,Sale,628000.0,4,3,2100.0,Kelvin Lean
Setia Eco Gardens,Sale,628000.0,4,3,2300.0,Grayson Boon
Setia Eco Gardens,Sale,598000.0,4,3,1950.0,Grayson Boon
Setia Eco Gardens,Sale,650000.0,4,3,1801.0,Grayson Boon
Setia Eco Gardens,Sale,618000.0,4,3,1801.0,Grayson Boon
Setia Eco Gardens,Sale,360000.0,4,3,1100.0,E.K Tan
Setia Eco Gardens,Sale,495000.0,3,2,1400.0,E.K Tan
Setia Eco Gardens,Sale,618000.0,4,3,1400.0,Alice Goh
Setia Eco Gardens,Sale,568000.0,4,3,1600.0,Eric Tee
Setia Eco Gardens,Sale,560000.0,4,3,1850.0,Eileen Khor
Setia Eco Gardens,Sale,700000.0,4,3,1400.0,Mandy Goh Siew Li
Setia Eco Gardens,Sale,618000.0,4,3,1400.0,Charlie Tan
Setia Eco Gardens,Sale,598000.0,4,4,1950.0,Victor Tai
Setia Eco Gardens,Sale,578000.0,4,3,1400.0,Victor Tai
Setia Eco Gardens,Sale,618000.0,4,3,1400.0,Alicia Voon
Setia Eco Gardens,Sale,618000.0,4,3,1400.0,Liam Goh
Setia Eco Gardens,Sale,618000.0,4,3,2000.0,Steve Low
Setia Eco Gardens,Sale,628000.0,4,3,1760.0,Justin Kong
Setia Eco Gardens,Sale,1190000.0,4,5,3234.0,Justin Kong
Setia Eco Gardens,Sale,610000.0,4,3,1400.0,K.K Lai
Setia Eco Gardens,Sale,750000.0,4,3,3537.0,Rayce Tok
Setia Eco Gardens,Sale,599000.0,4,3,1400.0,Rayce Tok
Setia Eco Gardens,Sale,590000.0,4,3,1801.0,Kelvin .
Setia Eco Gardens,Sale,580000.0,4,3,1400.0,Kelvin .
Setia Eco Gardens,Sale,578000.0,4,3,1400.0,Kelvin .
Setia Eco Gardens,Sale,530000.0,4,3,1400.0,Alvin Cham
Setia Eco Gardens,Sale,599000.0,4,3,1760.0,YUYIN POH
Setia Eco Gardens,Sale,578000.0,4,3,1400.0,James Ng
Setia Eco Gardens,Sale,650000.0,4,3,2450.0,Kathy Koh
Setia Eco Gardens,Sale,578000.0,4,3,1440.0,Go Sen
Setia Eco Gardens,Sale,1180000.0,4,5,5760.0,Shilee .
Setia Eco Gardens,Sale,578000.0,4,3,1400.0,Eve Hui
Setia Eco Gardens,Sale,580000.0,4,3,1400.0,Ziv Chiam
Setia Eco Gardens,Sale,799000.0,4,3,1760.0,Christine Khor
Setia Eco Gardens,Sale,630000.0,4,3,1557.0,Pansy Teo
Setia Eco Gardens,Sale,598000.0,4,4,1400.0,Elaine Boon
Setia Eco Gardens,Sale,1180000.0,5,5,3600.0,Lee Qiu Wen
Setia Eco Gardens,Sale,490000.0,3,2,1400.0,FM Sam
Setia Eco Gardens,Sale,490000.0,3,2,1400.0,Betty Lee
Setia Eco Gardens,Sale,593000.0,4,4,1950.0,Wilson Ku
Setia Eco Gardens,Sale,608000.0,4,4,1950.0,Victor Tai
Setia Eco Gardens,Sale,480000.0,4,3,1300.0,KT Yip
Setia Eco Gardens,Sale,570000.0,4,3,1400.0,Kayden Voon
Setia Eco Gardens,Sale,599000.0,4,4,1926.0,Kayden Voon
Setia Eco Gardens,Sale,990000.0,5,5,3120.0,Alan Ler
Setia Eco Gardens,Sale,700000.0,4,2,1760.0,Ask Hon
Setia Eco Gardens,Sale,598000.0,4,4,1950.0,MJ Lai
Setia Eco Gardens,Sale,580000.0,4,3,1500.0,Grace Low
Setia Eco Gardens,Sale,598000.0,4,4,1950.0,Grace Low
Setia Eco Gardens,Sale,598000.0,4,4,1950.0,Jun Song
Setia Eco Gardens,Sale,700000.0,4,4,1950.0,Jun Song
Setia Eco Gardens,Sale,598000.0,4,4,1950.0,Lauren Chai
Setia Eco Gardens,Sale,598000.0,4,4,1950.0,Cathy Tham
Setia Eco Gardens,Sale,598000.0,4,4,1950.0,Jess Lee
Setia Eco Gardens,Sale,580000.0,4,3,1800.0,Eileen Khor
Setia Eco Gardens,Sale,535000.0,3,2,1539.0,Ryon Teh
Setia Eco Gardens,Sale,530000.0,4,3,1400.0,Shirley Pang
Setia Eco Gardens,Sale,569000.0,4,3,1400.0,Huiling Cheong
Setia Eco Gardens,Sale,535000.0,3,2,1539.0,Anthony Moh
Setia Eco Gardens,Sale,535000.0,3,2,1539.0,FM Sam
Setia Eco Gardens,Sale,550000.0,4,3,1530.0,Max Lam
Setia Eco Gardens,Sale,605000.0,4,3,2000.0,Max Lam
Setia Eco Gardens,Sale,1190000.0,4,5,3234.0,Cerine Nah
Setia Eco Gardens,Sale,710000.0,4,3,2000.0,Max Lam
Setia Eco Gardens,Sale,618000.0,4,3,2000.0,Max Lam
Setia Eco Gardens,Sale,555000.0,4,3,2000.0,Max Lam
Setia Eco Gardens,Sale,580000.0,4,3,1400.0,Jun Song
Setia Eco Gardens,Sale,435000.0,3,2,1540.0,Miss Shee
Setia Eco Gardens,Sale,720000.0,4,3,2200.0,Max Lam
Setia Eco Gardens,Sale,420000.0,3,2,1540.0,Max Lam
Setia Eco Gardens,Sale,580000.0,4,3,1400.0,K.K Lai
Setia Eco Gardens,Sale,580000.0,4,3,1500.0,Ask Hon
Setia Eco Gardens,Sale,1190000.0,4,5,3600.0,Doris Your Property Negotiator
Setia Eco Gardens,Sale,535000.0,3,2,1539.0,Max Lam
Setia Eco Gardens,Sale,628000.0,4,3,1760.0,Andy Tan BC
Setia Eco Gardens,Sale,1180000.0,5,5,3000.0,Carson .
Setia Eco Gardens,Sale,465000.0,4,3,1300.0,JC Lee
Setia Eco Gardens,Sale,590000.0,4,3,1801.0,Phoebe Foo
Setia Eco Gardens,Sale,435000.0,3,2,1540.0,Cerine Nah
Setia Eco Gardens,Sale,1180000.0,5,5,3600.0,Michelle Fong
Setia Eco Gardens,Sale,600000.0,4,3,2000.0,Caera Ng
Setia Eco Gardens,Sale,650000.0,4,4,1959.0,Caera Ng
Setia Eco Gardens,Sale,495000.0,3,2,1400.0,Annie Low
Setia Eco Gardens,Sale,628000.0,4,3,1760.0,Jeb Lim
Setia Eco Gardens,Sale,520000.0,4,3,1771.0,Jun Song
Setia Eco Gardens,Sale,599000.0,4,3,1760.0,Xiner Goh
Setia Eco Gardens,Sale,538000.0,4,3,1400.0,Xiner Goh
Setia Eco Gardens,Sale,650000.0,4,4,1400.0,Seven Tan
