PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Pantai Prima,Sale,1750000.0,6,5,3000,Eric Azharie
Taman Pantai Prima,Rent,3000.0,3,2,1740,Dave Loh
Desa Setapak,Sale,390000.0,3,2,1100,Bernice Wong
Desa Setapak,Sale,420000.0,3,2,1200,Brandon .
Desa Setapak,Sale,450000.0,3,2,931,Jonathan Chai
Desa Setapak,Sale,420000.0,4,3,1000,Rex Ng
Desa Setapak,Sale,380000.0,2,2,900,Rex Ng
Desa Setapak,Sale,420000.0,3,2,1000,Zheng Hong Tan
Desa Setapak,Sale,388000.0,3,2,1000,Mike Yap
Desa Setapak,Sale,500000.0,2,2,1000,David Chung
Desa Setapak,Sale,420000.0,3,2,1000,David Chung
Desa Setapak,Sale,390000.0,3,2,1000,David Chung
Desa Setapak,Sale,385000.0,3,2,770,King Wha
Desa Setapak,Sale,500000.0,2,2,1000,Zheng Hong Tan
Desa Setapak,Sale,390000.0,3,2,1000,Zheng Hong Tan
Desa Setapak,Sale,390000.0,3,2,880,Aaron Ong
Desa Setapak,Sale,500000.0,3,2,1200,Siti Adilah Aziz
Desa Setapak,Sale,630000.0,5,3,1550,Bernice Wong
Desa Setapak,Sale,507000.0,3,2,1200,Fatin Hanani
Desa Setapak,Sale,430000.0,3,3,1036,Lucas Low
Desa Setapak,Sale,450000.0,3,2,1036,Lucas Low
Desa Setapak,Sale,580000.0,5,3,1056,Lucas Low
Desa Setapak,Sale,670000.0,4,3,2000,Lucas Low
Desa Setapak,Sale,420000.0,3,3,800,Ben Ng
Desa Setapak,Sale,420000.0,3,2,1100,GEE .
Desa Setapak,Sale,420000.0,3,3,1100,GEE .
Desa Setapak,Sale,630000.0,5,3,1100,GEE .
Desa Setapak,Sale,507000.0,3,2,1200,Aida Abd Hashim
Desa Setapak,Sale,507000.0,3,2,1000,Sarliza Jafar
Desa Setapak,Sale,507000.0,3,2,1200,Mohd Syazwan
Desa Setapak,Sale,390000.0,3,2,770,King Wha
Desa Setapak,Sale,430000.0,3,2,588,Almon Yeap
Desa Setapak,Sale,420000.0,3,2,1200,James Loh
Desa Setapak,Sale,390000.0,3,2,990,Benson Chong
Desa Setapak,Sale,418000.0,3,3,1100,Josephine Pea LS
Desa Setapak,Sale,420000.0,3,2,800,Ben Ng
Desa Setapak,Sale,390000.0,3,2,770,King Wha
Desa Setapak,Sale,675000.0,4,3,1600,Masnizah Arifin
Desa Setapak,Sale,400000.0,2,1,854,KAT NEOH
Desa Setapak,Sale,450000.0,3,2,1200,Shahrul Muhammad
Desa Setapak,Sale,630000.0,5,3,1100,GEE .
Desa Setapak,Sale,420000.0,3,3,900,Welson Moo
Desa Setapak,Sale,420000.0,3,3,1100,GEE .
Desa Setapak,Sale,400000.0,3,2,660,Brandon Chin
Desa Setapak,Sale,440000.0,3,2,1300,Brandon Chin
Desa Setapak,Sale,430000.0,3,2,1300,Brandon Chin
Desa Setapak,Sale,385000.0,3,2,1100,James Tan
Desa Setapak,Sale,550000.0,5,3,1326,Azrul Ismail
Desa Setapak,Sale,400000.0,2,1,854,Norhuda Ab Rahman
Desa Setapak,Sale,455000.0,3,2,1000,David Chung
Desa Setapak,Sale,630000.0,5,3,1300,Jagger Moo
Desa Setapak,Sale,420000.0,3,3,900,Jagger Moo
Desa Setapak,Sale,390000.0,3,2,770,King Wha
Desa Setapak,Sale,450000.0,3,3,1200,Ramlah Binti Awang
Desa Setapak,Sale,450000.0,3,3,1200,Siti Adilah Aziz
Desa Setapak,Sale,670000.0,4,3,1300,Bernice Wong
Desa Setapak,Sale,390000.0,3,2,770,King Wha
Desa Setapak,Sale,400000.0,3,3,1100,James Tan
Desa Setapak,Sale,450000.0,3,3,1200,Ahmad Ikhwan Arif
Desa Setapak,Sale,398000.0,3,2,1100,Bernice Wong
Desa Setapak,Sale,450000.0,3,3,1200,Shaziery Iskandar
Desa Setapak,Sale,390000.0,3,2,770,King Wha
Desa Setapak,Sale,400000.0,3,2,1000,Libby Tan
Desa Setapak,Sale,410000.0,3,2,770,King Wha
Desa Setapak,Sale,430000.0,3,2,588,Almon Yeap
Desa Setapak,Sale,400000.0,2,1,854,AimiRahim Hartanah
Desa Setapak,Sale,460000.0,3,3,1400,YP Tan
Desa Setapak,Sale,408000.0,3,2,1100,Bernice Wong
Desa Setapak,Sale,400000.0,3,2,1100,Bernice Wong
Desa Setapak,Sale,410000.0,3,2,880,Aaron Ong
Desa Setapak,Sale,390000.0,3,2,1134,Cindy Chuah
Desa Setapak,Sale,410000.0,3,2,1100,James Tan
Desa Setapak,Sale,380000.0,2,2,600,Ben Ng
Desa Setapak,Sale,420000.0,4,3,800,Ben Ng
Desa Setapak,Sale,448000.0,3,2,800,Ben Ng
Desa Setapak,Sale,408000.0,3,2,700,Ben Ng
Desa Setapak,Sale,460000.0,3,3,1200,Ben Ng
Desa Setapak,Sale,680000.0,5,3,1100,GEE .
Desa Setapak,Sale,410000.0,3,2,770,King Wha
Desa Setapak,Sale,390000.0,3,2,862,Eiden Yeong
Desa Setapak,Sale,410000.0,3,2,770,King Wha
Desa Setapak,Sale,680000.0,5,3,1500,Welson Moo
Desa Setapak,Sale,400000.0,2,2,1000,Azmi Othman
Desa Setapak,Sale,850000.0,5,3,2100,Malcolm Chua
Desa Setapak,Sale,550000.0,5,3,1326,Azrul Ismail
Desa Setapak,Sale,428000.0,3,3,1100,Bernice Wong
