PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Bandar Seremban Selatan,Sale,422000.0,4,4,2515,Emma Wong
Bandar Seremban Selatan,Sale,428000.0,4,4,2515,Emma Wong
Bandar Seremban Selatan,Sale,420000.0,4,3,2200,Eddy .
Bandar Seremban Selatan,Sale,398888.0,4,4,2380,Siti Nurhaliza
Bandar Seremban Selatan,Sale,398000.0,4,4,3200,Emma Wong
Bandar Seremban Selatan,Sale,440000.0,4,4,2251,Emma Wong
Bandar Seremban Selatan,Sale,450000.0,4,4,2588,Emma Wong
Bandar Seremban Selatan,Sale,438800.0,4,4,2380,Emma Wong
Bandar Seremban Selatan,Sale,422000.0,4,4,3120,Emma Wong
Bandar Seremban Selatan,Sale,422000.0,4,4,3125,Emma Wong
Bandar Seremban Selatan,Sale,478000.0,4,4,2600,Connie Lim
Bandar Seremban Selatan,Sale,409000.0,5,4,3155,Emma Wong
Bandar Seremban Selatan,Sale,409000.0,4,4,3215,Emma Wong
Bandar Seremban Selatan,Sale,467000.0,4,4,2511,Emma Wong
Bandar Seremban Selatan,Sale,409000.0,4,4,3221,Emma Wong
Bandar Seremban Selatan,Sale,398000.0,4,4,2699,Emma Wong
Bandar Seremban Selatan,Sale,429000.0,4,4,2466,Emma Wong
Bandar Seremban Selatan,Sale,429000.0,4,4,2699,Emma Wong
Bandar Seremban Selatan,Sale,439000.0,4,4,3190,Emma Wong
Bandar Seremban Selatan,Sale,409000.0,4,4,2910,Emma Wong
Bandar Seremban Selatan,Sale,416000.0,4,4,2516,Emma Wong
Bandar Seremban Selatan,Sale,488000.0,5,5,2415,Emma Wong
Bandar Seremban Selatan,Sale,439000.0,4,4,2319,Emma Wong
Bandar Seremban Selatan,Sale,406000.0,5,4,2810,Emma Wong
Bandar Seremban Selatan,Sale,460000.0,4,4,2899,Emma Wong
Bandar Seremban Selatan,Sale,422000.0,4,5,2490,Emma Wong
Bandar Seremban Selatan,Sale,409000.0,4,4,2819,Emma Wong
Bandar Seremban Selatan,Sale,409000.0,5,4,3200,Emma Wong
Bandar Seremban Selatan,Sale,487000.0,4,4,3220,Emma Wong
Bandar Seremban Selatan,Sale,491000.0,5,5,2800,Emma Wong
Bandar Seremban Selatan,Sale,422000.0,5,4,2511,Emma Wong
Bandar Seremban Selatan,Sale,388800.0,4,4,2680,Siti Nurhaliza
Bandar Seremban Selatan,Sale,1250000.0,6,6,4300,Haziq Ab Latif
Bandar Seremban Selatan,Sale,411666.0,4,4,2280,Siti Nurhaliza
Bandar Seremban Selatan,Sale,380000.0,4,3,2000,Hayati Bendlin
Bandar Seremban Selatan,Sale,428000.0,4,4,2411,Emily Wong
Bandar Seremban Selatan,Sale,422000.0,4,4,2214,Emily Wong
Bandar Seremban Selatan,Sale,412000.0,5,4,2214,Emily Wong
Bandar Seremban Selatan,Sale,419000.0,4,4,2411,Emily Wong
Bandar Seremban Selatan,Sale,428000.0,5,4,2511,Emily Wong
Bandar Seremban Selatan,Sale,428000.0,5,5,2800,Emily Wong
Bandar Seremban Selatan,Sale,480000.0,5,5,2800,Emily Wong
Bandar Seremban Selatan,Sale,419000.0,5,4,2789,Emily Wong
Bandar Seremban Selatan,Sale,388090.0,4,4,2411,Emily Wong
Bandar Seremban Selatan,Sale,412000.0,4,4,2311,Emily Wong
Bandar Seremban Selatan,Sale,398000.0,4,4,2310,Emily Wong
Bandar Seremban Selatan,Sale,428900.0,4,4,2388,Emily Wong
Bandar Seremban Selatan,Sale,368000.0,4,4,2399,Emily Wong
Bandar Seremban Selatan,Sale,380000.0,4,4,2800,Emily Wong
Bandar Seremban Selatan,Sale,398000.0,4,4,2310,Emily Wong
Bandar Seremban Selatan,Sale,468800.0,4,4,2390,Emily Wong
Bandar Seremban Selatan,Sale,467000.0,5,4,2411,Emily Wong
Bandar Seremban Selatan,Sale,468888.0,4,4,2688,Sam Sim
Bandar Seremban Selatan,Sale,428000.0,4,4,2588,Emily Wong
Taman Intan Perdana,Sale,190000.0,3,2,1300,Khadijah Zakaria
Taman Intan Perdana,Sale,185000.0,3,2,1400,Khadijah Zakaria
Lunaria III @ Resort Homes,Sale,760000.0,4,4,2000,Chia Henric
Lunaria III @ Resort Homes,Sale,1350000.0,4,4,4160,Caroline Teh
Lunaria III @ Resort Homes,Sale,800000.0,4,4,2500,Chia Henric
Lunaria III @ Resort Homes,Sale,650000.0,4,4,3164,Nazli Ambak
Lunaria III @ Resort Homes,Sale,650000.0,4,4,3164,Afifi Sedzali
Lunaria III @ Resort Homes,Sale,831000.0,4,4,3240,Joshua Lee
Lunaria III @ Resort Homes,Sale,699000.0,4,4,2700,Iena Aziz
Lunaria III @ Resort Homes,Sale,650000.0,4,4,2833,Iqbal Rafei
Lunaria III @ Resort Homes,Sale,650000.0,4,4,2863,Anas Ashaari
Lunaria III @ Resort Homes,Sale,669000.0,4,4,2700,Mohd Safuan Sidin
Lunaria III @ Resort Homes,Sale,650000.0,4,4,3164,Hafizee Ismail
Lunaria III @ Resort Homes,Sale,695000.0,4,3,3251,Rahman Isa
Lunaria III @ Resort Homes,Sale,1200000.0,4,4,5000,Chia Henric
Lunaria III @ Resort Homes,Sale,1600000.0,4,4,3000,Chia Henric
Lunaria III @ Resort Homes,Sale,790000.0,4,4,2885,Chai .
Lunaria III @ Resort Homes,Sale,669000.0,4,4,2700,Muhd Ajwad
Lunaria III @ Resort Homes,Sale,780000.0,4,4,1870,Ahmad Kazamirul
Lunaria III @ Resort Homes,Sale,1200000.0,4,4,3000,Chia Henric
Lunaria III @ Resort Homes,Rent,5500.0,6,6,4500,Chia Henric
Mahkota Hills,Sale,345000.0,3,2,1225,Suriaty Binti Haji Sulaiman
Mahkota Hills,Sale,590000.0,4,3,2300,Suriaty Binti Haji Sulaiman
Mahkota Hills,Sale,550000.0,5,4,2600,Arif Halim
Mahkota Hills,Sale,455000.0,4,2,1688,Arif Halim
Mahkota Hills,Sale,135000.0,3,2,4000,Ben Mok
Mahkota Hills,Sale,425000.0,1,1,1000,Ahmad Fadlee
Mahkota Hills,Sale,425000.0,1,1,1000,Afifi Sedzali
Mahkota Hills,Sale,425000.0,1,1,1000,Nazli Ambak
Mahkota Hills,Sale,300000.0,,,6243,Nurashekin .
Mahkota Hills,Sale,475000.0,4,3,1800,Halil Husayni Samsinor
Mahkota Hills,Sale,560000.0,6,3,2480,Siti Hawa Md Ibrahim
Mahkota Hills,Sale,358000.0,3,2,1225,Farhan Basyer
Mahkota Hills,Sale,500000.0,4,2,1700,Arif Halim
Mahkota Hills,Sale,400000.0,3,2,1300,Arif Halim
Mahkota Hills,Sale,455000.0,4,2,1688,Hasrul Nizam
Mahkota Hills,Sale,380000.0,3,2,1600,Ammeer Nadzrai
Mahkota Hills,Sale,1280000.0,7,6,3500,Rex Tan
Mahkota Hills,Sale,570000.0,5,3,3000,ismail bin Mohd Yassin
Mahkota Hills,Sale,1100000.0,5,5,4220,Nicholas Yap
Mahkota Hills,Sale,900000.0,5,5,3200,Sherley Goh
Mahkota Hills,Sale,455000.0,4,2,1688,Muizz Razak
Mahkota Hills,Sale,358000.0,3,2,1400,Ahmad Ikhwan Arif
Mahkota Hills,Sale,420000.0,4,2,1421,Ahmad Ikhwan Arif
Mahkota Hills,Sale,430000.0,4,2,1421,Haziq Shuib
