PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Genting Sempah,Sale,1050300.0,,,14004,Eugene Yap
Genting Sempah,Sale,758850.0,,,10118,Eugene Yap
Genting Sempah,Sale,550000.0,1,1,48000,Sri Rohayu Yusof
Genting Sempah,Sale,1200000.0,,,17190,Kenny Choo
Genting Sempah,Sale,830000.0,,,11861,Kenny Choo
Villas @ Berjaya Hills,Sale,1045588.0,,,24316,S.A Shah
Villas @ Berjaya Hills,Sale,3100000.0,3,3,2794,Shirley Sai
Villas @ Berjaya Hills,Sale,3100000.0,3,3,2794,Shirley Sai
Villas @ Berjaya Hills,Sale,862840.0,,,21571,Shirley Sai
Villas @ Berjaya Hills,Sale,2066860.0,,,24316,Ken Yap
Villas @ Berjaya Hills,Sale,458178.0,,,21818,Jessie Goh
Villas @ Berjaya Hills,Sale,450000.0,,,21818,Jordan Teh
