PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Permatang Sanctuary,Sale,880000.0,4,3,2090,Seah Kok Leong
Permatang Sanctuary,Sale,950000.0,4,3,2100,Jonathan Chng
Permatang Sanctuary,Sale,860000.0,4,3,2100,Jonathan Chng
Permatang Sanctuary,Sale,738000.0,4,3,3136,Celine Tan
Permatang Sanctuary,Sale,780000.0,4,3,2090,Quinn Beh
Permatang Sanctuary,Sale,1100000.0,4,4,2861,Quinn Beh
Permatang Sanctuary,Sale,860000.0,4,3,2112,Quinn Beh
Permatang Sanctuary,Sale,850000.0,4,3,2112,Quinn Beh
Permatang Sanctuary,Sale,850000.0,4,3,2090,Jocelyn Neoh
Permatang Sanctuary,Sale,788000.0,4,3,1840,Ellyn Tee
Permatang Sanctuary,Sale,978000.0,3,3,1791,Ansel Tan
Permatang Sanctuary,Sale,1380000.0,5,4,2250,Jovine Ng
Permatang Sanctuary,Sale,1200000.0,5,4,2400,Jovine Ng
Permatang Sanctuary,Sale,950000.0,4,3,1800,Jovine Ng
Permatang Sanctuary,Sale,980000.0,4,3,1800,Jovine Ng
Permatang Sanctuary,Sale,980000.0,4,3,1840,Ellyn Tee
Permatang Sanctuary,Sale,1000000.0,4,3,2200,Quinn Beh
Botanica.CT @ Balik Pulau Penang,Sale,690000.0,4,4,2700,Khoo .
Botanica.CT @ Balik Pulau Penang,Sale,588000.0,4,3,1600,Jia Yong
Botanica.CT @ Balik Pulau Penang,Sale,750000.0,4,3,2000,Jia Yong
Botanica.CT @ Balik Pulau Penang,Sale,1000000.0,4,3,1956,Gladys Kock
Botanica.CT @ Balik Pulau Penang,Sale,899000.0,4,3,1950,Khoo .
Botanica.CT @ Balik Pulau Penang,Sale,898000.0,Studio,Studio,2480,Janice Ooi
Botanica.CT @ Balik Pulau Penang,Sale,750000.0,4,3,2000,Jia Yong
Botanica.CT @ Balik Pulau Penang,Sale,588000.0,4,3,1600,Jia Yong
Botanica.CT @ Balik Pulau Penang,Sale,1200000.0,4,4,3272,Jin Lim
Botanica.CT @ Balik Pulau Penang,Sale,720000.0,4,3,2000,Jia Yong
Botanica.CT @ Balik Pulau Penang,Sale,750000.0,4,3,2000,Jia Yong
Botanica.CT @ Balik Pulau Penang,Sale,588000.0,4,3,1600,Jia Yong
D'Residence,Sale,3800000.0,5,7,4000,Jake Khoo
D'Residence,Sale,4280000.0,5,7,5522,Jake Khoo
D'Residence,Sale,5500000.0,6,6,5000,Amanda Lam
D'Residence,Sale,3750000.0,5,6,3899,Amanda Lam
D'Residence,Sale,4000000.0,5,6,3899,Amanda Lam
D'Residence,Sale,4999000.0,6,6,4285,Amanda Lam
D'Residence,Sale,4260000.0,5,7,4285,Amanda Lam
D'Residence,Sale,3600000.0,6,7,4000,HB Ooi
D'Residence,Sale,5500000.0,6,6,5000,Elynne Leong
D'Residence,Sale,5000000.0,6,7,4500,Elynne Leong
D'Residence,Sale,3600000.0,6,7,4000,Elynne Leong
D'Residence,Sale,5000000.0,5,7,7000,Ivan Chia
D'Residence,Sale,3600000.0,6,7,4600,Cayden Choong
D'Residence,Sale,4000000.0,6,7,3900,Elaine Ooi
D'Residence,Sale,7600000.0,8,8,15000,CK Ong
D'Residence,Sale,3600000.0,5,6,4098,Alex Cheah
D'Residence,Sale,4300000.0,5,7,5519,Brian Ooi
D'Residence,Sale,4260000.0,6,7,4285,Allen Ser
D'Residence,Sale,4500000.0,7,6,4800,Zhonl Saw Boon Loong
D'Residence,Sale,5000000.0,5,7,4150,Li Fang
D'Residence,Sale,5000000.0,5,7,4150,Matthew Png
D'Residence,Sale,3600000.0,5,4,4000,Beverly Lim
D'Residence,Sale,3700000.0,6,7,4000,Joshua Ong
D'Residence,Sale,4900000.0,5,7,4000,Elaine Ooi
D'Residence,Sale,5000000.0,6,5,4500,Alison Chng
D'Residence,Sale,3870000.0,5,4,5097,Alan Ho
D'Residence,Sale,5500000.0,7,6,5000,Mohd Shazni Abdul Rahim
D'Residence,Sale,4280000.0,5,7,5522,Alex Cheah
D'Residence,Sale,3600000.0,5,6,3900,Alex Cheah
D'Residence,Sale,3870000.0,6,7,5097,Jason Tang
D'Residence,Sale,4500000.0,6,6,4107,Bryan Ooi
D'Residence,Sale,4980000.0,6,7,5000,Fibo Law
D'Residence,Sale,4000000.0,6,7,5522,Fibo Law
D'Residence,Rent,5500.0,5,3,5000,Samantha Teng
D'Residence,Rent,4500.0,5,6,3555,Ivan Chia
D'Residence,Rent,4500.0,6,6,3555,Arissa Phuan
D'Residence,Rent,4500.0,5,6,3555,Arissa Phuan
D'Residence,Rent,7000.0,7,6,4800,Allen Ser
D'Residence,Rent,7000.0,7,6,4800,James Lee
Hilir 37 @ Balik Pulau,Sale,1400000.0,5,5,3278,George Er
Hilir 37 @ Balik Pulau,Sale,1450000.0,5,5,4200,Jansen Yew
Hilir 37 @ Balik Pulau,Sale,900000.0,5,5,2775,Moko Ong
Hilir 37 @ Balik Pulau,Sale,930000.0,5,5,2775,Moko Ong
Hilir 37 @ Balik Pulau,Sale,1080000.0,5,5,2775,Moko Ong
Hilir 37 @ Balik Pulau,Sale,900000.0,5,5,4200,Lissa Ooi
Hilir 37 @ Balik Pulau,Sale,900000.0,5,5,2775,SS Ong
Hilir 37 @ Balik Pulau,Sale,950000.0,5,5,2800,Lissa Ooi
Hilir 37 @ Balik Pulau,Sale,930000.0,5,5,2800,Lissa Ooi
Hilir 37 @ Balik Pulau,Sale,900000.0,5,5,2800,Lissa Ooi
Hilir 37 @ Balik Pulau,Sale,1080000.0,5,5,2800,Lissa Ooi
Hilir 37 @ Balik Pulau,Sale,1000000.0,5,5,3800,Lissa Ooi
Hilir 37 @ Balik Pulau,Sale,1080000.0,5,5,4200,Jansen Yew
Hilir 37 @ Balik Pulau,Sale,980000.0,5,4,3566,Lissa Ooi
Hilir 37 @ Balik Pulau,Sale,1200000.0,5,5,2800,Jansen Yew
Hilir 37 @ Balik Pulau,Rent,2400.0,5,5,3278,George Er
Hilir 37 @ Balik Pulau,Rent,2500.0,5,5,4400,Jinelle Ong
Medan York @ Georgetown,Sale,6000000.0,5,6,4000,Shu Fen
Medan York @ Georgetown,Sale,3950000.0,7,8,6068,Amos Sin
Medan York @ Georgetown,Sale,2800000.0,4,3,3500,Amos Sin
Medan York @ Georgetown,Sale,6000000.0,6,6,4000,Amos Sin
Medan York @ Georgetown,Sale,6000000.0,4,3,4200,Elaine Ooi
Medan York @ Georgetown,Sale,5800000.0,5,3,4500,Elaine Ooi
Medan York @ Georgetown,Sale,6000000.0,4,3,4000,Elaine Ooi
Medan York @ Georgetown,Sale,2800000.0,4,3,3500,CT CHAI
Medan York @ Georgetown,Sale,6000000.0,6,6,7810,CT CHAI
Medan York @ Georgetown,Sale,5800000.0,6,6,4000,Fennie Seow
Medan York @ Georgetown,Sale,3990005.0,5,6,4500,Welson Teh
Medan York @ Georgetown,Rent,5800.0,6,6,4000,Irene Goh
Ferringhi Villa,Sale,1950000.0,4,3,3800,George Er
