PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Sri Istana Hills,Sale,1900000.0,6,5,5356,KB Tee
Sri Istana Hills,Sale,1600000.0,5,4,3010,Afwan Yasri
Sri Istana Hills,Sale,1550000.0,5,5,3010,Mr Wan
Sri Istana Hills,Sale,2600000.0,9,4,6500,Azam Sabaruddin
Sri Istana Hills,Sale,1590000.0,5,4,3010,Alice Yeoh
Sri Istana Hills,Sale,1600000.0,5,4,3010,Daneal Eoon
Sri Istana Hills,Sale,1600000.0,4,4,3010,Hairul Hafiz Harun
Sri Istana Hills,Sale,1600000.0,5,4,5000,Mohamad Faizal Haini
Sri Istana Hills,Sale,1888999.0,5,6,5363,Mr Wan
Sri Istana Hills,Sale,1770000.0,6,4,3500,Megan Pe
Sri Istana Hills,Sale,1900000.0,6,4,5356,Megan Pe
Beverly Row,Rent,9000.0,6,7,11902,Calvin Koo
Beverly Row,Rent,9000.0,6,6,5916,Shaqif Sahar
Beverly Row,Rent,9000.0,6,5,5916,Adrian Loh
Beverly Row,Rent,9000.0,6,7,7231,Ashley Lim
Beverly Row,Rent,9000.0,6,6,5916,Mark Teo
Beverly Row,Rent,9000.0,6,6,5916,Bill Lee
Beverly Row,Rent,9000.0,5,6,7231,Bill Lee
Beverly Row,Rent,11000.0,6,7,6471,Bill Lee
Beverly Row,Rent,11000.0,6,6,6932,Bill Lee
Beverly Row,Rent,11000.0,6,6,5916,Azmi Othman
Beverly Row,Rent,9000.0,5,7,6000,Shamzjoe .
Beverly Row,Rent,11000.0,6,7,6471,Bill Lee
Beverly Row,Rent,9000.0,6,6,5916,Bill Lee
Beverly Row,Rent,15000.0,6,6,7500,Ester Chin
Beverly Row,Rent,9000.0,4,6,7231,Bill Lee
Beverly Row,Rent,9000.0,6,6,18040,Vivi Yap
Beverly Row,Rent,11000.0,6,7,6200,Calvin Koo
Beverly Row,Rent,13000.0,6,7,9000,Dante Leong Zhenwen
Beverly Row,Rent,11000.0,5,6,6932,Kelly Kew
Beverly Row,Rent,16000.0,6,6,7500,Kelly Kew
Beverly Row,Rent,15000.0,6,6,20500,Mike Tung
Beverly Row,Rent,11000.0,6,7,6471,Zaki Jamaludin
Beverly Row,Rent,15000.0,7,6,7500,TWIS SY
Beverly Row,Rent,9000.0,6,7,6000,Hanson Yap
Beverly Row,Rent,9000.0,6,7,6000,Hanson Yap
Beverly Row,Rent,9500.0,6,6,5400,Nasrul Afiq Hamzah
Beverly Row,Rent,10000.0,6,6,6233,Mike Tung
Beverly Row,Rent,13000.0,6,6,8646,Mike Tung
Beverly Row,Rent,15000.0,7,7,7500,Lucas Teoh
Beverly Row,Rent,9000.0,6,6,6000,Navinraw .
Beverly Row,Rent,12000.0,6,6,8000,Navinraw .
Beverly Row,Rent,11000.0,6,6,6932,Azmi Othman
Beverly Row,Rent,12000.0,6,6,6931,Chloe Seet
Beverly Row,Rent,10000.0,6,6,5916,Chloe Seet
Beverly Row,Rent,13000.0,6,6,6500,Chloe Seet
Beverly Row,Rent,13000.0,6,6,5800,Chloe Seet
Beverly Row,Rent,12000.0,6,7,7231,Chloe Seet
Beverly Row,Rent,10000.0,6,7,6128,Chloe Seet
Beverly Row,Rent,12000.0,Studio,Studio,6233,Chloe Seet
Beverly Row,Rent,13000.0,6,7,7410,Chloe Seet
Beverly Row,Rent,11000.0,6,7,5916,Chloe Seet
Beverly Row,Rent,15000.0,6,8,7500,Ong Chee Yong
Beverly Row,Rent,15000.0,7,7,7500,Jonah Lu
Beverly Row,Rent,15000.0,7,6,7500,Kyce Cheong
Beverly Row,Rent,15000.0,7,5,7500,Melanie Lim
Beverly Row,Rent,9000.0,6,7,7231,Nasrul Afiq Hamzah
Beverly Row,Rent,10000.0,6,6,6233,Nasrul Afiq Hamzah
Beverly Row,Rent,13000.0,6,6,6931,Nasrul Afiq Hamzah
Beverly Row,Rent,9000.0,6,6,5916,Nasrul Afiq Hamzah
Beverly Row,Rent,9000.0,5,6,6500,Ray Chua
Beverly Row,Rent,15000.0,6,6,7500,Jun Yap
Beverly Row,Rent,15000.0,7,6,7500,Kelson How Kai Sheng
Beverly Row,Rent,11500.0,5,5,6471,Teresa Law
Beverly Row,Rent,13000.0,6,6,17000,David Tan
Beverly Row,Rent,9000.0,6,6,6000,Helmut Schleich
Beverly Row,Rent,10000.0,6,7,10000,Maggie Loi
Beverly Row,Rent,15000.0,6,6,7500,Alan Ng
Beverly Row,Rent,9000.0,6,6,7000,EE Ling
Beverly Row,Rent,15000.0,7,4,7500,Sheryl Ng
Eco Grandeur,Sale,590000.0,4,3,1635,Michael Foong
Eco Grandeur,Sale,600000.0,4,3,1635,Arif Mustapha
Eco Grandeur,Sale,720000.0,4,3,1778,Benjamin Lai
Eco Grandeur,Sale,580000.0,4,3,1635,Benjamin Lai
Eco Grandeur,Sale,600000.0,4,3,1635,Mohamad Faizal Haini
Eco Grandeur,Sale,1380000.0,5,5,2295,KC Cheah
Eco Grandeur,Sale,1780000.0,5,5,3051,KC Cheah
Eco Grandeur,Sale,1800000.0,6,6,3224,KC Cheah
Eco Grandeur,Sale,740000.0,4,3,1836,Benjamin Lai
Eco Grandeur,Sale,798000.0,4,3,1868,Emily Kho
Eco Grandeur,Sale,850000.0,4,3,1868,Bill Lim
Eco Grandeur,Sale,990000.0,4,3,1836,Bill Lim
Eco Grandeur,Sale,925000.0,4,3,1877,Bill Lim
Eco Grandeur,Sale,600000.0,4,3,1635,HAIRUL HAFIZ
Eco Grandeur,Sale,750000.0,4,3,1836,Bill Lim
Eco Grandeur,Sale,760000.0,4,3,1841,Aliff Ashraf
Eco Grandeur,Sale,950000.0,4,3,1635,Najibah Sahari
Eco Grandeur,Sale,820000.0,4,3,1841,Roslena .
Eco Grandeur,Sale,735000.0,4,3,1778,Benjamin Lai
Eco Grandeur,Sale,630000.0,4,3,1635,Eda Zainal
Eco Grandeur,Sale,920500.0,4,3,1877,Abid Sabarudin
Eco Grandeur,Sale,770000.0,4,3,1635,Syazmil Yaakob
Eco Grandeur,Sale,630000.0,3,3,1521,Erin Yusof
Eco Grandeur,Sale,720000.0,4,3,1778,NORFADILAH ZAINUDDIN
Eco Grandeur,Sale,838000.0,4,3,1868,Kevin Yan
Eco Grandeur,Sale,1150000.0,4,3,1846,Kevin Yan
