PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Country Garden Central Park (Serviced Apartment),Sale,460000.0,3,2,981,Rachael Ng
Country Garden Central Park (Serviced Apartment),Sale,300125.0,2,1,544,Eunjin Wong
Country Garden Central Park (Serviced Apartment),Sale,435000.0,2,2,783,Olivia Ong
Country Garden Central Park (Serviced Apartment),Sale,275000.0,2,1,543,Carson .
Country Garden Central Park (Serviced Apartment),Sale,286539.0,Studio,Studio,595,Abdul Rashid Chik
Country Garden Central Park (Serviced Apartment),Sale,350000.0,2,2,781,Ee Fong Toh
Country Garden Central Park (Serviced Apartment),Sale,275000.0,2,1,543,Apple Na
Country Garden Central Park (Serviced Apartment),Sale,275000.0,1,1,543,Andy Cheah
Country Garden Central Park (Serviced Apartment),Sale,255000.0,1,1,543,Ben Eu
Country Garden Central Park (Serviced Apartment),Sale,680000.0,4,3,1631,Rachael Ng
Country Garden Central Park (Serviced Apartment),Sale,286539.0,Studio,Studio,595,Abdul Rashid Chik
Country Garden Central Park (Serviced Apartment),Sale,260000.0,Studio,Studio,403,Wilson Khoo
Country Garden Central Park (Serviced Apartment),Sale,260000.0,Studio,Studio,403,Nicole Ng
Country Garden Central Park (Serviced Apartment),Sale,250000.0,Studio,Studio,403,Jane Ngoi
Country Garden Central Park (Serviced Apartment),Sale,310000.0,1,1,543,KY Cheah
Country Garden Central Park (Serviced Apartment),Sale,330000.0,2,2,781,Cindy Tan
Country Garden Central Park (Serviced Apartment),Sale,185000.0,Studio,Studio,595,Huily Woon
Country Garden Central Park (Serviced Apartment),Sale,250000.0,Studio,Studio,403,Darren Low
Country Garden Central Park (Serviced Apartment),Sale,218000.0,1,1,403,Fion Choo
Country Garden Central Park (Serviced Apartment),Sale,520000.0,5,3,954,Kinki Loh
Country Garden Central Park (Serviced Apartment),Sale,250000.0,1,1,403,Sam Chai
Country Garden Central Park (Serviced Apartment),Sale,230000.0,Studio,Studio,403,Caera Ng
Country Garden Central Park (Serviced Apartment),Sale,271000.0,2,1,543,Anson Hiong
Country Garden Central Park (Serviced Apartment),Sale,215000.0,Studio,Studio,403,Huily Woon
Country Garden Central Park (Serviced Apartment),Sale,185000.0,1,1,595,Hui Lian
Country Garden Central Park (Serviced Apartment),Sale,210000.0,Studio,Studio,403,Ben Foo
Country Garden Central Park (Serviced Apartment),Sale,230000.0,Studio,Studio,403,Karen Heng
Country Garden Central Park (Serviced Apartment),Sale,340000.0,2,2,543,Jamie Tan
Country Garden Central Park (Serviced Apartment),Sale,285000.0,2,1,541,Alan Lin
Country Garden Central Park (Serviced Apartment),Sale,538000.0,3,3,1216,Robbie Tan
Country Garden Central Park (Serviced Apartment),Sale,280000.0,2,1,543,Joseph Foo
Country Garden Central Park (Serviced Apartment),Sale,458000.0,5,3,1631,Adrian Tham
Country Garden Central Park (Serviced Apartment),Sale,220000.0,Studio,Studio,403,Adrian Tham
Country Garden Central Park (Serviced Apartment),Sale,620000.0,5,2,1631,Vchelle. C
Country Garden Central Park (Serviced Apartment),Sale,282000.0,2,1,544,Vchelle. C
Country Garden Central Park (Serviced Apartment),Sale,220000.0,Studio,Studio,403,Florence Hong
Country Garden Central Park (Serviced Apartment),Sale,280000.0,2,1,543,Florence Hong
Country Garden Central Park (Serviced Apartment),Sale,235000.0,3,3,1500,Jessica .
Country Garden Central Park (Serviced Apartment),Sale,300000.0,3,2,650,Sean Lee
Country Garden Central Park (Serviced Apartment),Sale,321000.0,2,1,544,Tan Bing Yi
Country Garden Central Park (Serviced Apartment),Sale,321000.0,3,1,593,Tan Bing Yi
Country Garden Central Park (Serviced Apartment),Sale,460000.0,2,2,781,Tan Bing Yi
Country Garden Central Park (Serviced Apartment),Sale,428000.0,2,2,785,Samuel Lee
Country Garden Central Park (Serviced Apartment),Sale,300000.0,1,1,544,Samuel Lee
Country Garden Central Park (Serviced Apartment),Sale,820000.0,3,2,1179,Caroline Lai
Country Garden Central Park (Serviced Apartment),Sale,200000.0,Studio,Studio,403,Alan Lin
Country Garden Central Park (Serviced Apartment),Sale,350000.0,2,2,781,Iden Tan
Country Garden Central Park (Serviced Apartment),Sale,458000.0,5,3,1631,Adrian Tham
Country Garden Central Park (Serviced Apartment),Sale,380000.0,2,2,780,Jack Koo
Country Garden Central Park (Serviced Apartment),Sale,447000.0,3,2,981,Jack Koo
