PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Bangsar Hill Park,Sale,807000.0,2,2,917.0,Leon Vong
Bangsar Hill Park,Sale,807000.0,2,2,917.0,Aaron Tai
Bangsar Hill Park,Sale,1159000.0,3,4,1478.0,Leon Vong
Bangsar Hill Park,Sale,880000.0,2,2,916.0,SUN TEOH
Bangsar Hill Park,Sale,807000.0,2,2,916.0,Klaven Law
Bangsar Hill Park,Sale,1159000.0,3,4,1478.0,Aaron Tai
Bangsar Hill Park,Sale,807000.0,2,2,917.0,MARLYN MISIL
Bangsar Hill Park,Sale,807000.0,2,2,917.0,Aaron Tai
Bangsar Hill Park,Sale,1159000.0,3,4,1478.0,Aaron Tai
Bangsar Hill Park,Sale,1150000.0,3,3,1435.0,Denise Tan
Bangsar Hill Park,Sale,800000.0,2,2,916.0,Denise Tan
Bangsar Hill Park,Sale,807000.0,2,2,916.0,Clement Chan
Bangsar Hill Park,Sale,1159000.0,3,4,1478.0,Aaron Tai
Bangsar Hill Park,Sale,807000.0,2,2,917.0,Aaron Tai
Bangsar Hill Park,Sale,1159000.0,3,4,1477.0,Klaven Law
Bangsar Hill Park,Sale,1159000.0,3,4,1434.0,Aaron Tai
Bangsar Hill Park,Sale,1159000.0,3,4,1435.0,Aaron Tai
Bangsar Hill Park,Sale,853000.0,2,2,978.0,Aaron Tai
Bangsar Hill Park,Sale,807000.0,2,2,917.0,Aaron Tai
Bangsar Hill Park,Sale,1159000.0,3,4,1478.0,Aaron Tai
Bangsar Hill Park,Sale,1180000.0,3,2,1407.0,Jasmine Tiaw
Bangsar Hill Park,Sale,820000.0,2,2,916.0,Joey Lim
Bangsar Hill Park,Sale,825000.0,2,2,916.0,Brian Poah
Bangsar Hill Park,Sale,1383000.0,3,4,1478.0,SUN TEOH
Bangsar Hill Park,Sale,835000.0,2,2,917.0,Sharon Tham
Bangsar Hill Park,Sale,6000000.0,7,5,7200.0,Lutfi .
Bangsar Hill Park,Sale,987000.0,2,2,917.0,SUN TEOH
Bangsar Hill Park,Sale,1233000.0,3,4,1435.0,SUN TEOH
Bangsar Hill Park,Sale,1282000.0,3,4,1372.0,SUN TEOH
Bangsar Hill Park,Sale,1056000.0,2,2,978.0,SUN TEOH
Bangsar Hill Park,Sale,1100000.0,3,4,1477.0,David Chooi
Bangsar Hill Park,Sale,826000.0,2,2,917.0,David Chooi
Bangsar Hill Park,Sale,1256000.0,4,4,1478.0,David Chooi
Bangsar Hill Park,Sale,830000.0,2,2,978.0,Noel Yee
Bangsar Hill Park,Sale,1180000.0,3,4,1435.0,Noel Yee
Bangsar Hill Park,Sale,1250000.0,3,4,1477.0,Noel Yee
Bangsar Hill Park,Sale,1200000.0,3,4,1407.0,Noel Yee
Bangsar Hill Park,Sale,780000.0,2,2,916.0,Noel Yee
Bangsar Hill Park,Sale,880000.0,2,2,991.0,SUN TEOH
Bangsar Hill Park,Sale,838000.0,2,2,916.0,Victor Lee
Bangsar Hill Park,Sale,807000.0,2,2,978.0,MARLYN MISIL
Bangsar Hill Park,Sale,835000.0,2,2,917.0,Ryon Chow
Bangsar Hill Park,Sale,835000.0,3,2,917.0,Dominic Chandran
Bangsar Hill Park,Sale,807000.0,2,2,916.0,Vong Nyee How
Bangsar Hill Park,Sale,874000.0,3,4,978.0,Derrick Lim
Bangsar Hill Park,Sale,1230000.0,4,4,1434.0,Derrick Lim
Bangsar Hill Park,Sale,1159000.0,3,3,1477.0,MARLYN MISIL
Bangsar Hill Park,Sale,1150000.0,3,4,1407.0,Ryon Chow
Bangsar Hill Park,Sale,835000.0,2,2,917.0,Ryon Chow
Bangsar Hill Park,Sale,1220000.0,3,3,1345.0,Derrick Lim
Bangsar Hill Park,Sale,835000.0,3,4,916.0,Derrick Lim
Bangsar Hill Park,Sale,920000.0,2,2,978.0,Ryon Chow
Bangsar Hill Park,Sale,890000.0,2,2,917.0,Jasmine Tiaw
Bangsar Hill Park,Sale,920000.0,2,2,978.0,Jasmine Tiaw
Bangsar Hill Park,Sale,1180000.0,3,4,1407.0,Ryon Chow
Bangsar Hill Park,Sale,925000.0,2,2,916.0,Ng Cong Jing
Bangsar Hill Park,Sale,835000.0,2,2,917.0,Aylex .
Bangsar Hill Park,Sale,877000.0,2,2,978.0,Ryon Chow
Bangsar Hill Park,Sale,1150000.0,3,4,1407.0,Ryon Chow
Residential Parcel 3,Sale,770000.0,3,2,865.0,Fai. NK
Residential Parcel 3,Rent,2200.0,3,2,930.0,Hata Teo
M3 Residency,Sale,520000.0,4,3,1092.0,Nick Yow
M3 Residency,Sale,470000.0,4,3,1092.0,Azmi Othman
