PropertyName,MeanSale,MedianSale,MeanRental,MedianRental,%toBreakEven,NSale,NRental,NError,URL
Bangsar Hill Park,1174200.0,835000.0,5000.0,5000.0,148.21841465583682,20,1,0,https://www.propertyguru.com.my/condo/bangsar-hill-park-16389
Residential Parcel 3,770000.0,770000.0,2200.0,2200.0,70.72135785007072,1,1,0,https://www.propertyguru.com.my/condo/residential-parcel-3-17441
M3 Residency,412250.0,435000.0,1305.0,1350.0,76.81802663024924,20,20,0,https://www.propertyguru.com.my/condo/m3-residency-4673
UNIO Residence,663900.0,646000.0,1850.0,2000.0,76.63305030193422,20,12,0,https://www.propertyguru.com.my/condo/unio-residence-9795
Pangsapuri Permai,226333.33333333334,190000.0,887.5,900.0,117.24856696195934,6,4,0,https://www.propertyguru.com.my/condo/pangsapuri-permai-16812
Establishment Bangsar (Menara Teguh Bangsar),644500.0,624000.0,2062.5,1900.0,75.36811373445036,4,20,0,https://www.propertyguru.com.my/condo/establishment-bangsar-menara-teguh-bangsar-15504
Sunway Velocity - Service Apartment,841300.0,836500.0,2540.0,2500.0,73.97631574275181,10,20,0,https://www.propertyguru.com.my/condo/sunway-velocity-service-apartment-14597
United Garden (Taman Lee Yan Lian),2300000.0,2300000.0,1000.0,1000.0,10.761945759793372,1,1,0,https://www.propertyguru.com.my/condo/united-garden-taman-lee-yan-lian-17165
Sri Harmonis Apartment,252000.0,250000.0,800.0,800.0,79.20792079207921,5,1,0,https://www.propertyguru.com.my/condo/sri-harmonis-apartment-2462
Apartment Pantai Indah Fasa 1,295750.0,282500.0,1000.0,1000.0,87.61938140716727,4,1,0,https://www.propertyguru.com.my/condo/apartment-pantai-indah-fasa-1-16832
Menara Bintang Goldhill,1192833.3333333333,919000.0,2550.0,2450.0,65.98864456630648,12,20,0,https://www.propertyguru.com.my/condo/menara-bintang-goldhill-14682
Arte Plus Jalan Ampang,502435.0,495000.0,1682.5,1600.0,80.00800080008001,20,20,0,https://www.propertyguru.com.my/condo/arte-plus-jalan-ampang-6650
Arte @ Kuchai Lama,806675.0,824000.0,2637.45,2700.0,81.10641161203499,20,20,0,https://www.propertyguru.com.my/condo/arte-kuchai-lama-6959
Pavilion Suites,2646818.1818181816,2455000.0,5751.727272727273,4500.0,45.371135891593234,22,22,0,https://www.propertyguru.com.my/condo/pavilion-suites-9735
Westside III,1313319.4,1335000.0,4589.4,4500.0,83.43530982311715,20,20,0,https://www.propertyguru.com.my/condo/westside-iii-9737
The Holmes Bandar Tun Razak,465999.95,470000.0,1509.4285714285713,1599.0,84.21108068253635,20,21,0,https://www.propertyguru.com.my/condo/the-holmes-bandar-tun-razak-9596
Casa Green @ Bukit Jalil,532599.85,527000.0,1713.45,1925.0,90.41463918687884,20,20,0,https://www.propertyguru.com.my/condo/casa-green-bukit-jalil-9632
EkoCheras Service Apartment,533569.9047619047,500000.0,2089.95,2000.0,99.00990099009901,21,20,0,https://www.propertyguru.com.my/condo/ekocheras-service-apartment-9662
Parc 3,665578.8947368421,650000.0,2138.0476190476193,2099.0,79.93145468392993,19,21,0,https://www.propertyguru.com.my/condo/parc-3-9654
Kenwingston Avenue @ Sungai Besi,455649.9,415000.0,1822.5,1750.0,104.37790767028511,20,20,0,https://www.propertyguru.com.my/condo/kenwingston-avenue-sungai-besi-9657
Residensi Rampai II,469800.0,480000.0,1577.3,1599.0,82.45668316831683,5,20,0,https://www.propertyguru.com.my/condo/residensi-rampai-ii-9686
Residensi Ampang Tengah 6 (‘AT 6’),3793250.0,3573000.0,12750.0,12750.0,88.32747254574323,20,2,0,https://www.propertyguru.com.my/condo/residensi-ampang-tengah-6-at-6-9697
Residensi Far East @ Kuchai Lama,598349.95,549999.5,2092.2,2199.5,98.98748872850011,20,20,0,https://www.propertyguru.com.my/condo/residensi-far-east-kuchai-lama-9702
"Tropicana The Residences, KLCC",2633850.0,1700000.0,4495.0,3500.0,50.96097845078626,20,20,0,https://www.propertyguru.com.my/condo/tropicana-the-residences-klcc-9710
"Ampang Puri, Ampang Hilir",3600000.0,3600000.0,4250.0,4250.0,29.22167216721672,1,2,0,https://www.propertyguru.com.my/condo/ampang-puri-ampang-hilir-8534
"Boulevard Serviced Apartment, Jalan Ipoh",483400.0,487500.0,1254.4,1225.0,62.1985275450622,20,20,0,https://www.propertyguru.com.my/condo/boulevard-serviced-apartment-jalan-ipoh-8561
"8 Kia Peng, KLCC",2702714.8,1530672.0,3662.5,3650.0,59.02409833946486,20,20,0,https://www.propertyguru.com.my/condo/8-kia-peng-klcc-8525
"Desa Satu, Kepong",156200.0,154000.0,628.5,600.0,96.43821525009643,20,20,0,https://www.propertyguru.com.my/condo/desa-satu-kepong-8621
"Enesta, Kepong",656000.0,595000.0,1109.9,1000.0,41.60079873533572,5,20,0,https://www.propertyguru.com.my/condo/enesta-kepong-8642
"Fortune Court, Kepong",288583.3333333333,260000.0,923.5714285714286,1050.0,99.96191926884995,12,14,0,https://www.propertyguru.com.my/condo/fortune-court-kepong-8657
"Kondo Rakyat, Pantai",213125.0,205000.0,750.0,750.0,90.55783627143202,8,1,0,https://www.propertyguru.com.my/condo/kondo-rakyat-pantai-8735
"Lexa Residence @ The Quartz, Wangsa Maju",514544.4,495000.0,1894.85,1899.5,94.98449844984498,20,20,0,https://www.propertyguru.com.my/condo/lexa-residence-the-quartz-wangsa-maju-8774
"Mutiara Apartment, Old Klang Road",240000.0,245000.0,910.0,900.0,90.92746009294807,11,3,0,https://www.propertyguru.com.my/condo/mutiara-apartment-old-klang-road-8819
"Peninsular Residence, Damansara Heights",349333.3333333333,296500.0,1250.0,1250.0,104.35276242632695,6,1,0,https://www.propertyguru.com.my/condo/peninsular-residence-damansara-heights-8882
"Pantai Permai, Pantai",233000.0,225000.0,1050.0,1050.0,115.51155115511551,6,2,0,https://www.propertyguru.com.my/condo/pantai-permai-pantai-8864
"Sky Residence @ Shamelin, Cheras",466300.0,467500.0,1724.95,1700.0,90.00900090009002,20,20,0,https://www.propertyguru.com.my/condo/sky-residence-shamelin-cheras-8978
"Taman LTAT, Bukit Jalil",265000.0,265000.0,1125.0,1125.0,105.08126284326546,2,2,0,https://www.propertyguru.com.my/condo/taman-ltat-bukit-jalil-9053
"The Gardens, Mid Valley City",531454.5454545454,488000.0,4552.625,4368.0,221.55494237948383,11,8,0,https://www.propertyguru.com.my/condo/the-gardens-mid-valley-city-9092
"The Ruma Residences, KLCC",2161999.8,1790000.0,5725.0,5000.0,69.14099231152164,20,20,0,https://www.propertyguru.com.my/condo/the-ruma-residences-klcc-9110
"UBN Apartment, KLCC",1625000.0,1625000.0,3437.5,2400.0,36.55750190403656,2,16,0,https://www.propertyguru.com.my/condo/ubn-apartment-klcc-9128
"Zen Suites @ ZetaPark, Setapak",314400.0,280000.0,1807.4,1799.5,159.07885431400283,20,20,0,https://www.propertyguru.com.my/condo/zen-suites-zetapark-setapak-9164
"ARIA Luxury Residence, KLCC",1636758.9523809524,1549999.0,4890.0,4250.0,67.86973398175108,21,20,0,https://www.propertyguru.com.my/condo/aria-luxury-residence-klcc-9176
"J.Dupion, Cheras",728944.3,675000.0,2269.75,2100.0,77.00770077007701,20,20,0,https://www.propertyguru.com.my/condo/j-dupion-cheras-9218
"Section 2, Wangsa Maju",248750.0,245000.0,911.1111111111111,900.0,90.92746009294807,8,9,0,https://www.propertyguru.com.my/condo/section-2-wangsa-maju-9242
"Sky Awani Residensi, Sentul",204400.0,204400.0,1317.5,1300.0,157.42768014570538,2,20,0,https://www.propertyguru.com.my/condo/sky-awani-residensi-sentul-9245
"Sri Ampang Hilir, Desa Pandan",419250.0,400000.0,1654.5454545454545,1700.0,105.1980198019802,20,11,0,https://www.propertyguru.com.my/condo/sri-ampang-hilir-desa-pandan-9254
"Sri TTDI, TTDI",840000.0,750000.0,2290.0,2300.0,75.9075907590759,5,5,0,https://www.propertyguru.com.my/condo/sri-ttdi-ttdi-9257
"Wangsa 9 Residency, Wangsa Maju",1434785.0,1500000.0,3365.0,2800.0,46.20462046204621,20,20,0,https://www.propertyguru.com.my/condo/wangsa-9-residency-wangsa-maju-9287
Platinum Teratai Residence,430340.0,438000.0,1587.35,1600.0,90.42000090420001,20,20,0,https://www.propertyguru.com.my/condo/platinum-teratai-residence-9756
The Nest Residence @ Genting Klang,502793.4,495000.0,1687.4,1625.0,81.25812581258126,20,20,0,https://www.propertyguru.com.my/condo/the-nest-residence-genting-klang-9772
GenKL,1035915.9,1021440.0,2804.75,3100.0,75.12205637857019,20,20,0,https://www.propertyguru.com.my/condo/genkl-9790
Residensi Sefina Mont Kiara,1101165.0,947700.0,4202.45,3700.0,96.63834379639295,20,20,0,https://www.propertyguru.com.my/condo/residensi-sefina-mont-kiara-9800
Kaleidoscope Residensi Setiawangsa,762105.2631578947,750000.0,2757.1428571428573,2800.0,92.40924092409242,20,7,1,https://www.propertyguru.com.my/condo/kaleidoscope-residensi-setiawangsa-9801
Adora,1976300.0,2000000.0,5240.0,4500.0,55.693069306930695,20,5,0,https://www.propertyguru.com.my/condo/adora-9818
Residensi Harmoni 2,801555.0,795500.0,2422.5,2350.0,73.12170563379405,20,20,0,https://www.propertyguru.com.my/condo/residensi-harmoni-2-9884
M-Suite @ Bandar Manjalara,392800.0,370000.0,1467.8,1525.0,102.02033716885202,10,20,0,https://www.propertyguru.com.my/condo/m-suite-bandar-manjalara-9949
Aurora Suites @ Bukit Jalil,433900.0,411500.0,1475.0,1500.0,90.22773480264188,10,20,0,https://www.propertyguru.com.my/condo/aurora-suites-bukit-jalil-9954
Taman Daya,493464.0,393999.5,793.3333333333334,800.0,50.25889677022382,14,3,0,https://www.propertyguru.com.my/condo/taman-daya-9966
Taman Mulia,1047500.0,1050000.0,1800.0,1800.0,42.43281471004243,6,1,0,https://www.propertyguru.com.my/condo/taman-mulia-12314
Taman Sri Ehsan Apartment,257000.0,260000.0,900.0,900.0,85.68164508758568,4,1,0,https://www.propertyguru.com.my/condo/taman-sri-ehsan-apartment-12485
Sri Jinjang Apartment (Pangsapuri Sri Jinjang),317950.0,330000.0,933.3333333333334,925.0,69.38193819381938,20,6,0,https://www.propertyguru.com.my/condo/sri-jinjang-apartment-pangsapuri-sri-jinjang-12480
Kampung Datuk Keramat,7483333.333333333,8200000.0,1300.0,1300.0,3.924172905095388,6,3,0,https://www.propertyguru.com.my/condo/kampung-datuk-keramat-12722
OG Court Pangsapuri Bukit Awansari,321800.0,292000.0,1311.0,1280.0,108.50400108504,20,9,0,https://www.propertyguru.com.my/condo/og-court-pangsapuri-bukit-awansari-12905
Pinnacle,616500.0,600000.0,2189.95,2250.0,92.82178217821782,20,20,0,https://www.propertyguru.com.my/condo/pinnacle-13072
M-Suites @ Embassy Row,670590.8,565000.0,2787.5,2175.0,95.28607728029439,15,4,0,https://www.propertyguru.com.my/condo/m-suites-embassy-row-13173
Damai Residence @ Sungai Besi,491236.8,505434.0,1814.85,1825.0,89.37520492632603,20,20,0,https://www.propertyguru.com.my/condo/damai-residence-sungai-besi-13181
Q SOVO,309500.0,309500.0,1400.0,1400.0,111.96596234744638,2,2,0,https://www.propertyguru.com.my/condo/q-sovo-13201
pelangi condominium,440384.6153846154,405000.0,1675.0,1700.0,103.89927881677056,13,4,0,https://www.propertyguru.com.my/condo/pelangi-condominium-13441
Bukit Prima Pelangi,1060818.1818181819,950000.0,2350.0,2350.0,61.229807191245435,11,1,0,https://www.propertyguru.com.my/condo/bukit-prima-pelangi-12191
The Lumayan Apartment,358550.0,360000.0,1350.0,1350.0,92.82178217821782,20,4,0,https://www.propertyguru.com.my/condo/the-lumayan-apartment-12210
Maxim Citylights,370889.5,355000.0,1489.9,1450.0,101.10165946172081,20,20,0,https://www.propertyguru.com.my/condo/maxim-citylights-12729
Desa Pandan Apartment,311400.0,300000.0,916.6666666666666,900.0,74.25742574257426,20,3,0,https://www.propertyguru.com.my/condo/desa-pandan-apartment-13189
Pangsa Murni Titiwangsa,350000.0,350000.0,1250.0,1250.0,88.40169731258841,1,1,0,https://www.propertyguru.com.my/condo/pangsa-murni-titiwangsa-13266
V Residence 3 @ Sunway Velocity,1079394.95,1057025.0,2660.0,2400.0,56.201074330370055,20,20,0,https://www.propertyguru.com.my/condo/v-residence-3-sunway-velocity-13418
Taman Setapak,678644.4,635000.0,2050.0,2050.0,79.90956575972557,20,2,0,https://www.propertyguru.com.my/condo/taman-setapak-13518
