PropertyName,Bedrooms,AuthornuniqueRent,AuthornuniqueSale,PricecountRent,PricecountSale,PricemeanRent,PricemeanSale,PricemedianRent,PricemedianSale,PricestdRent,PricestdSale,SqftmeanRent,SqftmeanSale,SqftstdRent,SqftstdSale,BreakEven
1 Desa Residence,4,2,2,2,2,5250.0,1415000.0,5250.0,1415000.0,353.5533905932738,49497.474683058324,2170.0,2141.0,42.42640687119285,1.4142135623730951,0.9183780568869608
1 Desa Residence,5,2,8,2,19,5000.0,1671578.9473684211,5000.0,1580000.0,707.1067811865476,326518.0471087614,2141.0,2324.0,1.4142135623730951,550.4430538716567,0.7833061787191377
1 Petaling,3,6,15,6,22,1375.0,349272.7272727273,1375.0,334500.0,160.4680653588121,58940.7950066617,1012.1666666666666,975.0,121.87274784243877,110.8787411458808,1.0174784294572956
1 Razak Mansion,3,6,16,7,34,1057.142857142857,300029.4117647059,1100.0,298000.0,53.45224838248488,10598.700017819921,843.8571428571429,802.5588235294117,43.94097772933057,9.497020829427564,0.9136819722240681
1 Sentul,3,12,29,32,92,1705.9375,527934.7826086957,1799.0,517500.0,228.32361548271078,57057.67360780351,1194.375,1209.1739130434783,130.59905399054696,132.71473238157557,0.8604773520830344
10 Mont Kiara (MK10),4,19,28,74,116,11045.945945945947,3251456.1379310344,11000.0,3259000.0,1322.4291874963453,347280.7057560935,3709.108108108108,3695.5172413793102,188.68757736312747,168.10651296172298,0.8354624968480279
10 Mont Kiara (MK10),5,8,16,22,74,11618.181818181818,3365351.378378378,11000.0,3300000.0,1671.5081196151557,299708.73082892946,3644.5454545454545,3753.6486486486488,164.52608051257755,160.30898524902923,0.8250825082508252
10 Mont Kiara (MK10),6,3,3,6,6,11500.0,3428199.6666666665,12000.0,3484600.0,774.5966692414834,99542.3455634167,3937.3333333333335,3667.6666666666665,236.51018300839965,0.5163977794943487,0.8524068844926161
100 Residency,4,3,11,4,13,3175.0,715615.3846153846,3200.0,750000.0,125.8305739211792,216648.53967564553,1629.75,1484.0,211.2681944827475,106.33908030446756,1.0561056105610562
100 Residency,5,2,2,2,3,3400.0,860000.0,3400.0,850000.0,141.4213562373095,17320.508075688773,1862.5,1825.0,53.033008588991066,0.0,0.9900990099009901
11 Mont Kiara,3,14,6,19,11,9489.473684210527,2771818.1818181816,8500.0,2300000.0,2877.4785908735576,883592.8721059058,2950.7368421052633,3251.0,631.0638145320138,928.5184973924859,0.9147653895824366
11 Mont Kiara,4,28,31,42,61,33933.59523809524,3103966.393442623,10000.0,2900000.0,152718.1500001435,642828.8802707214,3425.9523809523807,3514.0491803278687,592.2725951328597,649.6093037672593,0.8535336292249915
11 Mont Kiara,5,16,19,27,34,11622.222222222223,3438694.705882353,11000.0,3125000.0,1869.6633455360422,1115250.6414234268,3696.1481481481483,3757.823529411765,502.0470176957612,700.1886529590582,0.8712871287128713
11 Mont Kiara,6,4,7,5,11,12000.0,3832727.272727273,12500.0,3400000.0,1172.6039399558574,1165848.1111113138,4053.4,4332.0,442.83665159966154,1018.09636086178,0.9100174723354688
188 Suites (Fraser Residence),1,11,12,19,13,2689.4736842105262,1054769.2307692308,2700.0,1000000.0,172.0618004029214,187744.13166423864,1130.3684210526317,1190.923076923077,102.30358445241727,179.0993493094738,0.6683168316831684
188 Suites (Fraser Residence),2,11,15,22,20,3947.7727272727275,1534500.0,3808.0,1550000.0,443.7837237962807,314700.7768458293,1704.6521739130435,1641.55,261.4942392370245,359.60540874686524,0.6081124241456404
188 Suites (Fraser Residence),3,1,1,1,1,4500.0,1880000.0,4500.0,1880000.0,,,1718.0,1718.0,,,0.5924794607120287
188 Suites (Fraser Residence),Studio,6,9,6,11,2009.8333333333333,697272.7272727273,1999.5,650000.0,161.87701092702034,94455.37666971733,650.3333333333334,622.7272727272727,126.8537215325852,18.488325554743515,0.7614242193450114
