PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Pangsa Murni Titiwangsa,Sale,350000.0,3,2,809,Salim Mustam
Pangsa Murni Titiwangsa,Rent,1250.0,4,2,808,Amanda Wong
V Residence 3 @ Sunway Velocity,Sale,870000.0,2,2,915,Joshua Ong
V Residence 3 @ Sunway Velocity,Sale,800000.0,2,2,950,Joshua Ong
V Residence 3 @ Sunway Velocity,Sale,925000.0,2,2,1028,K.W. Loo (Weng)
V Residence 3 @ Sunway Velocity,Sale,1450000.0,4,2,1405,Wilson Tan
V Residence 3 @ Sunway Velocity,Sale,1030000.0,3,2,1221,Wilson Tan
V Residence 3 @ Sunway Velocity,Sale,1100000.0,2,2,970,Wilson Tan
V Residence 3 @ Sunway Velocity,Sale,980000.0,2,2,947,Samantha Lee
V Residence 3 @ Sunway Velocity,Sale,1250000.0,3,2,1221,Samantha Lee
V Residence 3 @ Sunway Velocity,Sale,750000.0,2,2,930,Allan Ho
V Residence 3 @ Sunway Velocity,Sale,1280000.0,3,2,1405,Celest Ng
V Residence 3 @ Sunway Velocity,Sale,1200000.0,3,2,1405,Celest Ng
V Residence 3 @ Sunway Velocity,Sale,1300000.0,3,2,1405,Celest Ng
V Residence 3 @ Sunway Velocity,Sale,1100000.0,3,2,1220,Luff Lee
V Residence 3 @ Sunway Velocity,Sale,1350000.0,3,2,1200,Luff Lee
V Residence 3 @ Sunway Velocity,Sale,650000.0,3,2,900,Kenny Liew
V Residence 3 @ Sunway Velocity,Sale,1630000.0,4,3,1884,Marwan Zaim
V Residence 3 @ Sunway Velocity,Sale,900000.0,2,2,915,Paul Po
V Residence 3 @ Sunway Velocity,Sale,870000.0,2,2,915,Rex Lim
V Residence 3 @ Sunway Velocity,Sale,1200000.0,3,2,1405,Andy Lua
V Residence 3 @ Sunway Velocity,Sale,1600000.0,4,3,1577,Andy Lua
V Residence 3 @ Sunway Velocity,Sale,1374999.0,4,3,2077,Nicholas Wong
V Residence 3 @ Sunway Velocity,Sale,1217000.0,3,2,1405,Nicholas Wong
V Residence 3 @ Sunway Velocity,Sale,850000.0,2,2,950,Eric Liew
V Residence 3 @ Sunway Velocity,Sale,850000.0,2,2,931,Jackueline Yeo
V Residence 3 @ Sunway Velocity,Sale,850000.0,2,2,947,Jackueline Yeo
V Residence 3 @ Sunway Velocity,Sale,850000.0,2,2,947,TWIS SY
V Residence 3 @ Sunway Velocity,Sale,920000.0,2,2,920,John Ooi
V Residence 3 @ Sunway Velocity,Sale,1600000.0,5,4,1884,Darren Lim
V Residence 3 @ Sunway Velocity,Sale,920000.0,2,2,915,H.K Ching
V Residence 3 @ Sunway Velocity,Sale,870000.0,2,2,915,Rex Lim
V Residence 3 @ Sunway Velocity,Sale,818000.0,2,2,947,Joshua Ong
V Residence 3 @ Sunway Velocity,Sale,850000.0,2,2,915,KINKI CHAN
V Residence 3 @ Sunway Velocity,Sale,920000.0,2,2,915,Franca Teh
V Residence 3 @ Sunway Velocity,Sale,788000.0,2,2,915,Joshua Ong
V Residence 3 @ Sunway Velocity,Sale,920000.0,2,2,913,Hugo Gooi
V Residence 3 @ Sunway Velocity,Sale,1150000.0,3,2,1200,David Lao
V Residence 3 @ Sunway Velocity,Sale,850000.0,2,2,950,Joshua Ong
V Residence 3 @ Sunway Velocity,Sale,449000.0,3,2,900,Kenny Liew
V Residence 3 @ Sunway Velocity,Sale,1700000.0,4,3,1900,Joshua Ong
V Residence 3 @ Sunway Velocity,Sale,480000.0,3,2,850,Chang Zi Xiang
V Residence 3 @ Sunway Velocity,Sale,850000.0,2,2,915,Joshua Ong
V Residence 3 @ Sunway Velocity,Sale,1057050.0,3,3,1884,Peter Yap
V Residence 3 @ Sunway Velocity,Sale,1057050.0,4,4,1884,Jason Tang
V Residence 3 @ Sunway Velocity,Sale,1600000.0,4,3,1884,Yap Chun Wei
V Residence 3 @ Sunway Velocity,Sale,1050000.0,4,3,1884,Yeong .
V Residence 3 @ Sunway Velocity,Sale,999999.0,2,2,947,Kimiaki Otsuka
V Residence 3 @ Sunway Velocity,Rent,2900.0,2,2,940,Samantha Lee
V Residence 3 @ Sunway Velocity,Rent,2000.0,2,2,947,Louis .
