PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Core Residence @ TRX,Sale,15300000.0,2,2,818,SUN TEOH
Core Residence @ TRX,Sale,1180000.0,1,1,625,Ryan Tan
Core Residence @ TRX,Sale,1200000.0,1,2,624,SUN TEOH
Core Residence @ TRX,Sale,1280000.0,1,1,624,Sean Tiew
Core Residence @ TRX,Sale,1540000.0,2,2,818,Sean Tiew
Core Residence @ TRX,Sale,2168888.0,3,2,925,Mike Eejay
Core Residence @ TRX,Sale,2222000.0,2,2,1012,Mike Eejay
Core Residence @ TRX,Sale,1688888.0,2,2,839,Mike Eejay
Core Residence @ TRX,Sale,1100000.0,1,1,624,Joshua Ong
Core Residence @ TRX,Sale,1290000.0,1,1,624,Kelvin Chia
Core Residence @ TRX,Sale,1305000.0,1,1,624,Darren Lim
Core Residence @ TRX,Sale,2075000.0,3,2,925,Darren Lim
Core Residence @ TRX,Sale,1845000.0,2,2,839,Darren Lim
Core Residence @ TRX,Sale,1920378.0,2,2,817,Austin Yong
Core Residence @ TRX,Sale,2286457.0,3,2,1021,Austin Yong
Core Residence @ TRX,Sale,1284000.0,1,1,688,Austin Yong
Core Residence @ TRX,Sale,2286457.0,3,2,1021,Austin Yong
Core Residence @ TRX,Sale,1200000.0,2,1,688,Austin Yong
Core Residence @ TRX,Sale,1950000.0,3,2,925,Austin Yong
Core Residence @ TRX,Sale,1638000.0,2,2,818,Darren Lim
Core Residence @ TRX,Sale,2100000.0,3,2,1022,Etto Chee
Core Residence @ TRX,Sale,1780000.0,3,2,925,Etto Chee
Core Residence @ TRX,Sale,1220000.0,1,1,624,Etto Chee
Core Residence @ TRX,Sale,1480000.0,2,2,818,Etto Chee
Core Residence @ TRX,Sale,1350000.0,1,1,689,Kelly Pang
Core Residence @ TRX,Sale,1800000.0,3,2,925,Ryan Tan
Core Residence @ TRX,Sale,1980000.0,3,2,1022,Ryan Tan
Core Residence @ TRX,Sale,1490000.0,2,1,689,Darren Lim
Core Residence @ TRX,Sale,1590000.0,2,2,839,Ryan Tan
Core Residence @ TRX,Sale,1300000.0,2,1,689,Ryan Tan
Core Residence @ TRX,Sale,1970000.0,2,2,995,Brian Poah
Core Residence @ TRX,Sale,1288888.0,1,1,624,Mike Eejay
Core Residence @ TRX,Sale,1100000.0,1,1,624,CK Lee
Core Residence @ TRX,Sale,2004796.0,3,2,925,Ang Siaw Li
Core Residence @ TRX,Sale,2113138.0,2,2,1012,Derrick Lim
Core Residence @ TRX,Sale,1130000.0,2,1,689,Derrick Lim
Core Residence @ TRX,Sale,1870000.0,2,2,925,Derrick Lim
Core Residence @ TRX,Sale,1641980.0,2,2,839,Derrick Lim
Core Residence @ TRX,Sale,1530000.0,2,2,818,Derrick Lim
Core Residence @ TRX,Sale,2100000.0,3,2,1022,Etto Chee
Core Residence @ TRX,Sale,1780000.0,3,2,925,Etto Chee
Core Residence @ TRX,Sale,1220000.0,1,1,624,Etto Chee
Core Residence @ TRX,Sale,1480000.0,2,2,818,Etto Chee
Core Residence @ TRX,Sale,1921000.0,2,2,1012,Courines Tan
Core Residence @ TRX,Sale,1680000.0,2,2,818,Courines Tan
Core Residence @ TRX,Sale,1300000.0,1,1,635,Courines Tan
Core Residence @ TRX,Sale,2115000.0,2,2,1012,Darren Lim
Core Residence @ TRX,Sale,2212000.0,2,2,1012,SUN TEOH
Core Residence @ TRX,Sale,1695523.0,2,2,839,SUN TEOH
Core Residence @ TRX,Sale,1130000.0,2,1,689,Derrick Lim
Core Residence @ TRX,Sale,1641980.0,2,2,839,Derrick Lim
Core Residence @ TRX,Sale,1530000.0,2,2,818,Derrick Lim
Core Residence @ TRX,Sale,1870000.0,2,2,925,Derrick Lim
Core Residence @ TRX,Sale,2113138.0,2,2,1012,Derrick Lim
Core Residence @ TRX,Sale,1680000.0,1,1,925,William Lee
Core Residence @ TRX,Sale,1150000.0,1,1,624,Daniel .
Core Residence @ TRX,Sale,1050000.0,1,1,624,Brian Poah
Core Residence @ TRX,Sale,1500000.0,2,2,818,LS Chu
Core Residence @ TRX,Sale,1200000.0,1,1,624,LS Chu
Core Residence @ TRX,Sale,1679150.0,2,2,818,Macy Hock
Core Residence @ TRX,Sale,2163126.0,3,2,1012,Macy Hock
Core Residence @ TRX,Sale,1050000.0,1,1,624,Theresa Chow
Core Residence @ TRX,Sale,1100000.0,1,1,624,CK Lee
Core Residence @ TRX,Sale,1442267.0,2,1,689,SUN TEOH
Core Residence @ TRX,Sale,1159000.0,1,1,624,Angela Low
Core Residence @ TRX,Sale,1688888.0,2,2,839,Mike Eejay
Core Residence @ TRX,Sale,1684149.0,2,2,818,SUN TEOH
Core Residence @ TRX,Sale,1540000.0,2,2,818,Lisa .
Core Residence @ TRX,Sale,1290000.0,1,1,624,Courines Tan
Core Residence @ TRX,Sale,1540000.0,2,2,818,Courines Tan
Core Residence @ TRX,Sale,1540000.0,2,2,818,Marcus .
Core Residence @ TRX,Sale,2271282.0,2,2,1012,Macy Hock
Core Residence @ TRX,Sale,1200000.0,1,1,624,Lisa .
Core Residence @ TRX,Sale,1530000.0,2,2,818,Janice Lye
Core Residence @ TRX,Sale,1300000.0,1,1,624,Jonathan Raj
Core Residence @ TRX,Sale,1345565.0,1,1,624,Macy Hock
Core Residence @ TRX,Sale,1200000.0,1,1,642,Francis Ngooi
Core Residence @ TRX,Sale,1049000.0,1,1,650,Sean Lim
Core Residence @ TRX,Sale,1100000.0,1,1,624,CK Lee
Core Residence @ TRX,Sale,1560000.0,2,2,839,Theresa Chow
Core Residence @ TRX,Sale,1288888.0,1,1,624,Mike Eejay
Core Residence @ TRX,Sale,1999999.0,2,2,1012,Mike Eejay
Core Residence @ TRX,Sale,1880000.0,3,3,1021,Angela Low
Core Residence @ TRX,Sale,1800000.0,2,2,955,Francis Ngooi
Core Residence @ TRX,Sale,1326886.0,2,1,689,Wallace Yap
Core Residence @ TRX,Sale,1247119.0,1,1,624,Wallace Yap
Core Residence @ TRX,Sale,2100000.0,3,2,1022,Carmen Chan
Core Residence @ TRX,Sale,1780000.0,3,2,925,Carmen Chan
Core Residence @ TRX,Sale,1220000.0,1,1,624,Carmen Chan
Core Residence @ TRX,Sale,1480000.0,2,2,818,Carmen Chan
Core Residence @ TRX,Sale,2215966.0,2,2,925,Kelly Pang
