PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Silverscape Residences,Sale,550000.0,3,3,1150,Shalyn Tan
Silverscape Residences,Sale,550000.0,3,2,1145,Shalyn Tan
Silverscape Residences,Sale,299000.0,Studio,Studio,515,Danny Kuah Kim Hai
Silverscape Residences,Sale,490000.0,2,2,767,Wesley Tan
Silverscape Residences,Sale,338000.0,Studio,Studio,515,Danny Kuah Kim Hai
Silverscape Residences,Sale,380000.0,Studio,Studio,506,BL Bong
Silverscape Residences,Sale,498000.0,2,2,766,NS Han
Silverscape Residences,Sale,698888.0,3,3,1145,Alvin Chan Kai Boon
Silverscape Residences,Sale,530000.0,2,2,766,NS Han
Silverscape Residences,Sale,250000.0,Studio,Studio,515,ken loh
Silverscape Residences,Sale,698000.0,3,2,1150,Kellyn Foo
Silverscape Residences,Sale,625000.0,Studio,Studio,1145,Shalyn Tan
Silverscape Residences,Sale,850000.0,3,3,1145,Kellyn Foo
Silverscape Residences,Sale,550000.0,2,2,767,Wesley Tan
Silverscape Residences,Sale,350000.0,1,1,515,BL Bong
Silverscape Residences,Rent,3300.0,3,3,1140,NS Han
Silverscape Residences,Rent,2300.0,2,2,766,NS Han
Silverscape Residences,Rent,2500.0,3,3,1033,Ms Woon
Silverscape Residences,Rent,1600.0,2,2,767,Sinclair Tan
Silverscape Residences,Rent,2500.0,3,2,1500,Shalyn Tan
Silverscape Residences,Rent,2500.0,Studio,Studio,1145,Shalyn Tan
Silverscape Residences,Rent,1500.0,2,2,767,Jordan Lee
Silverscape Residences,Rent,4800.0,4,3,1503,Wesley Tan
Silverscape Residences,Rent,2800.0,3,3,1145,Wesley Tan
Silverscape Residences,Rent,1800.0,2,2,750,Danny Kuah Kim Hai
Silverscape Residences,Rent,1900.0,2,2,766,Steve Wong
Silverscape Residences,Rent,1600.0,2,2,776,Kah Mun
Kiara Apartment,Rent,1200.0,3,2,998,Eddy Leow
Kota Laksamana Utama Apartment,Sale,128000.0,3,2,800,Jordan Lee
Kota Laksamana Utama Apartment,Sale,100000.0,3,2,800,Kellyn Foo
Kota Laksamana Utama Apartment,Sale,100000.0,3,2,744,Kellyn Foo
Kota Laksamana Utama Apartment,Sale,105000.0,3,2,832,Kellyn Foo
Kota Laksamana Utama Apartment,Sale,162000.0,3,2,744,Adeline Woon
Kota Laksamana Utama Apartment,Sale,138000.0,3,2,818,Yeong .
Kota Laksamana Utama Apartment,Sale,130000.0,3,2,800,Aiden Teo
Kota Laksamana Utama Apartment,Sale,145000.0,3,2,760,Ms Woon
Kota Laksamana Utama Apartment,Sale,128000.0,3,2,750,Bee .
Kota Laksamana Utama Apartment,Rent,600.0,3,2,800,Jordan Lee
Kota Laksamana Utama Apartment,Rent,1800.0,3,2,1540,Mathias Tan
Kota Laksamana Utama Apartment,Rent,850.0,3,2,732,Lawrance Lim
Kota Laksamana Utama Apartment,Rent,450.0,3,2,700,Ms. Chan
Pangsapuri Taman Cheng Ria,Sale,100000.0,3,2,861,Raymond Lim PW
Pangsapuri Taman Cheng Ria,Sale,178000.0,3,2,861,Fiona Woon
