PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Silverscape Residences,Sale,550000.0,3,3,1150,Shalyn Tan
Silverscape Residences,Sale,550000.0,3,2,1145,Shalyn Tan
Silverscape Residences,Sale,490000.0,2,2,767,Wesley Tan
Silverscape Residences,Sale,299000.0,Studio,Studio,515,Danny Kuah Kim Hai
Silverscape Residences,Sale,338000.0,Studio,Studio,515,Danny Kuah Kim Hai
Silverscape Residences,Sale,380000.0,Studio,Studio,506,BL Bong
Silverscape Residences,Sale,498000.0,2,2,766,NS Han
Silverscape Residences,Sale,698888.0,3,3,1145,Alvin Chan Kai Boon
Silverscape Residences,Sale,530000.0,2,2,766,NS Han
Silverscape Residences,Sale,250000.0,Studio,Studio,515,ken loh
Silverscape Residences,Sale,698000.0,3,2,1150,Kellyn Foo
Silverscape Residences,Sale,625000.0,Studio,Studio,1145,Shalyn Tan
Silverscape Residences,Sale,850000.0,3,3,1145,Kellyn Foo
Silverscape Residences,Sale,550000.0,2,2,767,Wesley Tan
Silverscape Residences,Rent,3300.0,3,3,1140,NS Han
Silverscape Residences,Rent,2300.0,2,2,766,NS Han
Silverscape Residences,Rent,2500.0,3,3,1033,Ms Woon
Silverscape Residences,Rent,1600.0,2,2,767,Sinclair Tan
Silverscape Residences,Rent,2500.0,3,2,1500,Shalyn Tan
Silverscape Residences,Rent,2500.0,Studio,Studio,1145,Shalyn Tan
Silverscape Residences,Rent,1500.0,2,2,767,Jordan Lee
Silverscape Residences,Rent,4800.0,4,3,1503,Wesley Tan
Silverscape Residences,Rent,2800.0,3,3,1145,Wesley Tan
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,170000.0,Studio,Studio,492,Shawn Teh
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,240000.0,2,2,722,Kellyn Foo
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,200000.0,1,1,583,Fakurazy Abu Bakar
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,180000.0,Studio,Studio,538,Jordan Lee
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,160000.0,Studio,Studio,492,Kellyn Foo
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,240000.0,Studio,Studio,492,Nazree Abdul Aziz
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,240000.0,Studio,Studio,539,Nazree Abdul Aziz
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,150000.0,1,1,527,P M Chan
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,189000.0,1,1,500,Mohd Redzuan
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,290000.0,2,2,722,Erin Baiduri
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,298000.0,2,2,722,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Sale,170000.0,Studio,Studio,492,Elson Tay
Tahiti Villa @ Bayou Lagoon Park Resort,Rent,1850.0,3,2,1000,Lee Thai Chung
Tahiti Villa @ Bayou Lagoon Park Resort,Rent,990.0,1,1,800,Mohd Redzuan
Tahiti Villa @ Bayou Lagoon Park Resort,Rent,1400.0,2,2,722,Lee Thai Chung
