PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
"Tamara, Putrajaya",Sale,630000.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Sale,529000.0,3,2,1205,Shamzjoe .
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Afiq Anuar
"Tamara, Putrajaya",Sale,529000.0,3,2,1205,Afiq Hazwan
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Ilman Nahri
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Rhugayah Yaya Yusof
"Tamara, Putrajaya",Sale,529000.0,3,2,1205,Rhugayah Yaya Yusof
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Azmi .
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Azraff Zulkapli
"Tamara, Putrajaya",Sale,629000.0,3,2,1200,Natalie Loke
"Tamara, Putrajaya",Sale,480000.0,4,4,2500,Connie Lim
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Arif Halim
"Tamara, Putrajaya",Sale,540000.0,3,2,1205,Natalie Loke
"Tamara, Putrajaya",Sale,750000.0,3,2,1280,Mazsheera .
"Tamara, Putrajaya",Sale,750000.0,3,2,1205,Saiful Wazir
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Azli Ibrahim
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Nazli Ambak
"Tamara, Putrajaya",Sale,750000.0,3,2,1280,Mazsheera .
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Afifi Sedzali
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Mohamad Faizal Haini
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Thoriq Suparman
"Tamara, Putrajaya",Sale,750000.0,3,2,1205,Muhd Fahmie
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Hasnul Hisham Nor Azlan
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Hafizee Ismail
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Nabeel Othman
"Tamara, Putrajaya",Sale,595000.0,3,2,1200,AMY HANZ
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Afifi Mohd Noor
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Afiq Anuar
"Tamara, Putrajaya",Sale,525000.0,3,2,1205,Haziq Shuib
"Tamara, Putrajaya",Sale,680000.0,3,2,1205,Nazree Abdul Aziz
"Tamara, Putrajaya",Sale,800000.0,3,2,1205,Nasrul Afiq Hamzah
"Tamara, Putrajaya",Sale,750000.0,3,2,1205,Ibrahim Halim
"Tamara, Putrajaya",Sale,530000.0,3,2,1206,Fasha Hamid
