PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
The Echelon,Sale,780000.0,3,2,1485,KON SIEW PING
The Echelon,Sale,620000.0,2,2,1076,Hunter Wee
Liberty Grove,Sale,460000.0,3,2,1065,Kevin Ton
Liberty Grove,Sale,450000.0,3,2,1065,Kenneth Wong
Liberty Grove,Rent,1200.0,Studio,Studio,1200,KON SIEW PING
Liberty Grove,Rent,1800.0,3,2,1098,Jimmy Yii
Tabuan Stutong Apartment,Sale,450000.0,3,2,1600,KON SIEW PING
Eden Heights Condominium (Kuching),Rent,1200.0,3,2,100,KON SIEW PING
Eden Heights Condominium (Kuching),Rent,1600.0,3,2,1200,KON SIEW PING
Eden Heights Condominium (Kuching),Rent,1400.0,3,2,1600,KON SIEW PING
Eden Heights Condominium (Kuching),Rent,1200.0,3,2,100,KON SIEW PING
Sapphire On The Park @ Kuching Paragon,Sale,580000.0,2,2,774,David Ling
Sapphire On The Park @ Kuching Paragon,Sale,550000.0,2,2,789,KON SIEW PING
Sapphire On The Park @ Kuching Paragon,Sale,1000000.0,4,4,1549,Hunter Wee
Sapphire On The Park @ Kuching Paragon,Rent,4000.0,4,4,1549,David Ling
Sapphire On The Park @ Kuching Paragon,Rent,1950.0,3,2,100,KON SIEW PING
Sapphire On The Park @ Kuching Paragon,Rent,1800.0,3,2,100,KON SIEW PING
Sapphire On The Park @ Kuching Paragon,Rent,2000.0,2,2,774,Anthony Hsu
Sapphire On The Park @ Kuching Paragon,Rent,1850.0,3,2,1300,Kevin Ton
Sapphire On The Park @ Kuching Paragon,Rent,2500.0,4,3,1549,Hunter Wee
Sapphire On The Park @ Kuching Paragon,Rent,3800.0,4,3,1549,Alice Kon
Jazz Suites @ Vivacity,Sale,680000.0,3,2,1004,David Ling
Jazz Suites @ Vivacity,Sale,800000.0,3,2,1222,Kenneth Wong
Jazz Suites @ Vivacity,Sale,727874.0,3,2,1004,KON SIEW PING
Jazz Suites @ Vivacity,Sale,908782.0,3,2,1222,KON SIEW PING
Jazz Suites @ Vivacity,Sale,600000.0,2,1,846,Clement Toh
Jazz Suites @ Vivacity,Sale,638000.0,2,1,846,Hunter Wee
Floridale Condominium,Rent,1200.0,3,2,1280,Hunter Wee
