PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Hyde Tower @ i-City,Sale,485000.0,2,2,725,Shamrich .
Hyde Tower @ i-City,Sale,395000.0,1,1,466,Jing Ren (JR)
Hyde Tower @ i-City,Sale,504000.0,2,2,837,Siti Sara
Hyde Tower @ i-City,Sale,390000.0,1,1,466,Faizah Md Amin
Hyde Tower @ i-City,Sale,515000.0,2,2,725,Vitas Tan
Hyde Tower @ i-City,Sale,516000.0,2,2,725,Vitas Tan
Hyde Tower @ i-City,Sale,515000.0,2,2,725,Vitas Tan
Hyde Tower @ i-City,Sale,520000.0,2,2,725,KH Chong
Hyde Tower @ i-City,Sale,515000.0,2,2,725,Sam Ong
Hyde Tower @ i-City,Sale,515000.0,2,2,725,Lucas Toh
Hyde Tower @ i-City,Sale,430000.0,1,1,486,Ganeshwaran .
Hyde Tower @ i-City,Sale,500000.0,2,2,725,Brandon N
Hyde Tower @ i-City,Sale,520000.0,2,2,725,Sonia Soh
Hyde Tower @ i-City,Sale,525000.0,2,2,725,Han .
Hyde Tower @ i-City,Sale,504000.0,2,2,837,Siti Sara
Hyde Tower @ i-City,Sale,390000.0,1,1,466,Belinda Ng
Hyde Tower @ i-City,Sale,409000.0,1,1,466,Sariza Hartanah
Hyde Tower @ i-City,Sale,460000.0,1,1,466,Mell Abdullah
Hyde Tower @ i-City,Sale,550000.0,2,1,663,Yap Chew Ying
Hyde Tower @ i-City,Sale,550000.0,2,1,663,Sonia Soh
Hyde Tower @ i-City,Sale,550000.0,2,1,663,Billy Chow
Hyde Tower @ i-City,Sale,370000.0,1,1,466,awie shariman
Hyde Tower @ i-City,Sale,470000.0,1,1,465,Jimmy Tan
Hyde Tower @ i-City,Sale,365000.0,1,1,466,Alex Tong
Hyde Tower @ i-City,Sale,430000.0,1,1,465,Azie Halim
Hyde Tower @ i-City,Sale,530000.0,1,1,837,AHMAD SYUKRI
Hyde Tower @ i-City,Sale,530000.0,1,1,837,AHMAD SYUKRI
Hyde Tower @ i-City,Rent,1500.0,Studio,Studio,466,Aaron Tan
Hyde Tower @ i-City,Rent,1700.0,2,1,688,Low Wei Chao
Hyde Tower @ i-City,Rent,2000.0,2,2,769,Ang Siaw Li
Hyde Tower @ i-City,Rent,1500.0,1,1,466,Jing Ren (JR)
Hyde Tower @ i-City,Rent,1200.0,1,1,466,Arylene Ang
Hyde Tower @ i-City,Rent,1500.0,1,1,466,Vitas Tan
Hyde Tower @ i-City,Rent,1500.0,1,1,466,Vitas Tan
Hyde Tower @ i-City,Rent,1500.0,1,1,466,Vitas Tan
Hyde Tower @ i-City,Rent,1800.0,2,2,769,Eric Poh
Hyde Tower @ i-City,Rent,1250.0,1,1,466,Arylene Ang
Hyde Tower @ i-City,Rent,1700.0,2,1,650,Aziz Zainal
Hyde Tower @ i-City,Rent,1700.0,2,1,650,Intan Hamzah
Hyde Tower @ i-City,Rent,1700.0,2,2,850,Serena Lim
Hyde Tower @ i-City,Rent,1700.0,2,1,614,Zarifi Bin Mohd Ederis
Hyde Tower @ i-City,Rent,1700.0,2,2,780,Arylene Ang
Hyde Tower @ i-City,Rent,1700.0,2,1,614,Tarmizie Ramlee
Hyde Tower @ i-City,Rent,1700.0,2,1,614,Afnan Hilman
Hyde Tower @ i-City,Rent,1200.0,1,1,500,JT Liew
Hyde Tower @ i-City,Rent,1250.0,1,1,466,Arylene Ang
Hyde Tower @ i-City,Rent,1300.0,2,1,566,Arylene Ang
Hyde Tower @ i-City,Rent,1250.0,1,1,466,May Lim
Hyde Tower @ i-City,Rent,1250.0,1,1,466,May Lim
Hyde Tower @ i-City,Rent,1300.0,2,1,566,Arylene Ang
Hyde Tower @ i-City,Rent,1700.0,2,2,780,Arylene Ang
Hyde Tower @ i-City,Rent,1250.0,1,1,466,May Lim
Hyde Tower @ i-City,Rent,1250.0,1,1,466,Tracy Chua
Hyde Tower @ i-City,Rent,1699.0,2,2,850,May Lim
