PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Titi Heights,Sale,680000.0,4,3,2500,Ai Hong Nah
Taman Titi Heights,Sale,570000.0,4,3,1400,Jia Yong
Taman Titi Heights,Sale,680000.0,4,3,2500,Alex Cheah
Taman Titi Heights,Sale,590000.0,4,3,1911,Aries Wong
Taman Titi Heights,Sale,590000.0,4,3,1911,Aries Wong
Taman Titi Heights,Sale,680000.0,4,3,2500,Alex Cheah
Taman Titi Heights,Sale,748000.0,4,4,2607,Jin Lim
Taman Titi Heights,Sale,680000.0,4,3,2507,SS Ong
Aston Heights,Sale,780000.0,5,5,2772,Jocelyn Neoh
Aston Heights,Sale,645000.0,5,5,2400,Leesa Cheah
Aston Heights,Sale,830000.0,6,4,2900,Jeff Koay
Aston Heights,Sale,650000.0,5,5,2480,Shirley Ong
Aston Heights,Sale,750000.0,6,6,3000,Allison Ang
Aston Heights,Sale,645000.0,5,5,1200,Lissa Ooi
Tanjung Villa,Sale,1280000.0,3,3,1850,Devlin Lim
Tanjung Villa,Sale,1300000.0,3,2,1852,Pei Hoon
Tanjung Villa,Sale,1300000.0,3,4,1851,Simon Ooi
Tanjung Villa,Sale,1300000.0,4,4,1861,Kenneth Kung
Tanjung Villa,Sale,1300000.0,4,4,1861,Kenneth Kung
Tanjung Villa,Sale,1300000.0,4,4,1861,Kenneth Kung
Tanjung Villa,Sale,1300000.0,3,4,1852,Chew SA
Tanjung Villa,Sale,1280000.0,3,4,2500,Fennie Seow
Tanjung Villa,Sale,1280000.0,3,4,1851,Alex Cheah
Tanjung Villa,Sale,1280000.0,3,4,1851,Sam Ooi
Tanjung Villa,Sale,1280000.0,3,4,1851,Jia Yong
Tanjung Villa,Sale,1450000.0,3,4,2400,Adrian Choo
Tanjung Villa,Sale,1300000.0,4,4,1871,Jeffrey Yeoh
Tanjung Villa,Sale,1280000.0,3,3,1851,Jia Yong
Tanjung Villa,Sale,1280000.0,3,4,1850,Max Ng
