PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
Taman Bukit Mas,Sale,1500000.0,8,5,4500,Jim Lee
Taman Gopeng,Sale,250000.0,3,2,990,Andrew Kan
Taman Gopeng,Sale,378000.0,4,4,1000,Nazriwani .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,270610.0,4,3,1400,Muhd Faizal
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198405.0,3,2,900,Muhd Faizal
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,3,800,Khairul Safuan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,1800,Atie Mohd Lotfie
Bandar Baru Setia Awan Perdana (BBSAP),Sale,122825.0,3,2,1916,Zinc Tsai
Bandar Baru Setia Awan Perdana (BBSAP),Sale,192000.0,3,2,900,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,240610.0,4,3,1060,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,188405.0,3,2,1060,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Mohamad Irwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,800,Zainab Abdul Rahman
Bandar Baru Setia Awan Perdana (BBSAP),Sale,200000.0,3,3,1540,Emily .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,200000.0,3,2,1302,Muhammad Hadzwan
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,880,Zulrizqhartanah .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,195000.0,3,2,1300,Zulrizqhartanah .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,300000.0,3,2,1571,Khairol Azizi
Bandar Baru Setia Awan Perdana (BBSAP),Sale,201000.0,3,2,1400,Norhasniza .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,240610.0,4,3,1903,Mohd Zulhilmi
Bandar Baru Setia Awan Perdana (BBSAP),Sale,201000.0,3,2,880,Farhan Bakar
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Farhana Md Yusof
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,1920,Shahrul Osman
Bandar Baru Setia Awan Perdana (BBSAP),Sale,240000.0,4,3,1400,Atikah Amirah
Bandar Baru Setia Awan Perdana (BBSAP),Sale,192000.0,3,2,900,Atikah Amirah
Bandar Baru Setia Awan Perdana (BBSAP),Sale,270000.0,4,3,1950,Faiz .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Faiz .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,880,Atie Mohd Lotfie
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,880,Adibah Salim
Bandar Baru Setia Awan Perdana (BBSAP),Sale,230000.0,4,3,1903,Adibah Salim
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,880,Nurul Naim Mohd Amil
Bandar Baru Setia Awan Perdana (BBSAP),Sale,270610.0,4,3,1540,Hasnizam .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Mohd Zulhilmi
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,880,Suryati Tohid
Bandar Baru Setia Awan Perdana (BBSAP),Sale,179800.0,3,2,1063,Ita .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,195000.0,3,2,900,Monny Ee
Bandar Baru Setia Awan Perdana (BBSAP),Sale,215000.0,3,2,1200,Kok Beng Hui
Bandar Baru Setia Awan Perdana (BBSAP),Sale,190000.0,3,2,1400,FARIS AZIZ
Bandar Baru Setia Awan Perdana (BBSAP),Sale,145800.0,3,1,920,Emily .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,145000.0,3,2,920,Chai .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,190000.0,3,2,900,Farhan Bakar
Bandar Baru Setia Awan Perdana (BBSAP),Sale,185000.0,3,2,900,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Sale,203000.0,3,2,900,Nurul Naim Mohd Amil
Bandar Baru Setia Awan Perdana (BBSAP),Sale,240000.0,4,3,1400,Atikah Amirah
Bandar Baru Setia Awan Perdana (BBSAP),Sale,192000.0,3,2,900,Atikah Amirah
Bandar Baru Setia Awan Perdana (BBSAP),Sale,270000.0,4,3,1950,Faiz .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Faiz .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,880,Atie Mohd Lotfie
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,880,Adibah Salim
Bandar Baru Setia Awan Perdana (BBSAP),Sale,230000.0,4,3,1903,Adibah Salim
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,880,Nurul Naim Mohd Amil
Bandar Baru Setia Awan Perdana (BBSAP),Sale,270610.0,4,3,1540,Hasnizam .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,198000.0,3,2,800,Mohd Zulhilmi
Bandar Baru Setia Awan Perdana (BBSAP),Sale,228000.0,3,2,880,Suryati Tohid
Bandar Baru Setia Awan Perdana (BBSAP),Sale,179800.0,3,2,1063,Ita .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,195000.0,3,2,900,Monny Ee
Bandar Baru Setia Awan Perdana (BBSAP),Sale,215000.0,3,2,1200,Kok Beng Hui
Bandar Baru Setia Awan Perdana (BBSAP),Sale,190000.0,3,2,1400,FARIS AZIZ
Bandar Baru Setia Awan Perdana (BBSAP),Sale,145800.0,3,1,920,Emily .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,145000.0,3,2,920,Chai .
Bandar Baru Setia Awan Perdana (BBSAP),Sale,190000.0,3,2,900,Farhan Bakar
Bandar Baru Setia Awan Perdana (BBSAP),Sale,185000.0,3,2,900,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Sale,203000.0,3,2,900,Nurul Naim Mohd Amil
Bandar Baru Setia Awan Perdana (BBSAP),Rent,650.0,3,2,880,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Rent,500.0,3,2,900,Muinuddin Muhamad
Bandar Baru Setia Awan Perdana (BBSAP),Rent,700.0,3,2,1920,Fazura Abu
Bandar Universiti Seri Iskandar @ Ceria,Sale,212000.0,3,2,900,Khairul Safuan
Bandar Universiti Seri Iskandar @ Ceria,Sale,300000.0,4,3,1496,Anis Anuar
Bandar Universiti Seri Iskandar @ Ceria,Sale,175000.0,3,2,1000,Anis Anuar
Bandar Universiti Seri Iskandar @ Ceria,Sale,410000.0,4,3,3347,Kinki Lee
Bandar Universiti Seri Iskandar @ Ceria,Sale,675000.0,4,4,2000,Khairol Azizi
Bandar Universiti Seri Iskandar @ Ceria,Sale,265000.0,4,2,1560,Hamsiah Zaini
Bandar Universiti Seri Iskandar @ Ceria,Sale,225000.0,4,2,1080,Dominic Leo
Residensi Tapah,Sale,199000.0,3,2,920,Mohd Adryzam Zamree
Residensi Tapah,Sale,169000.0,3,2,1000,Nurul Property
Taman Pakatan Jaya,Sale,280000.0,4,2,1080,Sharon Poh
Taman Pakatan Jaya,Sale,292000.0,4,3,1200,Kinki Lee
Taman Pakatan Jaya,Sale,256500.0,4,4,1080,Jason Tang
Taman Pakatan Jaya,Rent,1500.0,3,3,1300,Christine Lee
Taman Pakatan Jaya,Rent,1500.0,3,3,950,Canny Chong
Taman Pakatan Jaya,Rent,1500.0,3,3,1200,Kingsley Wong
Taman Pakatan Jaya,Rent,1500.0,3,3,1400,Christine Lee
Taman Pakatan Jaya,Rent,1500.0,3,3,1100,Andrew Kan
Taman Pakatan Jaya,Rent,1600.0,3,3,1600,Queennie Soo
Taman Pakatan Jaya,Rent,1500.0,3,3,1200,Alan Leong
Taman Pakatan Jaya,Rent,1500.0,4,3,1400,Angielina Chooi
Taman Pakatan Jaya,Rent,1300.0,4,3,1500,Caryn Tang
