PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author
SL2,Sale,830000.0,4,3,2300,Shanny Tan
SL2,Sale,700000.0,4,3,1870,Roy Lai
SL2,Sale,850000.0,4,3,2000,Regina Ng
SL2,Rent,2500.0,4,3,1800,Charisse Ng
SL2,Rent,2100.0,4,3,1650,Demi How
SL2,Rent,3000.0,4,3,2100,Andrew Chong
SL2,Rent,3000.0,4,3,1650,Jacker Sin
SL2,Rent,3000.0,4,3,1600,Jacker Sin
SL2,Rent,3000.0,4,3,2000,Beh Ing Xhen
SL2,Rent,2000.0,4,3,1650,Demi How
SL2,Rent,2500.0,4,3,1800,Nick Wong
M-Residence,Sale,440000.0,4,3,1650,Levin Khoo
M-Residence,Sale,738000.0,4,3,4000,Kemp Lee
M-Residence,Sale,364000.0,4,3,1300,Jason Lim
M-Residence,Sale,650000.0,5,4,1600,Remus Chen
M-Residence,Sale,899000.0,4,4,2800,Marwan Zaim
M-Residence,Sale,575000.0,4,4,2003,David Lim
M-Residence,Sale,648000.0,4,3,1650,Levin Khoo
Aster Grove 2,Sale,1150000.0,4,4,2734,Aliff Ashraf
Aster Grove 2,Sale,1150000.0,4,4,2734,Habib Rehmen
Aster Grove 2,Sale,1150000.0,4,4,2734,Nuriana Aqli
Aster Grove 2,Sale,1150000.0,4,4,2734,Kamsiah Ahmad
Aster Grove 2,Sale,1150000.0,4,4,2734,Zul Hasif
Aster Grove 2,Sale,1150000.0,4,4,2734,Nor Ikhwan
Aster Grove 2,Sale,1550000.0,7,7,4654,Mohd Ikhwan Arbain
Aster Grove 2,Sale,1250000.0,5,4,3832,Zul Alfy
Aster Grove 2,Sale,1550000.0,5,5,4436,Zul Alfy
Aster Grove 2,Sale,950000.0,4,3,2734,Aizat Saifulrullah
Aster Grove 2,Sale,1150000.0,4,4,2372,Eda Zainal
Aster Grove 2,Sale,1200000.0,4,4,2734,Zul Hasif
Aster Grove 2,Sale,1200000.0,4,4,2734,HAIRUL HAFIZ
Sunstone Villa,Sale,1080000.0,6,4,3040,Dlynie Ooi
Sunstone Villa,Sale,968000.0,6,4,3500,Charisse Ng
Sunstone Villa,Sale,1068000.0,6,4,3040,Charisse Ng
Sunstone Villa,Sale,960000.0,6,4,3900,Shawn Paw
Sunstone Villa,Sale,1880000.0,6,6,4267,Kim Loh
Sunstone Villa,Sale,957999.0,6,4,3039,Alson Loh
Sunstone Villa,Sale,968000.0,6,4,3040,Aivan Ng
Sunstone Villa,Sale,968000.0,6,4,3040,Nick Wong
Sunstone Villa,Sale,1068000.0,6,4,3040,Stacy Young
Sunstone Villa,Sale,998000.0,6,4,3040,Stacy Young
Sunstone Villa,Sale,1080000.0,6,4,3040,Stacy Young
Sunstone Villa,Sale,1080000.0,6,4,3040,Meis Chua
Sunstone Villa,Sale,1068000.0,6,4,3040,Tey Beng Keat
Sunstone Villa,Sale,959000.0,6,4,3040,Boey .
Sunstone Villa,Sale,1080000.0,6,4,3039,Kris Tan
Sunstone Villa,Sale,1000000.0,6,4,3039,Cassey Yong
Sunstone Villa,Sale,1070000.0,7,4,3040,Hugo Gooi
Sunstone Villa,Sale,1080000.0,7,4,3040,Yeow Li Siew
Sunstone Villa,Sale,1080000.0,6,4,3040,Dlynie Ooi
Sunstone Villa,Sale,938000.0,6,4,3040,Patrick Oon
Sunstone Villa,Sale,998000.0,6,4,3040,Patrick Oon
Sunstone Villa,Sale,968000.0,6,4,3040,Hei Kar Jun
Sunstone Villa,Sale,1680000.0,6,4,3039,Hei Kar Jun
Sunstone Villa,Sale,1500000.0,6,4,2800,Hei Kar Jun
Sunstone Villa,Sale,1068000.0,6,4,3900,Hei Kar Jun
Sunstone Villa,Sale,968000.0,6,4,3040,Vivian Chang
Sunstone Villa,Sale,1068000.0,6,4,3040,Meis Chua
Sunstone Villa,Sale,1068000.0,6,4,3040,Nick Wong
Sunstone Villa,Sale,1068000.0,6,4,3040,William .
Sunstone Villa,Sale,938000.0,6,4,3040,Lam Keegan
Sunstone Villa,Sale,870000.0,6,4,3900,David Lee
Sunstone Villa,Sale,950000.0,6,4,3900,David Lee
Sunstone Villa,Sale,1500000.0,5,4,2850,David Lee
Sunstone Villa,Sale,1500000.0,6,4,3900,David Lee
Sunstone Villa,Sale,950000.0,6,4,3180,David Lee
Sunstone Villa,Sale,1680000.0,6,4,3900,David Lee
Sunstone Villa,Sale,918000.0,6,4,3039,David Lee
Sunstone Villa,Sale,1499000.0,6,4,3040,Ken Lew
Sunstone Villa,Sale,940000.0,6,4,3040,Vincent Liew
Sunstone Villa,Sale,928000.0,6,4,3040,Farid Shamsuddin
Sunstone Villa,Sale,1030000.0,6,4,3040,Vincent Liew
Sunstone Villa,Sale,1060000.0,8,4,3000,TRON WAN
Sunstone Villa,Sale,1499000.0,6,4,3200,Kris Tan
Sunstone Villa,Sale,1030000.0,6,4,3040,Lam Keegan
Sunstone Villa,Sale,1499000.0,6,4,3039,Meis Chua
Sunstone Villa,Sale,940000.0,6,4,3040,Trevor Chai
Sunstone Villa,Sale,1100000.0,4,4,3040,Trevor Chai
Sunstone Villa,Sale,1680000.0,5,4,3835,Hugo Gooi
Sunstone Villa,Sale,1100000.0,6,4,3040,Trevor Chai
Sunstone Villa,Sale,1080000.0,7,3,3039,Jovin Lim
Sunstone Villa,Sale,1070000.0,8,4,3040,Jason Loo
Sunstone Villa,Sale,1068000.0,6,4,3040,Trevor Chai
Taman Koperasi Polis,Sale,470000.0,2,2,1200,Han Kamaruddin
Taman Koperasi Polis,Sale,415000.0,4,2,880,Khairul Aswad
Taman Koperasi Polis,Sale,540000.0,4,3,1300,Hasfarizal Bin Abdul Halim
Taman Koperasi Polis,Sale,470000.0,2,2,1200,Azwan Zahri
Taman Koperasi Polis,Sale,470000.0,2,2,800,Anas Ashaari
Taman Koperasi Polis,Sale,470000.0,2,2,1200,Siti Adilah Aziz
Taman Koperasi Polis,Sale,540000.0,4,3,882,Hasnol Hafiz
Taman Koperasi Polis,Sale,390000.0,4,3,880,Khairul Safuan
