PropertyName,MedianSale,MeanSale,StdSale,NSale,EOLSale,MOLSale,MedianRental,MeanRental,StdRental,NRental,EOLRent,MOLRent,NNaN,%toBreakEven,URL
Bangsar Hill Park,880000.0,1075283.0188679246,704349.0605840286,53,1.0,0.0,5000.0,5000.0,0.0,1,1.0,0.0,0,140.63906390639065,https://www.propertyguru.com.my/condo/bangsar-hill-park-16389
Residential Parcel 3,770000.0,770000.0,0.0,1,1.0,0.0,2200.0,2200.0,0.0,1,1.0,0.0,0,70.72135785007072,https://www.propertyguru.com.my/condo/residential-parcel-3-17441
M3 Residency,394944.0,393258.4347826087,63401.64794719187,46,0.0,0.0,1300.0,1318.2926829268292,333.0853727743333,41,6.0,2.0,0,81.47539352865768,https://www.propertyguru.com.my/condo/m3-residency-4673
UNIO Residence,646000.0,666318.1818181818,113927.5632558754,22,0.0,0.0,2200.0,1900.0,512.5101625008685,15,0.0,0.0,0,84.29635533212765,https://www.propertyguru.com.my/condo/unio-residence-9795
Pangsapuri Permai,190000.0,226333.33333333334,70573.05119913376,6,1.0,0.0,900.0,887.5,64.9519052838329,4,0.0,0.0,0,117.24856696195934,https://www.propertyguru.com.my/condo/pangsapuri-permai-16812
Establishment Bangsar (Menara Teguh Bangsar),624000.0,644500.0,63566.89389926175,4,0.0,0.0,1950.0,2076.829268292683,363.435095184353,41,0.0,0.0,0,77.35148514851485,https://www.propertyguru.com.my/condo/establishment-bangsar-menara-teguh-bangsar-15504
Sunway Velocity - Service Apartment,836500.0,841300.0,273973.0096195609,10,4.0,0.0,2500.0,2551.8518518518517,683.8726166691455,27,1.0,1.0,0,73.97631574275181,https://www.propertyguru.com.my/condo/sunway-velocity-service-apartment-14597
United Garden (Taman Lee Yan Lian),2300000.0,2300000.0,0.0,1,1.0,0.0,1000.0,1000.0,0.0,1,1.0,0.0,0,10.761945759793372,https://www.propertyguru.com.my/condo/united-garden-taman-lee-yan-lian-17165
Sri Harmonis Apartment,250000.0,252000.0,4000.0,5,5.0,0.0,800.0,800.0,0.0,1,1.0,0.0,0,79.20792079207921,https://www.propertyguru.com.my/condo/sri-harmonis-apartment-2462
Apartment Pantai Indah Fasa 1,282500.0,295750.0,33078.50510527947,4,0.0,0.0,1000.0,1000.0,0.0,1,1.0,0.0,0,87.61938140716727,https://www.propertyguru.com.my/condo/apartment-pantai-indah-fasa-1-16832
Menara Bintang Goldhill,919000.0,1192833.3333333333,661175.1953067272,12,2.0,0.0,2400.0,2575.609756097561,321.41492657742236,41,1.0,3.0,0,64.64193753434104,https://www.propertyguru.com.my/condo/menara-bintang-goldhill-14682
Bangunan Sri Layang,290000.0,290000.0,0.0,1,1.0,0.0,,,,0,,,0,,https://www.propertyguru.com.my/condo/bangunan-sri-layang-16450
Arte Plus Jalan Ampang,500000.0,3313965.583941606,32729737.485125016,137,1.0,5.0,1600.0,1718.125,359.47123097229786,184,2.0,4.0,0,79.20792079207921,https://www.propertyguru.com.my/condo/arte-plus-jalan-ampang-6650
Arte @ Kuchai Lama,820000.0,797630.0,101354.36892408734,50,0.0,1.0,2700.0,2589.8854166666665,542.815573917446,96,4.0,4.0,0,81.50205264428882,https://www.propertyguru.com.my/condo/arte-kuchai-lama-6959
Pavilion Suites,2470000.0,4526690.063492063,8935681.71302927,126,5.0,0.0,4600.0,5705.698529411765,2384.998448698019,272,11.0,46.0,0,46.09772718162505,https://www.propertyguru.com.my/condo/pavilion-suites-9735
Westside III,1350000.0,1379690.955357143,227971.6037608079,112,0.0,4.0,4000.0,4205.046979865771,857.1843272874596,149,0.0,4.0,0,73.34066740007333,https://www.propertyguru.com.my/condo/westside-iii-9737
The Holmes Bandar Tun Razak,470000.0,470838.6935483871,26059.587046209894,62,0.0,0.0,1599.0,1577.2767857142858,333.74196645819455,112,0.0,7.0,0,84.21108068253635,https://www.propertyguru.com.my/condo/the-holmes-bandar-tun-razak-9596
Casa Green @ Bukit Jalil,530000.0,528981.4166666666,27192.463976435134,60,0.0,1.0,1600.0,1592.9604519774011,412.6341228496605,177,0.0,19.0,0,74.72445357743321,https://www.propertyguru.com.my/condo/casa-green-bukit-jalil-9632
EkoCheras Service Apartment,520000.0,577177.3072625698,151851.2799706201,179,0.0,0.0,2000.0,2122.2190812720846,432.5205541265202,566,3.0,7.0,0,95.2018278750952,https://www.propertyguru.com.my/condo/ekocheras-service-apartment-9662
Parc 3,720000.0,693849.2621359223,176486.9712822116,103,0.0,1.0,2200.0,2246.6768617021276,399.3389292594274,752,2.0,11.0,0,75.63256325632564,https://www.propertyguru.com.my/condo/parc-3-9654
Kenwingston Avenue @ Sungai Besi,468000.0,499893.57446808513,94077.70415103443,47,0.0,0.0,1625.0,1685.8676470588234,292.9523352321894,136,0.0,0.0,0,85.94609460946094,https://www.propertyguru.com.my/condo/kenwingston-avenue-sungai-besi-9657
Residensi Rampai II,480000.0,472250.0,25596.630637644477,4,0.0,0.0,1525.0,1575.5142857142857,181.43615507209952,70,0.0,0.0,0,78.64067656765677,https://www.propertyguru.com.my/condo/residensi-rampai-ii-9686
Residensi Ampang Tengah 6 (‘AT 6’),3573000.0,3848977.777777778,381255.90641043126,45,0.0,0.0,12750.0,12750.0,2250.0,2,2.0,0.0,0,88.32747254574323,https://www.propertyguru.com.my/condo/residensi-ampang-tengah-6-at-6-9697
Residensi Far East @ Kuchai Lama,549999.0,599827.551724138,132595.08463183386,29,0.0,0.0,1850.0,1786.4093959731545,595.6417047593532,298,0.0,34.0,0,83.25847721163274,https://www.propertyguru.com.my/condo/residensi-far-east-kuchai-lama-9702
"Tropicana The Residences, KLCC",2500000.0,3134531.8936170214,2086426.1613153524,47,1.0,5.0,3500.0,4300.574712643678,1622.728195398773,87,0.0,6.0,0,34.65346534653466,https://www.propertyguru.com.my/condo/tropicana-the-residences-klcc-9710
"Ampang Puri, Ampang Hilir",3600000.0,3600000.0,0.0,1,1.0,0.0,4250.0,4250.0,250.0,2,2.0,0.0,0,29.22167216721672,https://www.propertyguru.com.my/condo/ampang-puri-ampang-hilir-8534
"Boulevard Serviced Apartment, Jalan Ipoh",492500.0,490863.63636363635,67098.8385311654,44,0.0,1.0,1300.0,1293.6491228070176,97.0533387854636,57,1.0,3.0,0,65.33648288686737,https://www.propertyguru.com.my/condo/boulevard-serviced-apartment-jalan-ipoh-8561
"8 Kia Peng, KLCC",1523520.0,2104051.8863636362,3184474.7078780956,44,1.0,1.0,3550.0,3634.090909090909,325.222428653335,22,0.0,0.0,0,57.676490711453,https://www.propertyguru.com.my/condo/8-kia-peng-klcc-8525
"Boulevard Business Park, Kuala Lumpur",,,,0,,,1700.0,1700.0,300.0,2,2.0,0.0,0,,https://www.propertyguru.com.my/condo/boulevard-business-park-kuala-lumpur-8558
"Desa Satu, Kepong",149000.0,149635.0701754386,16421.118781318255,57,0.0,3.0,600.0,618.6111111111111,72.34764749986991,36,2.0,1.0,0,99.67439696989834,https://www.propertyguru.com.my/condo/desa-satu-kepong-8621
"Enesta, Kepong",595000.0,656000.0,76173.48620090852,5,0.0,0.0,1224.5,1236.0657894736842,220.24963919716643,76,0.0,0.0,0,50.94017805141859,https://www.propertyguru.com.my/condo/enesta-kepong-8642
"Fortune Court, Kepong",260000.0,288583.3333333333,83444.0514489932,12,1.0,1.0,1100.0,1043.6363636363637,90.17888558281632,11,0.0,1.0,0,104.72201066260472,https://www.propertyguru.com.my/condo/fortune-court-kepong-8657
"Kondo Rakyat, Pantai",205000.0,208333.33333333334,17950.549357115015,9,0.0,1.0,750.0,750.0,0.0,1,1.0,0.0,0,90.55783627143202,https://www.propertyguru.com.my/condo/kondo-rakyat-pantai-8735
"Lexa Residence @ The Quartz, Wangsa Maju",520000.0,528979.0891089109,109420.30005063175,101,1.0,0.0,1900.0,1948.71875,449.11368046606066,96,0.0,3.0,0,90.44173648134044,https://www.propertyguru.com.my/condo/lexa-residence-the-quartz-wangsa-maju-8774
