PropertyName,MeanSale,MedianSale,MeanRental,MedianRental,%toBreakEven,NSale,NRental,NError,URL
Bangsar Hill Park,942500.0,877000.0,5000.0,5000.0,141.12015534506702,20,1,0,https://www.propertyguru.com.my/condo/bangsar-hill-park-16389
Residential Parcel 3,770000.0,770000.0,2200.0,2200.0,70.72135785007072,1,1,0,https://www.propertyguru.com.my/condo/residential-parcel-3-17441
M3 Residency,381750.0,337500.0,1202.5,1300.0,95.34286762009535,20,20,0,https://www.propertyguru.com.my/condo/m3-residency-4673
Pangsapuri Permai,187600.0,190000.0,950.0,900.0,117.24856696195934,5,4,0,https://www.propertyguru.com.my/condo/pangsapuri-permai-16812
Park Tower,749900.0,749900.0,2500.0,2500.0,82.51925339220146,1,1,0,https://www.propertyguru.com.my/condo/park-tower-15328
Establishment Bangsar (Menara Teguh Bangsar),671197.3333333334,738888.0,2067.5,2000.0,66.99926172173524,9,20,0,https://www.propertyguru.com.my/condo/establishment-bangsar-menara-teguh-bangsar-15504
Sunway Velocity - Service Apartment,935900.0,874500.0,2420.0,2200.0,62.27037798119434,10,20,0,https://www.propertyguru.com.my/condo/sunway-velocity-service-apartment-14597
Apartment Pantai Indah Fasa 1,324875.0,350000.0,1050.0,1050.0,74.25742574257426,8,2,0,https://www.propertyguru.com.my/condo/apartment-pantai-indah-fasa-1-16832
Menara Bintang Goldhill,1031066.6666666666,919000.0,2660.0,2600.0,70.02876566220279,12,20,0,https://www.propertyguru.com.my/condo/menara-bintang-goldhill-14682
Arte Plus Jalan Ampang,551800.0,554000.0,1662.5,1600.0,71.4872931336455,20,20,0,https://www.propertyguru.com.my/condo/arte-plus-jalan-ampang-6650
Arte @ Kuchai Lama,807900.0,830000.0,2754.95,2700.0,80.52010020279137,20,20,0,https://www.propertyguru.com.my/condo/arte-kuchai-lama-6959
Pavilion Suites,2392725.0,2300000.0,5743.181818181818,4600.0,49.504950495049506,22,22,0,https://www.propertyguru.com.my/condo/pavilion-suites-9735
Westside III,1353999.95,1335000.0,4410.0,4350.0,80.65413282901324,20,20,0,https://www.propertyguru.com.my/condo/westside-iii-9737
The Holmes Bandar Tun Razak,468400.0,470000.0,1399.0,1400.0,73.73077733305246,20,20,0,https://www.propertyguru.com.my/condo/the-holmes-bandar-tun-razak-9596
Casa Green @ Bukit Jalil,529449.9,522500.0,1494.35,1574.5,74.58903785115353,20,20,0,https://www.propertyguru.com.my/condo/casa-green-bukit-jalil-9632
EkoCheras Service Apartment,606939.7,530000.0,2074.9,1950.0,91.07042779749672,20,20,0,https://www.propertyguru.com.my/condo/ekocheras-service-apartment-9662
Parc 3,673473.6842105263,625000.0,2425.0,2550.0,100.99009900990099,19,20,0,https://www.propertyguru.com.my/condo/parc-3-9654
Kenwingston Avenue @ Sungai Besi,526650.0,540000.0,1689.8,1699.5,77.90154015401541,20,20,0,https://www.propertyguru.com.my/condo/kenwingston-avenue-sungai-besi-9657
Residensi Rampai II,448571.4285714286,450000.0,1654.95,1700.0,93.5093509350935,7,20,0,https://www.propertyguru.com.my/condo/residensi-rampai-ii-9686
Residensi Ampang Tengah 6 (‘AT 6’),3898950.0,3796500.0,12750.0,12750.0,83.12763319002781,20,2,0,https://www.propertyguru.com.my/condo/residensi-ampang-tengah-6-at-6-9697
Residensi Far East @ Kuchai Lama,627999.875,625000.0,1942.4,1800.0,71.28712871287128,16,20,0,https://www.propertyguru.com.my/condo/residensi-far-east-kuchai-lama-9702
"Tropicana The Residences, KLCC",2485999.95,1924999.5,3865.0,3300.0,42.43282573155561,20,20,0,https://www.propertyguru.com.my/condo/tropicana-the-residences-klcc-9710
"Ampang Puri, Ampang Hilir",1680000.0,1680000.0,4250.0,4250.0,62.61786892975012,1,2,0,https://www.propertyguru.com.my/condo/ampang-puri-ampang-hilir-8534
"Boulevard Serviced Apartment, Jalan Ipoh",524400.0,512500.0,1482.5,1400.0,67.61651774933591,20,20,0,https://www.propertyguru.com.my/condo/boulevard-serviced-apartment-jalan-ipoh-8561
"8 Kia Peng, KLCC",2655056.1,1530672.0,3717.5,3750.0,60.64119692410773,20,20,0,https://www.propertyguru.com.my/condo/8-kia-peng-klcc-8525
"Desa Satu, Kepong",148255.0,143000.0,615.0,600.0,103.85653950010385,20,20,0,https://www.propertyguru.com.my/condo/desa-satu-kepong-8621
"Fortune Court, Kepong",300375.0,267500.0,881.1111111111111,1000.0,92.53261774775609,8,9,0,https://www.propertyguru.com.my/condo/fortune-court-kepong-8657
